Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
30,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,,0,4286401.0,0.00078561,27.335,77.18439024,131000000000.0,30561.76965,0.00515748
31,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold,0,4286401.0,0.00078561,27.335,77.18439024,131000000000.0,30561.76965,0.00515748
32,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze,0,4286401.0,0.00078561,27.335,77.18439024,131000000000.0,30561.76965,0.00515748
33,20,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,4286401.0,0.00078561,27.335,77.18439024,131000000000.0,30561.76965,0.00515748
34,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,1,4336613.0,0.000770975,26.547,77.6897561,127000000000.0,29285.52767,0.004568345
35,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze,1,4336613.0,0.000770975,26.547,77.6897561,127000000000.0,29285.52767,0.004568345
36,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,1,4336613.0,0.000770975,26.547,77.6897561,127000000000.0,29285.52767,0.004568345
37,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,,1,4336613.0,0.000770975,26.547,77.6897561,127000000000.0,29285.52767,0.004568345
38,20,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver,1,4336613.0,0.000770975,26.547,77.6897561,127000000000.0,29285.52767,0.004568345
39,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,,0,4431464.0,0.000743879,25.625,78.32926829,154000000000.0,34751.49522,0.004920128
40,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,,0,4431464.0,0.000743879,25.625,78.32926829,154000000000.0,34751.49522,0.004920128
41,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,4431464.0,0.000743879,25.625,78.32926829,154000000000.0,34751.49522,0.004920128
42,20,Kjetil Andr Aamodt,M,26.0,176.0,85.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,,0,4431464.0,0.000743879,25.625,78.32926829,154000000000.0,34751.49522,0.004920128
43,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,,0,4538159.0,0.000723002,23.001,78.98780488,195000000000.0,42968.96605,0.005635838
44,20,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold,0,4538159.0,0.000723002,23.001,78.98780488,195000000000.0,42968.96605,0.005635838
