Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2507,1778,Abdullah Azzan Al-Akbary,M,18.0,183.0,70.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2508,1779,Abdullah Sulaiman Al-Akbary,M,23.0,180.0,75.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2509,1779,Abdullah Sulaiman Al-Akbary,M,23.0,180.0,75.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2510,1780,Mazoon Khalfan Saleh Al-Alawi,F,18.0,182.0,,Oman,OMN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,4424762.0,0.000594555,21.912,77.029,66293368010.0,14982.35792,0.000874583
2521,1789,Abdullah Mohamed Amer Al-Anbari,M,22.0,170.0,60.0,Oman,OMN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,1983277.0,0.000363494,30.553,68.274,12452275683.0,6278.636662,0.000490247
2584,1827,Mansour Ayoub Al-Baloushi,M,20.0,175.0,65.0,Oman,OMN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,1678116.0,0.000328675,37.406,65.975,8386215865.0,4997.399384,0.000439069
2585,1827,Mansour Ayoub Al-Baloushi,M,20.0,175.0,65.0,Oman,OMN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1678116.0,0.000328675,37.406,65.975,8386215865.0,4997.399384,0.000439069
2587,1829,Wadha Bint Nasir Al-Balushi,F,26.0,160.0,75.0,Oman,OMN,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,4424762.0,0.000594555,21.912,77.029,66293368010.0,14982.35792,0.000874583
2588,1830,Abdullah Salim Al-Barwani,M,,161.0,65.0,Oman,OMN,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,1678116.0,0.000328675,37.406,65.975,8386215865.0,4997.399384,0.000439069
2612,1847,Abdul Latif Mohamed Al-Bulushi,M,28.0,169.0,69.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2613,1847,Abdul Latif Mohamed Al-Bulushi,M,28.0,169.0,69.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2614,1847,Abdul Latif Mohamed Al-Bulushi,M,32.0,169.0,69.0,Oman,OMN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,1678116.0,0.000328675,37.406,65.975,8386215865.0,4997.399384,0.000439069
2615,1848,Dadallah Noor Mohamed Al-Bulushi,M,25.0,172.0,86.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2616,1848,Dadallah Noor Mohamed Al-Bulushi,M,25.0,172.0,86.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2617,1848,Dadallah Noor Mohamed Al-Bulushi,M,49.0,172.0,86.0,Oman,OMN,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,2759014.0,0.000407912,25.92,75.188,60905331599.0,22075.03536,0.000959139
2623,1855,Hamoud Abdallah Said Al-Dalhami,M,28.0,172.0,65.0,Oman,OMN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,2267991.0,0.000370703,28.431,72.126,19507412224.0,8601.185906,0.000580578
2624,1855,Hamoud Abdallah Said Al-Dalhami,M,32.0,172.0,65.0,Oman,OMN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,2444751.0,0.000379835,28.173,73.851,24763589077.0,10129.28886,0.000565379
2720,1914,Ali Sultan Al-Ghafiri,M,,153.0,65.0,Oman,OMN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,1431077.0,0.000300648,44.803,63.153,8821366532.0,6164.145278,0.000729039
2727,1921,Mohammed bin Naseeb Al-Habsi,M,16.0,180.0,60.0,Oman,OMN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,,0,2759014.0,0.000407912,25.92,75.188,60905331599.0,22075.03536,0.000959139
2728,1922,Shinoona Salah Al-Habsi,F,19.0,162.0,60.0,Oman,OMN,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,3464644.0,0.000488157,23.796,76.141,76689583355.0,22134.91007,0.001023893
