Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
164,111,Aqarab Abbas,M,22.0,190.0,88.0,Pakistan,PAK,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Hammer Throw,,0,125938339.0,0.021741364,67.908,61.7,63320122807.0,502.7867074,0.002003801
168,115,Ghulam Abbas,M,24.0,181.0,74.0,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,113747135.0,0.020847542,68.923,60.621,48635176853.0,427.5727635,0.001914771
175,121,Muhammad Abbas,M,23.0,168.0,55.0,Pakistan,PAK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,170560182.0,0.024609527,63.402,65.134,177000000000.0,1037.756866,0.002681818
177,123,Sohail Abbas,M,25.0,178.0,80.0,Pakistan,PAK,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,,0,138523285.0,0.022641644,66.845,62.727,73952374970.0,533.8624114,0.002200964
178,123,Sohail Abbas,M,29.0,178.0,80.0,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,,0,150780300.0,0.023426378,65.608,63.625,97977766198.0,649.8048233,0.002236935
179,123,Sohail Abbas,M,37.0,178.0,80.0,Pakistan,PAK,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,,0,177911533.0,0.02506714,62.572,65.686,224000000000.0,1259.052723,0.002990654
182,127,Shakeel Abbasi,M,20.0,165.0,60.0,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,,0,150780300.0,0.023426378,65.608,63.625,97977766198.0,649.8048233,0.002236935
183,127,Shakeel Abbasi,M,24.0,165.0,60.0,Pakistan,PAK,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,,0,163644603.0,0.024194376,64.184,64.565,170000000000.0,1038.836582,0.002677165
184,127,Shakeel Abbasi,M,28.0,165.0,60.0,Pakistan,PAK,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,,0,177911533.0,0.02506714,62.572,65.686,224000000000.0,1259.052723,0.002990654
393,297,Lala Abdul Rashid,M,38.0,169.0,91.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,0,44908293.0,0.014800736,77.896,45.265,3707055901.0,82.54724581,0.00270588
