Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1412,991,Christopher Silas Adolf,M,24.0,168.0,59.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,19175.0,3.13e-06,30.037,70.49365854,147832600.0,7709.653194,4.4e-06
6354,4469,Jennifer Anson,F,35.0,165.0,63.0,Palau,PLW,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,,0,20758.0,2.92e-06,14.961,,215095100.0,10362.03391,2.87e-06
41467,28667,Shawn Erbelau Dingilius-Wallace,M,22.0,184.0,93.0,Palau,PLW,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,21503.0,2.89e-06,12.364,,310248300.0,14428.14026,4.09e-06
47088,32450,Elgin Tulop Elvais,M,23.0,165.0,55.0,Palau,PLW,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,0,20228.0,2.99e-06,18.633,,196711500.0,9724.713269,3.1e-06
52387,35892,Ngerak Florencio,F,21.0,160.0,48.0,Palau,PLW,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,19804.0,3.08e-06,23.725,,173373900.0,8754.488992,3.96e-06
55333,37804,Rubie Joy Gabriel,F,17.0,157.0,52.0,Palau,PLW,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,20758.0,2.92e-06,14.961,,215095100.0,10362.03391,2.87e-06
68782,46849,Nicole Isau Hayes,F,16.0,160.0,50.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,,0,19175.0,3.13e-06,30.037,70.49365854,147832600.0,7709.653194,4.4e-06
85854,58323,Keesha Keane,F,16.0,168.0,54.0,Palau,PLW,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,20758.0,2.92e-06,14.961,,215095100.0,10362.03391,2.87e-06
93515,62988,Peoria Koshiba,F,21.0,160.0,50.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,19175.0,3.13e-06,30.037,70.49365854,147832600.0,7709.653194,4.4e-06
93516,62988,Peoria Koshiba,F,29.0,160.0,50.0,Palau,PLW,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,20228.0,2.99e-06,18.633,,196711500.0,9724.713269,3.1e-06
119987,80324,Dirngulbai Moreyna Misech,F,18.0,165.0,51.0,Palau,PLW,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,21503.0,2.89e-06,12.364,,310248300.0,14428.14026,4.09e-06
134697,90014,Evelyn Ikelau Otto,F,15.0,163.0,65.0,Palau,PLW,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,19804.0,3.08e-06,23.725,,173373900.0,8754.488992,3.96e-06
137859,92079,Stevick Patris,M,21.0,157.0,62.0,Palau,PLW,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Featherweight,,0,20758.0,2.92e-06,14.961,,215095100.0,10362.03391,2.87e-06
138760,92702,"Valeria Rapatamor ""Valerie"" Pedro",F,26.0,160.0,69.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Light-Heavyweight,,0,19175.0,3.13e-06,30.037,70.49365854,147832600.0,7709.653194,4.4e-06
