Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
345,258,Hamza Abdo,M,17.0,,,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,,,,,,#DIV/0!,
854,595,Majed Abu Maraheel,M,33.0,180.0,76.0,Palestine,PLE,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",,0,,,,,,#DIV/0!,
855,596,Maher Abu Rmilah,M,28.0,172.0,72.0,Palestine,PLE,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,,0,,,,,,#DIV/0!,
861,601,Sanna Abubkheet,F,19.0,157.0,52.0,Palestine,PLE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,,,,,,#DIV/0!,
884,611,Mohammed Abukhousa,M,23.0,170.0,67.0,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,,,,,,#DIV/0!,
2548,1807,Mary Al-Atrash,F,22.0,170.0,57.0,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,,,,,,#DIV/0!,
2621,1853,Abdal Salam Al-Dabaji,M,25.0,176.0,64.0,Palestine,PLE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,,,,,,#DIV/0!,
2628,1857,Ramy Abdelhadi Al-Deeb,M,23.0,180.0,75.0,Palestine,PLE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,,0,,,,,,#DIV/0!,
2705,1901,Bahaa Al-Farra,M,21.0,175.0,65.0,Palestine,PLE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,,,,,,#DIV/0!,
2901,2044,Nader Abdullah Al-Massri,M,28.0,160.0,58.0,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",,0,,,,,,#DIV/0!,
3046,2135,Mayada Al-Sayad,F,23.0,,,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,,,,,,#DIV/0!,
8809,6167,Rad Aweisat,M,17.0,170.0,70.0,Palestine,PLE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,,0,,,,,,#DIV/0!,
57674,39284,Ahmed Gebrel,M,21.0,180.0,73.0,Palestine,PLE,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,,0,,,,,,#DIV/0!,
57675,39284,Ahmed Gebrel,M,25.0,180.0,73.0,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,,0,,,,,,#DIV/0!,
58724,40055,Gharid Ghrouf,F,17.0,167.0,58.0,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,,,,,,#DIV/0!,
68835,46895,Sabine Hazboun,F,18.0,165.0,58.0,Palestine,PLE,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,,,,,,#DIV/0!,
126571,84635,Samar Odett Nassar,F,22.0,160.0,52.0,Palestine,PLE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,,,,,,#DIV/0!,
126573,84636,Zakia Nassar,F,21.0,162.0,60.0,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,,,,,,#DIV/0!,
159439,106330,Woroud Sawalha,F,20.0,164.0,47.0,Palestine,PLE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,,,,,,#DIV/0!,
198019,132132,Simon Yacoub,M,27.0,166.0,60.0,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,,0,,,,,,#DIV/0!,
203014,135019,Christian Zimmermann,M,54.0,,,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",,0,,,,,,#DIV/0!,
