Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
723,518,Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,1791453.0,0.000432807,50.681,68.513,2588106000.0,1444.696568,0.000403132
724,518,Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,1791453.0,0.000432807,50.681,68.513,2588106000.0,1444.696568,0.000403132
1606,1121,Arturo Ernesto Agard,M,31.0,195.0,96.0,Panama,PAN,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,,0,1434657.0,0.000405864,53.615,64.603,1112791100.0,775.6495804,0.000456062
1758,1246,Florencio Aguilar Mejia,M,24.0,168.0,62.0,Panama,PAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,2170409.0,0.00045597,48.195,71.455,6183387100.0,2848.950175,0.000511024
1759,1246,Florencio Aguilar Mejia,M,32.0,168.0,62.0,Panama,PAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,2576018.0,0.000472132,44.391,73.443,8042337700.0,3122.003689,0.000316627
1785,1263,Severino Aguilar Fruto,M,32.0,164.0,70.0,Panama,PAN,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,1434657.0,0.000405864,53.615,64.603,1112791100.0,775.6495804,0.000456062
4499,3135,Nicolas Noel Alvarado Lay,M,24.0,190.0,85.0,Panama,PAN,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,,0,1434657.0,0.000405864,53.615,64.603,1112791100.0,775.6495804,0.000456062
4703,3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,0,4034119.0,0.000542065,33.105,78.001,55187700000.0,13680.23601,0.00072807
4704,3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,0,4034119.0,0.000542065,33.105,78.001,55187700000.0,13680.23601,0.00072807
4705,3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,0,4034119.0,0.000542065,33.105,78.001,55187700000.0,13680.23601,0.00072807
4706,3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,0,4034119.0,0.000542065,33.105,78.001,55187700000.0,13680.23601,0.00072807
7799,5439,Donaldo Arza,M,26.0,180.0,69.0,Panama,PAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,1607834.0,0.000418824,51.801,66.514,1673411700.0,1040.786362,0.000443876
7800,5439,Donaldo Arza,M,26.0,180.0,69.0,Panama,PAN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,1607834.0,0.000418824,51.801,66.514,1673411700.0,1040.786362,0.000443876
8735,6117,Luis vila,M,23.0,,53.0,Panama,PAN,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,,0,1607834.0,0.000418824,51.801,66.514,1673411700.0,1040.786362,0.000443876
12386,8574,Alexi Batista,M,20.0,156.0,66.0,Panama,PAN,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,,0,2796344.0,0.000482747,41.022,74.298,9870494000.0,3529.78532,0.000312357
12387,8574,Alexi Batista,M,24.0,156.0,66.0,Panama,PAN,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Lightweight,,0,3030347.0,0.000495311,37.802,75.084,12304115000.0,4060.299035,0.000366194
17529,12027,Percibal Eduardo Blades Brooks,M,25.0,188.0,82.0,Panama,PAN,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,,0,1434657.0,0.000405864,53.615,64.603,1112791100.0,775.6495804,0.000456062
18256,12581,Christie Marie Bodden Baca,F,18.0,167.0,55.0,Panama,PAN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,,0,3516268.0,0.00051987,35.46,76.46,24522200000.0,6973.92804,0.000386176
20828,14330,Guillermo Boyd Mora,M,30.0,162.0,56.0,Panama,PAN,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Bantamweight,,0,1434657.0,0.000405864,53.615,64.603,1112791100.0,775.6495804,0.000456062
24901,17072,Atheyna Bylon,F,27.0,175.0,75.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Middleweight,,0,4034119.0,0.000542065,33.105,78.001,55187700000.0,13680.23601,0.00072807
25810,17704,Eduardo Campbell,M,27.0,161.0,55.0,Panama,PAN,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,1132921.0,0.000373385,58.751,60.862,537147100.0,474.1258217,0.000392078
25811,17704,Eduardo Campbell,M,31.0,161.0,55.0,Panama,PAN,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",,0,1276276.0,0.000391712,56.216,62.822,776137500.0,608.1266905,0.000431188
27124,18613,Carolena Jean Carstens Salceda,F,16.0,168.0,57.0,Panama,PAN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Flyweight,,0,3772938.0,0.000531594,34.302,77.216,39954761200.0,10589.82713,0.000533441
