Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2351,1669,Allan Akia,M,23.0,168.0,66.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
3833,2666,Amos Ali,M,20.0,165.0,64.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
3834,2666,Amos Ali,M,20.0,165.0,64.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
3835,2666,Amos Ali,M,20.0,165.0,64.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
8670,6079,Poloni D. Avek,F,22.0,153.0,53.0,Papua New Guinea,PNG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",,0,4100729.0,0.000803167,85.411,58.329,3655979702.0,891.5438455,0.000191413
8671,6079,Poloni D. Avek,F,22.0,153.0,53.0,Papua New Guinea,PNG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",,0,4100729.0,0.000803167,85.411,58.329,3655979702.0,891.5438455,0.000191413
9329,6475,Subul Babo,M,26.0,175.0,65.0,Papua New Guinea,PNG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,4535520.0,0.000831269,85.371,59.508,4377984100.0,965.2661878,0.000172362
9330,6475,Subul Babo,M,26.0,175.0,65.0,Papua New Guinea,PNG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,4535520.0,0.000831269,85.371,59.508,4377984100.0,965.2661878,0.000172362
9331,6475,Subul Babo,M,30.0,175.0,65.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
9332,6475,Subul Babo,M,30.0,175.0,65.0,Papua New Guinea,PNG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,5022437.0,0.000867048,86.099,60.698,5155485420.0,1026.490809,0.000163148
