Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
813,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PRY,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,,0,2861581.0,0.000691345,60.482,66.36,1540820245.0,538.4506834,0.000240003
814,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PRY,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,,0,2861581.0,0.000691345,60.482,66.36,1540820245.0,538.4506834,0.000240003
815,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PRY,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,,0,2861581.0,0.000691345,60.482,66.36,1540820245.0,538.4506834,0.000240003
1815,1290,Marcelo Vctor Aguirre,M,15.0,174.0,66.0,Paraguay,PRY,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,,0,6047117.0,0.000894049,41.966,71.887,18504130753.0,3059.992184,0.000291404
1816,1290,Marcelo Vctor Aguirre,M,19.0,174.0,66.0,Paraguay,PRY,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Singles,,0,6379219.0,0.000898811,41.06,72.638,24595319574.0,3855.537735,0.000328375
1817,1290,Marcelo Vctor Aguirre,M,23.0,174.0,66.0,Paraguay,PRY,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,,0,6725308.0,0.00090368,40.076,73.12,27424071383.0,4077.742073,0.000361795
4500,3137,Guido Virgilio Alvarenga Torales,M,21.0,171.0,70.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
4554,3170,Jos Marcelo lvarez Villalba,M,16.0,,,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Individual",,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
4555,3170,Jos Marcelo lvarez Villalba,M,16.0,,,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Individual",,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
7032,4907,Francisco Javier Arce Roln,M,21.0,,,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
8855,6195,Celso Rafael Ayala Gaviln,M,21.0,182.0,82.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
8856,6196,Derlis Ramn Ayala Snchez,M,26.0,178.0,75.0,Paraguay,PRY,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,6725308.0,0.00090368,40.076,73.12,27424071383.0,4077.742073,0.000361795
9752,6758,Mara Virginia Bez Franco,F,16.0,171.0,70.0,Paraguay,PRY,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,,0,6047117.0,0.000894049,41.966,71.887,18504130753.0,3059.992184,0.000291404
11377,7835,Fredy Jos Bareiro Gamarra,M,22.0,179.0,77.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
11693,8081,Diego Daniel Barreto Cceres,M,23.0,182.0,78.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
11694,8082,dgar Osvaldo Barreto Cceres,M,20.0,178.0,78.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
12699,8753,Edgar Baumann Duran,M,26.0,178.0,85.0,Paraguay,PRY,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,,0,4870694.0,0.000840852,47.226,69.108,9788391733.0,2009.650315,0.000309759
13794,9467,Csar Amilcar Bejarano Filippi,M,35.0,180.0,72.0,Paraguay,PRY,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Individual",,0,2861581.0,0.000691345,60.482,66.36,1540820245.0,538.4506834,0.000240003
14868,10113,Arsenio Bentez Zarza,M,20.0,190.0,88.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
14876,10121,Pedro Juan Bentez Domnguez,M,23.0,190.0,80.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
15556,10577,Vicente Bergues,M,45.0,177.0,66.0,Paraguay,PRY,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,,0,3567752.0,0.000749531,55.753,67.199,4067222369.0,1139.995821,0.000336134
18074,12459,Perfecto Bobadilla Galeano,M,28.0,174.0,74.0,Paraguay,PRY,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,3567752.0,0.000749531,55.753,67.199,4067222369.0,1139.995821,0.000336134
18464,12714,Alfredo Bogarn Arzamendia,M,52.0,,,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
20438,14096,Harles Daniel Bourdier Molinas,M,19.0,178.0,80.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
24968,17129,Mauro Antonio Caballero Lpez,M,20.0,173.0,71.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
24972,17132,Vctor Caballero,M,28.0,,,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
24973,17132,Vctor Caballero,M,28.0,,,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
25036,17188,Sergio Moises Cabrera Diaz,M,19.0,169.0,62.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
25941,17796,Jorge Luis Campos Velsquez,M,21.0,172.0,68.0,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
26117,17915,Mariana Belen Canillas Gmez,F,15.0,,,Paraguay,PRY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Discus Throw,,0,5302700.0,0.000866727,44.669,70.07,8195993231.0,1545.626423,0.000243928
26569,18198,Eusebio Cardoso Asuncin,M,25.0,172.0,67.0,Paraguay,PRY,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Marathon,,0,2861581.0,0.000691345,60.482,66.36,1540820245.0,538.4506834,0.000240003
26575,18206,Jos Saturnino Cardozo Otaz,M,33.0,189.0,83.0,Paraguay,PRY,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver,0,5703740.0,0.000886177,42.878,71.067,8033877360.0,1408.527976,0.000183422
27044,18551,Alfredo Carrillo Canelsa,M,19.0,,,Paraguay,PRY,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,4870694.0,0.000840852,47.226,69.108,9788391733.0,2009.650315,0.000309759
28198,19343,Vernica Cepede Royg,F,20.0,163.0,66.0,Paraguay,PRY,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Singles,,0,6379219.0,0.000898811,41.06,72.638,24595319574.0,3855.537735,0.000328375
28199,19343,Vernica Cepede Royg,F,24.0,163.0,66.0,Paraguay,PRY,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,,0,6725308.0,0.00090368,40.076,73.12,27424071383.0,4077.742073,0.000361795
28395,19469,Vicente Orlando Cspedes Olmedo,M,21.0,,,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Lightweight,,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
28396,19469,Vicente Orlando Cspedes Olmedo,M,25.0,,,Paraguay,PRY,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,,0,4432736.0,0.000812431,49.814,68.37,7157424031.0,1614.674104,0.000281788
28881,19820,Hugo Ricardo Chapac Cabrera,M,26.0,178.0,70.0,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
28882,19820,Hugo Ricardo Chapac Cabrera,M,26.0,178.0,70.0,Paraguay,PRY,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,,0,3994331.0,0.000782327,52.793,67.687,4082625953.0,1022.105067,0.00021375
28887,19824,Nicols Chaparro,M,21.0,180.0,76.0,Paraguay,PRY,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,,0,3567752.0,0.000749531,55.753,67.199,4067222369.0,1139.995821,0.000336134
28888,19824,Nicols Chaparro,M,21.0,180.0,76.0,Paraguay,PRY,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,0,3567752.0,0.000749531,55.753,67.199,4067222369.0,1139.995821,0.000336134
