Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
866,605,Fernando J. Abugattas Aboino,M,20.0,190.0,80.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,12629329.0,0.003572834,44.793,51.971,5736083835.0,454.1875372,0.002350854
867,606,Roberto Abugattas Aboino,M,21.0,182.0,77.0,Peru,PER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,,0,11281015.0,0.003462344,49.248,49.728,4356913870.0,386.216477,0.002420508
868,606,Roberto Abugattas Aboino,M,25.0,182.0,77.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,12629329.0,0.003572834,44.793,51.971,5736083835.0,454.1875372,0.002350854
945,649,Fernando Acevedo Portugues,M,22.0,175.0,65.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,,0,12629329.0,0.003572834,44.793,51.971,5736083835.0,454.1875372,0.002350854
946,649,Fernando Acevedo Portugues,M,26.0,175.0,65.0,Peru,PER,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,14072476.0,0.003665734,40.453,55.022,9189413409.0,653.0061525,0.00243751
2139,1529,Fiorella Ata Junek,F,23.0,170.0,65.0,Peru,PER,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,,0,25914879.0,0.004235789,26.958,70.512,51744749133.0,1996.719689,0.001540022
3360,2363,Luis Albornoz Carreras,M,47.0,162.0,70.0,Peru,PER,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",,0,10061515.0,0.003316043,53.189,47.694,2571908062.0,255.6183698,0.001877305
4219,2935,Enrique Allyn,M,19.0,182.0,73.0,Peru,PER,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,14072476.0,0.003665734,40.453,55.022,9189413409.0,653.0061525,0.00243751
4475,3115,Gerardo Altuna Delgado,M,21.0,172.0,67.0,Peru,PER,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,,0,10061515.0,0.003316043,53.189,47.694,2571908062.0,255.6183698,0.001877305
4649,3232,Alejandro Luis Alvizuri Mack,M,16.0,185.0,76.0,Peru,PER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,,0,19099584.0,0.004012533,33.551,62.406,17599660054.0,921.46824,0.001454517
4650,3232,Alejandro Luis Alvizuri Mack,M,16.0,185.0,76.0,Peru,PER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,,0,19099584.0,0.004012533,33.551,62.406,17599660054.0,921.46824,0.001454517
4651,3232,Alejandro Luis Alvizuri Mack,M,20.0,185.0,76.0,Peru,PER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,,0,20909895.0,0.004095401,31.905,64.542,15439408447.0,738.3780955,0.000808346
4652,3232,Alejandro Luis Alvizuri Mack,M,20.0,185.0,76.0,Peru,PER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,,0,20909895.0,0.004095401,31.905,64.542,15439408447.0,738.3780955,0.000808346
4653,3232,Alejandro Luis Alvizuri Mack,M,24.0,185.0,76.0,Peru,PER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,,0,22737056.0,0.004167241,30.303,66.528,36139225288.0,1589.441715,0.001422804
4654,3232,Alejandro Luis Alvizuri Mack,M,24.0,185.0,76.0,Peru,PER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,,0,22737056.0,0.004167241,30.303,66.528,36139225288.0,1589.441715,0.001422804
4655,3232,Alejandro Luis Alvizuri Mack,M,24.0,185.0,76.0,Peru,PER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,,0,22737056.0,0.004167241,30.303,66.528,36139225288.0,1589.441715,0.001422804
7099,4971,Eric Arenas Centeno,M,21.0,,,Peru,PER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,0,22737056.0,0.004167241,30.303,66.528,36139225288.0,1589.441715,0.001422804
7181,5032,Humberto Arguedas,M,22.0,174.0,66.0,Peru,PER,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,,0,10061515.0,0.003316043,53.189,47.694,2571908062.0,255.6183698,0.001877305
7191,5042,Bernardo Arias,M,30.0,166.0,62.0,Peru,PER,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,14072476.0,0.003665734,40.453,55.022,9189413409.0,653.0061525,0.00243751
7196,5047,Jorge Arias,M,23.0,,,Peru,PER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,,0,24441074.0,0.004219385,28.623,68.533,55252414130.0,2260.637733,0.001748494
7261,5091,Wilma Yanet Arizapana Yucra,F,29.0,164.0,54.0,Peru,PER,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,,0,30158966.0,0.004249297,22.384,74.088,193000000000.0,6399.423641,0.002576769
7523,5276,Pablo Guillermo Arraya,M,30.0,182.0,72.0,Peru,PER,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Men's Singles,,0,22737056.0,0.004167241,30.303,66.528,36139225288.0,1589.441715,0.001422804
7883,5484,Olga Asato Hichiva,F,19.0,166.0,65.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,,0,12629329.0,0.003572834,44.793,51.971,5736083835.0,454.1875372,0.002350854
