Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
416,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
417,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
418,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
419,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
420,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
960,661,Emilio Achacoso,M,28.0,178.0,78.0,Philippines,PHL,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,,0,26273025.0,0.008658982,69.703,57.867,6684568805.0,254.4270713,0.004879247
1235,862,Nenita Adan,F,23.0,160.0,49.0,Philippines,PHL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,,0,58845205.0,0.01152539,53.517,64.77,37885440419.0,643.8152509,0.001983531
1441,1009,William Adornado,M,21.0,187.0,77.0,Philippines,PHL,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,,0,37925400.0,0.009879172,65.988,61.245,8017468688.0,211.4010317,0.00212665
1622,1136,"Jos V. Agdamag, Jr.",M,39.0,163.0,61.0,Philippines,PHL,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,26273025.0,0.008658982,69.703,57.867,6684568805.0,254.4270713,0.004879247
1623,1136,"Jos V. Agdamag, Jr.",M,47.0,163.0,61.0,Philippines,PHL,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,33797042.0,0.009561175,67.597,60.27,7591603053.0,224.6232985,0.003111313
3204,2247,Amelita Alanes (-Saberon),F,20.0,158.0,50.0,Philippines,PHL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,,0,37925400.0,0.009879172,65.988,61.245,8017468688.0,211.4010317,0.00212665
3205,2247,Amelita Alanes (-Saberon),F,20.0,158.0,50.0,Philippines,PHL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,,0,37925400.0,0.009879172,65.988,61.245,8017468688.0,211.4010317,0.00212665
3206,2247,Amelita Alanes (-Saberon),F,20.0,158.0,50.0,Philippines,PHL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,,0,37925400.0,0.009879172,65.988,61.245,8017468688.0,211.4010317,0.00212665
3474,2430,Ramn Aldea,M,40.0,179.0,,Philippines,PHL,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,,0,37925400.0,0.009879172,65.988,61.245,8017468688.0,211.4010317,0.00212665
