Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
715,513,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21.0,180.0,70.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,,0,35574150.0,0.008016366,41.914,70.09756098,,0,
797,562,Pawe Abratkiewicz,M,21.0,183.0,84.0,Poland,POL,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Men's 500 metres,,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
798,562,Pawe Abratkiewicz,M,21.0,183.0,84.0,Poland,POL,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
799,562,Pawe Abratkiewicz,M,27.0,183.0,84.0,Poland,POL,1998 Winter,1998,Winter,Nagano,Speed Skating,Speed Skating Men's 500 metres,,0,38663481.0,0.00649017,38.373,72.99756098,174000000000.0,4500.370776,0.005559105
800,562,Pawe Abratkiewicz,M,27.0,183.0,84.0,Poland,POL,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",,0,38663481.0,0.00649017,38.373,72.99756098,174000000000.0,4500.370776,0.005559105
801,562,Pawe Abratkiewicz,M,31.0,183.0,84.0,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Men's 500 metres,,0,38230364.0,0.006090717,38.213,74.49756098,199000000000.0,5205.286562,0.005751445
802,562,Pawe Abratkiewicz,M,31.0,183.0,84.0,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 1,000 metres",,0,38230364.0,0.006090717,38.213,74.49756098,199000000000.0,5205.286562,0.005751445
1077,745,Kazimierz Piotr Adach,M,23.0,162.0,60.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze,0,35574150.0,0.008016366,41.914,70.09756098,,0,
1120,785,Dariusz Adamczuk,M,22.0,179.0,78.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
1121,786,Adam Eucharyst Adamczyk,M,21.0,173.0,80.0,Poland,POL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,,0,33055650.0,0.008610653,46.676,70.66585366,,0,
1122,786,Adam Eucharyst Adamczyk,M,25.0,173.0,80.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,,0,34356300.0,0.008300325,44.071,70.65609756,,0,
1141,794,Janusz Andrzej Adamiec,M,21.0,176.0,74.0,Poland,POL,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,36904134.0,0.007752998,40.427,70.8,,0,
1142,794,Janusz Andrzej Adamiec,M,25.0,176.0,74.0,Poland,POL,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,37824487.0,0.007408283,38.957,71.33170732,,0,
1143,794,Janusz Andrzej Adamiec,M,29.0,176.0,74.0,Poland,POL,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
1144,795,Tomasz Adamiec,M,26.0,171.0,69.5,Poland,POL,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,,0,38125759.0,0.005636782,38.884,75.54390244,534000000000.0,14006.27854,0.008409449
1145,795,Tomasz Adamiec,M,30.0,171.0,69.5,Poland,POL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,,0,38063164.0,0.005362972,39.312,76.74634146,500000000000.0,13136.05984,0.006675567
1224,851,Jerzy Adamski,M,23.0,171.0,58.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver,0,29637450.0,0.009767819,52.108,67.6804878,,0,
1233,860,Dariusz Adamus,M,23.0,185.0,94.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,,0,35574150.0,0.008016366,41.914,70.09756098,,0,
3346,2357,Piotr Albiski,M,22.0,188.0,74.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
3347,2357,Piotr Albiski,M,22.0,188.0,74.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,38363667.0,0.007031282,38.641,71.0902439,94337050693.0,2459.020685,0.003714057
3989,2783,Edward Alknin,M,25.0,173.0,71.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,,0,35574150.0,0.008016366,41.914,70.09756098,,0,
4480,3120,Bernard Aluchna,M,23.0,180.0,84.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,,0,29637450.0,0.009767819,52.108,67.6804878,,0,
4481,3120,Bernard Aluchna,M,23.0,180.0,84.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,29637450.0,0.009767819,52.108,67.6804878,,0,
4858,3358,Krystyna Ambros (-urek),F,19.0,178.0,78.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,,0,35574150.0,0.008016366,41.914,70.09756098,,0,
4874,3372,Ewa Ambroziak,F,25.0,174.0,70.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,,0,34356300.0,0.008300325,44.071,70.65609756,,0,
4875,3373,Zdzisaw Stanisaw Ambroziak,M,24.0,201.0,102.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,,0,32294655.0,0.00913615,48.674,70.2195122,,0,
