Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
785,555,Antnio da Cunha Meneses Martins Abrantes,M,20.0,176.0,68.0,Portugal,PRT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,10019610.0,0.001962435,53.133,73.71463415,56352797354.0,5624.25058,0.002950408
786,555,Antnio da Cunha Meneses Martins Abrantes,M,20.0,176.0,68.0,Portugal,PRT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,0,10019610.0,0.001962435,53.133,73.71463415,56352797354.0,5624.25058,0.002950408
787,555,Antnio da Cunha Meneses Martins Abrantes,M,24.0,176.0,68.0,Portugal,PRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,9952494.0,0.00182409,50.87,74.31219512,108000000000.0,10851.55138,0.004251969
788,555,Antnio da Cunha Meneses Martins Abrantes,M,28.0,176.0,68.0,Portugal,PRT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,10063945.0,0.001737389,48.23,75.26097561,123000000000.0,12221.8474,0.003892405
789,556,Arnaldo Lus Isaas Abrantes,M,21.0,183.0,72.0,Portugal,PRT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,10558177.0,0.001560996,40.641,78.52439024,262000000000.0,24814.88992,0.004125984
790,556,Arnaldo Lus Isaas Abrantes,M,25.0,183.0,72.0,Portugal,PRT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,10514844.0,0.001481506,38.242,80.37317073,216000000000.0,20542.3875,0.002883845
791,557,Arnaldo Joaquim Castro Abrantes,M,26.0,174.0,68.0,Portugal,PRT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,10019610.0,0.001962435,53.133,73.71463415,56352797354.0,5624.25058,0.002950408
803,563,Diogo Ferreira Tribolet de Abreu,M,22.0,183.0,73.0,Portugal,PRT,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,,0,10324611.0,0.001387318,35.983,81.12682927,205000000000.0,19855.46962,0.002704485
806,566,Jos Filipe Abreu,M,20.0,159.0,64.0,Portugal,PRT,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,,0,8836650.0,0.002499886,61.975,66.22165854,6354262628.0,719.0804918,0.002604206
807,566,Jos Filipe Abreu,M,20.0,159.0,64.0,Portugal,PRT,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,,0,8836650.0,0.002499886,61.975,66.22165854,6354262628.0,719.0804918,0.002604206
