Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
941,646,Anibl Santiago Acevedo,M,21.0,176.0,67.0,Puerto Rico,PRI,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze,0,3585176.0,0.00065709,6.733,73.94636585,34630430000.0,9659.3389,0.001363403
1199,831,Nelson Luis Adams,M,21.0,,81.0,Puerto Rico,PRI,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,,0,3473898.0,0.000680396,9.587,74.39409756,26178400000.0,7535.74227,0.001370597
1443,1011,Omar Adorno,M,23.0,160.0,51.0,Puerto Rico,PRI,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,,0,3724655.0,0.000643006,6.124,74.3624878,45340835000.0,12173.16369,0.001434837
1444,1012,Rubn Adorno Melndez,M,23.0,190.0,91.0,Puerto Rico,PRI,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,,0,2554066.0,0.000783888,49.874,69.59329268,2570500000.0,1006.434446,0.001428056
1445,1012,Rubn Adorno Melndez,M,27.0,190.0,91.0,Puerto Rico,PRI,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,,0,2662064.0,0.000753097,44.298,70.86414634,3941700000.0,1480.693176,0.001615451
1521,1068,Brian O'Neill Afanador Prez,M,19.0,175.0,68.0,Puerto Rico,PRI,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,,0,3411307.0,0.000458377,6.431,79.78831707,,0,
1682,1187,"Andrew ""Andy"" Agosto",M,18.0,,51.0,Puerto Rico,PRI,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,3473898.0,0.000680396,9.587,74.39409756,26178400000.0,7535.74227,0.001370597
1706,1209,Laura Agront Snchez-Pimion (-Hobbs),F,19.0,179.0,57.0,Puerto Rico,PRI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's High Jump,,0,3344190.0,0.000702564,18.316,74.17763415,19162600000.0,5730.117009,0.001583686
1796,1273,Lua del Mar Aguili Ribera,F,22.0,170.0,67.0,Puerto Rico,PRI,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,3826878.0,0.000594573,5.832,78.17585366,80322313000.0,20988.99233,0.001833843
3341,2351,Vivian Alberty,F,23.0,,,Puerto Rico,PRI,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Springboard,,0,3724655.0,0.000643006,6.124,74.3624878,45340835000.0,12173.16369,0.001434837
3524,2467,Eric Javier Alejandro,M,26.0,180.0,81.0,Puerto Rico,PRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,,0,3634488.0,0.000512087,6.278,78.92641463,101000000000.0,27789.33374,0.001348465
3525,2467,Eric Javier Alejandro,M,30.0,180.0,81.0,Puerto Rico,PRI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,0,3411307.0,0.000458377,6.431,79.78831707,,0,
3638,2541,Luis Alers Acevedo,M,21.0,175.0,72.0,Puerto Rico,PRI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,2817256.0,0.000733866,39.873,72.16946341,6328900000.0,2246.476714,0.001678753
3639,2541,Luis Alers Acevedo,M,21.0,175.0,72.0,Puerto Rico,PRI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,2817256.0,0.000733866,39.873,72.16946341,6328900000.0,2246.476714,0.001678753
3905,2728,Pablo Alicea Rodrguez,M,33.0,178.0,91.0,Puerto Rico,PRI,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,,0,3724655.0,0.000643006,6.124,74.3624878,45340835000.0,12173.16369,0.001434837
4510,3143,"Roberto ""Bobby"" lvarez",M,20.0,195.0,99.0,Puerto Rico,PRI,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,,0,3043854.0,0.000735381,36.363,73.19082927,8968600000.0,2946.461953,0.001396978
4613,3196,Sonia lvarez,F,20.0,,,Puerto Rico,PRI,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Butterfly,,0,3724655.0,0.000643006,6.124,74.3624878,45340835000.0,12173.16369,0.001434837
4614,3196,Sonia lvarez,F,20.0,,,Puerto Rico,PRI,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,,0,3724655.0,0.000643006,6.124,74.3624878,45340835000.0,12173.16369,0.001434837
