Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
176,122,Nader Sufyan Abbas,M,28.0,173.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,,0,758855.0,0.000117902,2.895,76.668,31734065934.0,41818.35256,0.000724522
334,253,Jamal Abdi Hassan Abdullah,M,19.0,177.0,65.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
335,253,Jamal Abdi Hassan Abdullah,M,23.0,177.0,65.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
384,288,Masoud Abdul Khamis Al-Rahman,M,17.0,176.0,68.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
424,321,Ahmad Hassan Abdullah,M,27.0,164.0,55.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",,0,1389342.0,0.00020541,1.739,77.049,115000000000.0,82772.99614,0.001811024
678,488,Ibrahim Mohamedin Aboubaker,M,21.0,190.0,65.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,,0,758855.0,0.000117902,2.895,76.668,31734065934.0,41818.35256,0.000724522
679,488,Ibrahim Mohamedin Aboubaker,M,25.0,190.0,65.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,0,1389342.0,0.00020541,1.739,77.049,115000000000.0,82772.99614,0.001811024
899,621,Anas Sameer N. H. Abuyousuf,M,14.0,181.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,,0,758855.0,0.000117902,2.895,76.668,31734065934.0,41818.35256,0.000724522
1897,1369,Ibrahim Ahmad,M,22.0,177.0,70.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2483,1765,Abdul Rahman Hassan Al-Abdullah,M,18.0,178.0,65.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
2484,1766,Abdullah Basheer Al-Abdullah,M,20.0,,,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
2485,1767,Jamal Al-Abdullah Sulaiman Sultan,M,,170.0,65.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2486,1767,Jamal Al-Abdullah Sulaiman Sultan,M,,170.0,65.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2487,1768,Sami Juma Sulaiman Al-Abdullah,M,25.0,174.0,65.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
2488,1768,Sami Juma Sulaiman Al-Abdullah,M,29.0,174.0,65.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
2512,1782,Mubarak Anber Aman Al-Ali,M,,170.0,65.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2515,1785,Mohamed Al-Ammari,M,18.0,172.0,65.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2545,1806,Rashid Salih Hamad Al-Athba,M,23.0,175.0,90.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,,0,758855.0,0.000117902,2.895,76.668,31734065934.0,41818.35256,0.000724522
2546,1806,Rashid Salih Hamad Al-Athba,M,31.0,175.0,90.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2547,1806,Rashid Salih Hamad Al-Athba,M,31.0,175.0,90.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Double Trap,,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2549,1808,Hamad Mubarak Al-Attiya,M,19.0,,,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
2550,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,25.0,178.0,82.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
2551,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,29.0,178.0,82.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,,0,592267.0,9.68e-05,3.689,76.279,17759890110.0,29986.29015,0.000528568
2552,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,33.0,178.0,82.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Skeet,,0,758855.0,0.000117902,2.895,76.668,31734065934.0,41818.35256,0.000724522
2553,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,37.0,178.0,82.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,,0,1389342.0,0.00020541,1.739,77.049,115000000000.0,82772.99614,0.001811024
2554,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2555,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,45.0,178.0,82.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,,0,2569804.0,0.000345305,0.683,78.184,152000000000.0,59148.47981,0.002005277
2556,1810,Hamad Ali Mohamed A Al-Attiyah,M,21.0,193.0,89.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,2569804.0,0.000345305,0.683,78.184,152000000000.0,59148.47981,0.002005277
2557,1810,Hamad Ali Mohamed A Al-Attiyah,M,21.0,193.0,89.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",,0,2569804.0,0.000345305,0.683,78.184,152000000000.0,59148.47981,0.002005277
2646,1866,Hamad Mubarak Al-Dosari,M,18.0,179.0,73.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
2659,1875,Rashid Shafi Al-Dosari,M,19.0,198.0,130.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,,0,592267.0,9.68e-05,3.689,76.279,17759890110.0,29986.29015,0.000528568
2660,1875,Rashid Shafi Al-Dosari,M,27.0,198.0,130.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,,0,1389342.0,0.00020541,1.739,77.049,115000000000.0,82772.99614,0.001811024
2713,1909,Mohamad Al-Garni,M,20.0,179.0,55.0,Qatar,QAT,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2735,1927,Bahya Mansour Al-Hamad,F,20.0,166.0,69.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2736,1927,Bahya Mansour Al-Hamad,F,20.0,166.0,69.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,0,2109568.0,0.000297231,1.054,77.59,187000000000.0,88643.74128,0.002496662
2738,1929,Khalid Issa A. H. Al-Hamadi,M,20.0,171.0,57.0,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Foil, Individual",,0,1389342.0,0.00020541,1.739,77.049,115000000000.0,82772.99614,0.001811024
2746,1934,Hamad A. Al-Hammadi,M,20.0,169.0,68.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Singles,,0,522304.0,9.02e-05,4.644,75.802,9059340385.0,17344.95693,0.000286688
2747,1934,Hamad A. Al-Hammadi,M,24.0,169.0,68.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Singles,,0,592267.0,9.68e-05,3.689,76.279,17759890110.0,29986.29015,0.000528568
2760,1943,Dalal Masfir Al-Harith,F,16.0,160.0,55.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,2569804.0,0.000345305,0.683,78.184,152000000000.0,59148.47981,0.002005277
2790,1968,Ahmed H. Al-Imam,M,18.0,178.0,68.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,0,592267.0,9.68e-05,3.689,76.279,17759890110.0,29986.29015,0.000528568
2815,1989,Said Al-Hussain Al-Karbi,M,,171.0,60.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2833,2000,Mubarak Al-Khater,M,18.0,170.0,68.0,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,341455.0,7.17e-05,10.044,73.777,6704395824.0,19634.78591,0.000554082
2845,2008,Noah Abdalaziz Al-Khulaifi,M,17.0,190.0,86.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,,0,2569804.0,0.000345305,0.683,78.184,152000000000.0,59148.47981,0.002005277
2854,2013,Fahad Mohammed Rashid Al-Kuwari,M,19.0,,,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
2855,2014,Sayed Mubarak Mufta Mubarak Al-Kuwari,M,24.0,183.0,76.0,Qatar,QAT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,443794.0,8.69e-05,8.329,74.64,6038187033.0,13605.83296,0.000316135
2856,2014,Sayed Mubarak Mufta Mubarak Al-Kuwari,M,28.0,183.0,76.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
2857,2015,Zamel Essa Al-Kuwari,M,18.0,,,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,495517.0,9.08e-05,6.237,75.283,7646153984.0,15430.65926,0.00030103
