Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
103,67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
104,67,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
131,90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver,0,144067054.0,0.022383357,26.582,65.47097561,591000000000.0,4102.25644,0.013493151
132,90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's 500 metres Time Trial,,0,144067054.0,0.022383357,26.582,65.47097561,591000000000.0,4102.25644,0.013493151
479,356,Adlan Aliyevich Abdurashidov,M,26.0,172.0,60.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
615,449,Inga Eduardovna Abitova,F,26.0,164.0,58.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
621,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
622,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
623,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
624,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
625,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
626,455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
627,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
628,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
629,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
630,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
764,541,Andrey Viktorovich Abramov,M,24.0,176.0,70.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
765,541,Andrey Viktorovich Abramov,M,24.0,176.0,70.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
767,543,Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze,0,144067054.0,0.022383357,26.582,65.47097561,591000000000.0,4102.25644,0.013493151
768,544,Sergey Mikhaylovich Abramov,M,34.0,180.0,94.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,148336000.0,0.026371593,26.624,64.46707317,395000000000.0,2662.873476,0.014208633
773,548,Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Women's 1,000 metres",,0,143049528.0,0.021679357,26.492,66.72756098,990000000000.0,6920.679948,0.0192607
774,548,Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Women's 1,500 metres",,0,143049528.0,0.021679357,26.492,66.72756098,990000000000.0,6920.679948,0.0192607
775,548,Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,0,143049528.0,0.021679357,26.492,66.72756098,990000000000.0,6920.679948,0.0192607
776,548,Yekaterina Konstantinovna Abramova,F,27.0,167.0,65.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Women's 1,500 metres",,0,142849449.0,0.020611243,26.313,68.84121951,1520000000000.0,10640.57307,0.023030303
779,550,Dmitry Vladimirovich Abramovich,M,27.0,182.0,96.0,Russia-2,RUS,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,,0,142849449.0,0.020611243,26.313,68.84121951,1520000000000.0,10640.57307,0.023030303
780,550,Dmitry Vladimirovich Abramovich,M,27.0,182.0,96.0,Russia-1,RUS,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,,0,142849449.0,0.020611243,26.313,68.84121951,1520000000000.0,10640.57307,0.023030303
831,579,Anastasiya Aleksandrovna Abrosimova,F,26.0,164.0,51.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,,0,144342396.0,0.019395292,25.899,71.59292683,1280000000000.0,8867.803469,0.016886544
832,580,Svetlana Olegovna Abrosimova,F,20.0,188.0,77.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,,0,146596557.0,0.023961221,26.65,65.48365854,260000000000.0,1773.575078,0.007738095
833,580,Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
844,588,"Aleksandr Viktorovich ""Sasha"" Abt",M,25.0,179.0,68.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Men's Singles,,0,145306046.0,0.023149611,26.659,65.12878049,345000000000.0,2374.299002,0.009971098
901,623,Irina Alekseyevna Abysova,F,27.0,175.0,56.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Women's Olympic Distance,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
902,623,Irina Alekseyevna Abysova,F,31.0,175.0,56.0,Russia,RUS,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
1193,826,Lyukman Rasakovich Adams,M,23.0,194.0,87.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,,0,143201676.0,0.020176637,26.214,70.07219512,2210000000000.0,15432.78027,0.029506008
1522,1069,Nikolay Konstantinovich Afanasyev,M,30.0,187.0,80.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,148160042.0,0.025577608,26.633,65.85414634,392000000000.0,2645.787587,0.012405063
1523,1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
1524,1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
1525,1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
1526,1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,0,142742350.0,0.021104039,26.402,67.94926829,1660000000000.0,11629.34476,0.026141732
