Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1590,1112,Alphonsine Agahozo,F,16.0,160.0,50.0,Rwanda,RWA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,10788853.0,0.001520113,74.106,64.911,7315702176.0,678.0796973,9.77e-05
24697,16897,Faustin Butra,M,28.0,,,Rwanda,RWA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,5881906.0,0.001235699,95.012,51.177,1587412957.0,269.8807082,0.000131191
24698,16897,Faustin Butra,M,28.0,,,Rwanda,RWA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,0,5881906.0,0.001235699,95.012,51.177,1587412957.0,269.8807082,0.000131191
24944,17110,Nathan Byukusenge,M,35.0,,,Rwanda,RWA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,11917508.0,0.001601356,70.225,67.129,8376048905.0,702.8356016,0.000110502
41617,28750,Dieudonn Disi,M,25.0,168.0,57.0,Rwanda,RWA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 10,000 metres",,0,8818438.0,0.0013701,81.574,53.755,2089188829.0,236.9114382,4.77e-05
41618,28750,Dieudonn Disi,M,29.0,168.0,57.0,Rwanda,RWA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",,0,9708169.0,0.001435324,77.967,60.565,4860576609.0,500.6687264,7.65e-05
44749,30872,Telesphore Dusabe,M,23.0,161.0,54.0,Rwanda,RWA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,7030179.0,0.001376927,94.73,43.264,2395493878.0,340.7443648,0.000125419
59482,40555,Pamela Girimbabazi Rugabira,F,16.0,180.0,64.0,Rwanda,RWA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,,0,8025703.0,0.001311802,85.074,48.415,1734938264.0,216.172747,5.16e-05
59483,40555,Pamela Girimbabazi Rugabira,F,20.0,180.0,64.0,Rwanda,RWA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,,0,8818438.0,0.0013701,81.574,53.755,2089188829.0,236.9114382,4.77e-05
59484,40555,Pamela Girimbabazi Rugabira,F,24.0,180.0,64.0,Rwanda,RWA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,9708169.0,0.001435324,77.967,60.565,4860576609.0,500.6687264,7.65e-05
