Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1168,804,Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,KNA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,52591.0,7.41e-06,68.156,,734462666.7,13965.55811,9.81e-06
1169,804,Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,KNA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,52591.0,7.41e-06,68.156,,734462666.7,13965.55811,9.81e-06
1170,804,Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,KNA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,,0,52591.0,7.41e-06,68.156,,734462666.7,13965.55811,9.81e-06
1171,804,Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
1172,804,Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
1173,804,Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
12239,8476,Valma Bass,F,22.0,168.0,65.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
12240,8476,Valma Bass,F,22.0,168.0,65.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
12241,8476,Valma Bass,F,26.0,168.0,65.0,Saint Kitts and Nevis,KNA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,45374.0,7.42e-06,67.222,,420515107.7,9267.754831,1.25e-05
12242,8476,Valma Bass,F,26.0,168.0,65.0,Saint Kitts and Nevis,KNA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 200 metres,,0,45374.0,7.42e-06,67.222,,420515107.7,9267.754831,1.25e-05
31991,21844,Allistar Clarke,M,25.0,187.0,71.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
32823,22468,Kim Collins,M,20.0,180.0,77.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
32824,22468,Kim Collins,M,20.0,180.0,77.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
32825,22468,Kim Collins,M,24.0,180.0,77.0,Saint Kitts and Nevis,KNA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,45374.0,7.42e-06,67.222,,420515107.7,9267.754831,1.25e-05
32826,22468,Kim Collins,M,24.0,180.0,77.0,Saint Kitts and Nevis,KNA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,45374.0,7.42e-06,67.222,,420515107.7,9267.754831,1.25e-05
32827,22468,Kim Collins,M,28.0,180.0,77.0,Saint Kitts and Nevis,KNA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,47971.0,7.45e-06,67.845,,502561629.6,10476.36342,1.15e-05
32828,22468,Kim Collins,M,32.0,180.0,77.0,Saint Kitts and Nevis,KNA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,50332.0,7.44e-06,68.155,,738942555.6,14681.36684,1.16e-05
32829,22468,Kim Collins,M,32.0,180.0,77.0,Saint Kitts and Nevis,KNA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,50332.0,7.44e-06,68.155,,738942555.6,14681.36684,1.16e-05
32830,22468,Kim Collins,M,40.0,180.0,77.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
32831,22468,Kim Collins,M,40.0,180.0,77.0,Saint Kitts and Nevis,KNA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,54821.0,7.37e-06,67.847,,909854619.5,16596.82639,1.2e-05
53579,36664,Diane Gale Francis (Dunrod-),F,27.0,170.0,50.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
53580,36664,Diane Gale Francis (Dunrod-),F,27.0,170.0,50.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
53581,36665,Elricia Patricia Francis,F,20.0,165.0,50.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
68804,46863,Bertram Eric Haynes,M,28.0,190.0,88.0,Saint Kitts and Nevis,KNA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,43373.0,7.49e-06,66.474,,318742963.0,7348.879787,1.01e-05
71908,49038,Virgil Hodge,F,24.0,165.0,56.0,Saint Kitts and Nevis,KNA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,50332.0,7.44e-06,68.155,,738942555.6,14681.36684,1.16e-05
