Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
8514,5947,Jordan Augier,M,21.0,171.0,53.0,Saint Lucia,LCA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,178015.0,2.39e-05,81.46,75.496,1667078704.0,9364.821526,2.2e-05
11030,7606,Michelle Baptiste (-Liburd),F,18.0,170.0,65.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
13125,9059,Danielle Elizabeth Marie Beaubrun,F,18.0,162.0,50.0,Saint Lucia,LCA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,,0,169220.0,2.5e-05,79.869,74.02,1282215407.0,7577.209591,2.02e-05
13126,9059,Danielle Elizabeth Marie Beaubrun,F,22.0,162.0,50.0,Saint Lucia,LCA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,,0,174835.0,2.46e-05,81.55,74.788,1436803333.0,8218.05321,1.92e-05
16061,11006,Jahvid Andre Best,M,27.0,178.0,90.0,Saint Lucia,LCA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,178015.0,2.39e-05,81.46,75.496,1667078704.0,9364.821526,2.2e-05
28974,19888,Maxime Charlemagne,M,21.0,178.0,74.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
45671,31477,Darvin Edwards,M,25.0,185.0,86.0,Saint Lucia,LCA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,,0,174835.0,2.46e-05,81.55,74.788,1436803333.0,8218.05321,1.92e-05
48565,33440,Erma-Gene Evans,F,24.0,170.0,68.0,Saint Lucia,LCA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,,0,169220.0,2.5e-05,79.869,74.02,1282215407.0,7577.209591,2.02e-05
58022,39574,Natasha Sara Georgeos,F,17.0,166.0,65.0,Saint Lucia,LCA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,,0,162251.0,2.52e-05,75.867,72.652,893107222.2,5504.479,2.04e-05
70075,47757,Sherri Malaika Ayesha Henry,F,18.0,165.0,56.0,Saint Lucia,LCA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,156949.0,2.57e-05,72.226,71.456,784159222.2,4996.267719,2.33e-05
79709,54107,Ivan Jean-Marie,M,23.0,185.0,67.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
79710,54107,Ivan Jean-Marie,M,23.0,185.0,67.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
81497,55363,Dominic Laurence Johnson,M,20.0,185.0,77.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
81498,55363,Dominic Laurence Johnson,M,20.0,185.0,77.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
81499,55363,Dominic Laurence Johnson,M,24.0,185.0,77.0,Saint Lucia,LCA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,,0,156949.0,2.57e-05,72.226,71.456,784159222.2,4996.267719,2.33e-05
81500,55363,Dominic Laurence Johnson,M,32.0,185.0,77.0,Saint Lucia,LCA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,169220.0,2.5e-05,79.869,74.02,1282215407.0,7577.209591,2.02e-05
82343,55973,Zepherinus Joseph,M,28.0,171.0,63.0,Saint Lucia,LCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,162251.0,2.52e-05,75.867,72.652,893107222.2,5504.479,2.04e-05
102758,68960,Verneta Cheryll Lesforis,F,25.0,163.0,52.0,Saint Lucia,LCA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,156949.0,2.57e-05,72.226,71.456,784159222.2,4996.267719,2.33e-05
140369,93806,Jamie Allan Peterkin,M,18.0,188.0,79.0,Saint Lucia,LCA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,156949.0,2.57e-05,72.226,71.456,784159222.2,4996.267719,2.33e-05
145642,97183,"Ronald B. ""Ron"" Promesse",M,26.0,170.0,70.0,Saint Lucia,LCA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,156949.0,2.57e-05,72.226,71.456,784159222.2,4996.267719,2.33e-05
160017,106750,Jeanelle Scheper,F,21.0,177.0,60.0,Saint Lucia,LCA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,,0,178015.0,2.39e-05,81.46,75.496,1667078704.0,9364.821526,2.2e-05
161778,108077,"Maxwell ""Max"" Seales",M,23.0,183.0,80.0,Saint Lucia,LCA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,149004.0,2.57e-05,71.435,71.186,662196185.2,4444.150393,2.1e-05
