Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1187,822,Lennox Adams,M,20.0,,,Saint Vincent and the Grenadines,VCT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,,0,106536.0,2.09e-05,59.72,69.758,200726703.7,1884.120895,1.05e-05
2243,1598,Tolga Aslan Akcayli,M,19.0,,,Saint Vincent and the Grenadines,VCT,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,109328.0,1.54e-05,50.505,72.657,692933740.7,6338.11778,9.25e-06
3676,2574,Kineke Alicia Alexander,F,22.0,178.0,65.0,Saint Vincent and the Grenadines,VCT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,109165.0,1.61e-05,51.929,71.914,695428851.9,6370.437887,1.1e-05
3677,2574,Kineke Alicia Alexander,F,26.0,178.0,65.0,Saint Vincent and the Grenadines,VCT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,109328.0,1.54e-05,50.505,72.657,692933740.7,6338.11778,9.25e-06
3678,2574,Kineke Alicia Alexander,F,30.0,178.0,65.0,Saint Vincent and the Grenadines,VCT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,109643.0,1.47e-05,49.101,73.179,768224226.7,7006.596196,1.01e-05
10562,7305,Orde Ballantyne,M,26.0,,,Saint Vincent and the Grenadines,VCT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,106536.0,2.09e-05,59.72,69.758,200726703.7,1884.120895,1.05e-05
10563,7306,Pamenos Avorsant Ballantyne,M,22.0,187.0,67.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
10564,7306,Pamenos Avorsant Ballantyne,M,26.0,187.0,67.0,Saint Vincent and the Grenadines,VCT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,107898.0,1.76e-05,54.814,70.593,396270000.0,3672.635267,1.18e-05
27787,19059,Kahlil Cato,M,19.0,183.0,70.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
33460,22907,Eswort Lorenzo Brian Coombs,M,19.0,187.0,74.0,Saint Vincent and the Grenadines,VCT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,108003.0,1.98e-05,57.694,70.425,277954111.1,2573.577689,1.09e-05
33461,22907,Eswort Lorenzo Brian Coombs,M,19.0,187.0,74.0,Saint Vincent and the Grenadines,VCT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,108003.0,1.98e-05,57.694,70.425,277954111.1,2573.577689,1.09e-05
33462,22907,Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
33463,22907,Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
33464,22907,Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
39033,26994,Donnie Defreitas,M,19.0,165.0,62.0,Saint Vincent and the Grenadines,VCT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,108559.0,1.69e-05,53.367,71.014,521975111.1,4808.215911,1.19e-05
41039,28377,Thomas Dickson,M,22.0,183.0,70.0,Saint Vincent and the Grenadines,VCT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,108075.0,1.87e-05,56.259,70.628,331489703.7,3067.219095,1.05e-05
53643,36710,Andr Franois,M,24.0,,,Saint Vincent and the Grenadines,VCT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,106536.0,2.09e-05,59.72,69.758,200726703.7,1884.120895,1.05e-05
62212,42416,Andy Grant,M,20.0,170.0,57.0,Saint Vincent and the Grenadines,VCT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,108559.0,1.69e-05,53.367,71.014,521975111.1,4808.215911,1.19e-05
81075,55018,Izzy Shne Joachim,F,16.0,,,Saint Vincent and the Grenadines,VCT,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,,0,109643.0,1.47e-05,49.101,73.179,768224226.7,7006.596196,1.01e-05
103157,69232,Jared Lewis,M,26.0,,,Saint Vincent and the Grenadines,VCT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,109165.0,1.61e-05,51.929,71.914,695428851.9,6370.437887,1.1e-05
104982,70338,Eversley Augustus Linley,M,18.0,,,Saint Vincent and the Grenadines,VCT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,106536.0,2.09e-05,59.72,69.758,200726703.7,1884.120895,1.05e-05
