Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1545,1087,Evelina Afoa,F,17.0,162.0,60.0,Samoa,WSM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,,0,195125.0,2.62e-05,81.045,75.013,786356314.8,4030.013144,1.04e-05
2252,1606,Patsy Serafina Akeli,F,25.0,175.0,89.0,Samoa,WSM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,,0,178781.0,2.78e-05,78.543,70.673,420320176.4,2351.033815,9.6e-06
2253,1606,Patsy Serafina Akeli,F,29.0,175.0,89.0,Samoa,WSM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,,0,183526.0,2.71e-05,79.476,72.288,644132488.9,3509.761499,1.01e-05
3956,2761,Likou Aliu,M,26.0,170.0,75.0,Samoa,WSM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,,0,161421.0,3.16e-05,78.8,63.792,133016065.4,824.0319748,6.96e-06
3957,2761,Likou Aliu,M,30.0,170.0,75.0,Samoa,WSM,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,,0,165570.0,3.03e-05,78.742,65.91,132303041.4,799.0761696,5.21e-06
8564,5990,Salulolo Aumua,M,19.0,,,Samoa,WSM,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,159283.0,3.35e-05,78.8,61.772,109200934.3,685.5780862,9.02e-06
8639,6053,Avaavau Avaavau,M,23.0,166.0,63.0,Samoa,WSM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,,0,161421.0,3.16e-05,78.8,63.792,133016065.4,824.0319748,6.96e-06
15589,10615,Rudolf Berking-Williams,M,29.0,186.0,86.0,Samoa,WSM,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,0,183526.0,2.71e-05,79.476,72.288,644132488.9,3509.761499,1.01e-05
15590,10615,Rudolf Berking-Williams,M,29.0,186.0,86.0,Samoa,WSM,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",,0,183526.0,2.71e-05,79.476,72.288,644132488.9,3509.761499,1.01e-05
15591,10615,Rudolf Berking-Williams,M,33.0,186.0,86.0,Samoa,WSM,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",,0,189194.0,2.67e-05,80.361,73.875,801168622.3,4234.640751,1.07e-05
15592,10615,Rudolf Berking-Williams,M,33.0,186.0,86.0,Samoa,WSM,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,0,189194.0,2.67e-05,80.361,73.875,801168622.3,4234.640751,1.07e-05
25238,17326,Anne Cairns,F,35.0,,,Samoa,WSM,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",,0,195125.0,2.62e-05,81.045,75.013,786356314.8,4030.013144,1.04e-05
25239,17326,Anne Cairns,F,35.0,,,Samoa,WSM,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,0,195125.0,2.62e-05,81.045,75.013,786356314.8,4030.013144,1.04e-05
34525,23726,Talitiga Crawley,F,20.0,182.0,87.0,Samoa,WSM,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Heavyweight,,0,189194.0,2.67e-05,80.361,73.875,801168622.3,4234.640751,1.07e-05
35541,24390,Aunese Curreen,M,26.0,173.0,65.0,Samoa,WSM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,183526.0,2.71e-05,79.476,72.288,644132488.9,3509.761499,1.01e-05
42126,29069,Jeremy Dodson,M,28.0,180.0,72.0,Samoa,WSM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,0,195125.0,2.62e-05,81.045,75.013,786356314.8,4030.013144,1.04e-05
48782,33611,Loi Faaeteete,M,24.0,,,Samoa,WSM,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,,0,159283.0,3.35e-05,78.8,61.772,109200934.3,685.5780862,9.02e-06
48786,33614,Tiui Faamaoni,M,22.0,161.0,54.0,Samoa,WSM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,161421.0,3.16e-05,78.8,63.792,133016065.4,824.0319748,6.96e-06
