Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4952,3428,Francesco Amici,M,32.0,174.0,95.0,San Marino,SMR,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,,0,24749.0,4.54e-06,9.6,,,0,
4953,3428,Francesco Amici,M,36.0,174.0,95.0,San Marino,SMR,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,,0,26209.0,4.52e-06,7.948,,,0,
4954,3428,Francesco Amici,M,40.0,174.0,95.0,San Marino,SMR,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Trap,,0,27418.0,4.48e-06,6.56,,1101897072.0,40188.82019,3.28e-05
4955,3428,Francesco Amici,M,44.0,174.0,95.0,San Marino,SMR,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Trap,,0,28866.0,4.48e-06,5.994,,1877328036.0,65035.96051,4.29e-05
12504,8640,Maurizio Battistini,M,18.0,,,San Marino,SMR,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,19980.0,4.83e-06,26.434,,,0,
12505,8640,Maurizio Battistini,M,18.0,,,San Marino,SMR,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,,0,19980.0,4.83e-06,26.434,,,0,
15128,10289,Gian Nicola Berardi,M,25.0,178.0,72.0,San Marino,SMR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,28866.0,4.48e-06,5.994,,1877328036.0,65035.96051,4.29e-05
15867,10858,Gian Nicola Berti,M,28.0,172.0,74.0,San Marino,SMR,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Trap,,0,23466.0,4.6e-06,9.6,,,0,
18893,13004,Christian Bollini,M,21.0,178.0,70.0,San Marino,SMR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,22455.0,4.72e-06,12.905,,,0,
18894,13004,Christian Bollini,M,21.0,178.0,70.0,San Marino,SMR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,,0,22455.0,4.72e-06,12.905,,,0,
18895,13006,Germano Bollini,M,32.0,168.0,66.0,San Marino,SMR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,22455.0,4.72e-06,12.905,,,0,
23361,15990,Ivano Bucci,M,21.0,180.0,80.0,San Marino,SMR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,30351.0,4.49e-06,5.944,,2752307016.0,90682.581,4.33e-05
26204,17968,Aldo Canti,M,31.0,185.0,80.0,San Marino,SMR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,24749.0,4.54e-06,9.6,,,0,
26205,17968,Aldo Canti,M,31.0,185.0,80.0,San Marino,SMR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,24749.0,4.54e-06,9.6,,,0,
26206,17970,Dominique Fabien Canti,M,21.0,177.0,76.0,San Marino,SMR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,23466.0,4.6e-06,9.6,,,0,
26207,17970,Dominique Fabien Canti,M,25.0,177.0,76.0,San Marino,SMR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,24749.0,4.54e-06,9.6,,,0,
26208,17970,Dominique Fabien Canti,M,25.0,177.0,76.0,San Marino,SMR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,24749.0,4.54e-06,9.6,,,0,
