Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
9873,6858,Odair Pericles dos Ramos Jess da Costa Baia,M,18.0,176.0,63.0,Sao Tome and Principe,STP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,128821.0,2.22e-05,50.408,62.76,,0,
19133,13183,Celma da Graa Soares Bonfim,F,30.0,165.0,58.0,Sao Tome and Principe,STP,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",,0,166913.0,2.47e-05,39.566,65.5,188021168.8,1126.462102,2.96e-06
19134,13183,Celma da Graa Soares Bonfim,F,38.0,165.0,58.0,Sao Tome and Principe,STP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",,0,199910.0,2.69e-05,34.353,66.624,342781715.5,1714.680184,4.52e-06
35840,24593,Naiel Santiago D'Almeida,M,21.0,171.0,65.0,Sao Tome and Principe,STP,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,166913.0,2.47e-05,39.566,65.5,188021168.8,1126.462102,2.96e-06
35885,24639,Christopher Lima da Costa,M,24.0,175.0,62.0,Sao Tome and Principe,STP,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,182889.0,2.58e-05,36.735,66.125,252560557.1,1380.949959,3.37e-06
35924,24657,Fumilay da Fonseca,F,16.0,168.0,59.0,Sao Tome and Principe,STP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 20 kilometres Walk,,0,151969.0,2.36e-05,42.856,64.322,105360801.9,693.304568,2.41e-06
60564,41266,"Enezaide do Rosrio ""Naide"" da Vera Cruz Gomes",F,20.0,181.0,70.0,Sao Tome and Principe,STP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres Hurdles,,0,138606.0,2.27e-05,46.576,63.338,,0,
102159,68527,Romrio Martins Leito,M,19.0,175.0,56.0,Sao Tome and Principe,STP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,0,199910.0,2.69e-05,34.353,66.624,342781715.5,1714.680184,4.52e-06
126505,84585,Yazaldes Valdemar Nascimento Alfonso,M,18.0,182.0,63.0,Sao Tome and Principe,STP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,151969.0,2.36e-05,42.856,64.322,105360801.9,693.304568,2.41e-06
142191,94981,Arlindo Leocadio Pinheiro,M,29.0,176.0,78.0,Sao Tome and Principe,STP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,138606.0,2.27e-05,46.576,63.338,,0,
142460,95134,Sortelina da Silva Pires,F,19.0,165.0,56.0,Sao Tome and Principe,STP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,128821.0,2.22e-05,50.408,62.76,,0,
146657,97818,Lecabela Dias da Fonseca Quaresma,F,22.0,172.0,67.0,Sao Tome and Principe,STP,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,,0,182889.0,2.58e-05,36.735,66.125,252560557.1,1380.949959,3.37e-06
165468,110483,Alcino Gomes da Silva,M,17.0,175.0,70.0,Sao Tome and Principe,STP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,0,166913.0,2.47e-05,39.566,65.5,188021168.8,1126.462102,2.96e-06
165469,110483,Alcino Gomes da Silva,M,17.0,175.0,70.0,Sao Tome and Principe,STP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",,0,166913.0,2.47e-05,39.566,65.5,188021168.8,1126.462102,2.96e-06
183115,121964,Buly da Conceio Triste,M,25.0,164.0,58.0,Sao Tome and Principe,STP,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,0,199910.0,2.69e-05,34.353,66.624,342781715.5,1714.680184,4.52e-06
