Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
378,283,Mohamed Abed Abdul Jawad,M,22.0,169.0,65.0,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
387,291,Majed Ahmed Abdul Mohamed,M,26.0,172.0,70.0,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
401,305,Samir Ahmed Abdul Shakour,M,24.0,180.0,72.0,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
848,592,Mohamed Ahmed Abu Ali,M,19.0,,,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Individual",,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
849,592,Mohamed Ahmed Abu Ali,M,19.0,,,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
886,613,Kariman Abuljadayel,F,22.0,180.0,70.0,Saudi Arabia,SAU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,32275687.0,0.004336885,16.669,74.561,646000000000.0,20015.06583,0.008522427
2481,1764,Kamil Al-Abbasi,M,26.0,183.0,77.0,Saudi Arabia,SAU,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,,0,7818613.0,0.001888941,40.103,59.274,64005665722.0,8186.319712,0.00996973
2482,1764,Kamil Al-Abbasi,M,26.0,183.0,77.0,Saudi Arabia,SAU,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,,0,7818613.0,0.001888941,40.103,59.274,64005665722.0,8186.319712,0.00996973
2492,1770,Hassan Abdullah Al-Absi,M,,,,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
2493,1770,Hassan Abdullah Al-Absi,M,,,,Saudi Arabia,SAU,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,12484967.0,0.002622902,28.64,65.938,120000000000.0,9611.559246,0.009917355
