Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5707,4032,Daniel Andrade,M,22.0,173.0,60.0,Senegal,SEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,4525114.0,0.001178745,68.549,40.562,1280328245.0,282.9383403,0.00033961
5708,4032,Daniel Andrade,M,22.0,173.0,60.0,Senegal,SEN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,4525114.0,0.001178745,68.549,40.562,1280328245.0,282.9383403,0.00033961
8406,5876,Aly Atty,M,24.0,,,Senegal,SEN,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,,0,7107976.0,0.001392164,61.386,56.283,4985153203.0,701.3463753,0.000261003
8407,5876,Aly Atty,M,28.0,,,Senegal,SEN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,,0,8029725.0,0.001471686,60.812,57.529,6004885321.0,747.8320018,0.000236413
9158,6375,Abdoulaye Ba,M,21.0,197.0,79.0,Senegal,SEN,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,13703513.0,0.001930779,57.219,65.393,14225310519.0,1038.077646,0.000189924
9161,6378,Khathia B,F,17.0,168.0,61.0,Senegal,SEN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,0,12203957.0,0.001804319,58.26,62.755,13439023281.0,1101.202117,0.000211638
9162,6379,Omar Ba,M,22.0,,,Senegal,SEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,4525114.0,0.001178745,68.549,40.562,1280328245.0,282.9383403,0.00033961
9163,6380,Papa Ibrahima Ba,M,30.0,186.0,77.0,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,5064674.0,0.001223602,65.628,44.641,2266860656.0,447.582738,0.000353094
9172,6388,Amadou Cir Baal,M,32.0,182.0,78.0,Senegal,SEN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,6289327.0,0.001321292,62.809,52.946,2705535756.0,430.1788977,0.000223598
9636,6677,Karim Badiane,M,21.0,176.0,76.0,Senegal,SEN,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,,0,5592646.0,0.001260261,64.231,48.944,3503282103.0,626.4086987,0.000312793
