Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3609,2516,Aleksandar Aleksi,M,20.0,188.0,89.0,Serbia,SRB,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
3610,2517,Milan Aleksi,M,26.0,193.0,96.0,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
3611,2517,Milan Aleksi,M,30.0,193.0,96.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
7634,5346,Andrea Arsovi,F,25.0,165.0,61.0,Serbia,SRB,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
7635,5346,Andrea Arsovi,F,25.0,165.0,61.0,Serbia,SRB,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
7636,5346,Andrea Arsovi,F,29.0,165.0,61.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
7637,5346,Andrea Arsovi,F,29.0,165.0,61.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
7743,5406,Zorana Arunovi,F,25.0,168.0,90.0,Serbia,SRB,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
7744,5406,Zorana Arunovi,F,25.0,168.0,90.0,Serbia,SRB,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
7745,5406,Zorana Arunovi,F,29.0,168.0,90.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
7746,5406,Zorana Arunovi,F,29.0,168.0,90.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
8234,5747,Aleksandar Atanasijevi,M,20.0,201.0,84.0,Serbia,SRB,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
13888,9512,Emir Bekri,M,21.0,195.0,88.0,Serbia,SRB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
14062,9614,Bojan Beljanski,M,26.0,200.0,105.0,Serbia,SRB,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
16297,11184,Nenad Beik,M,23.0,202.0,96.0,Serbia,SRB,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,,0,7199077.0,0.001014326,44.693,74.83658537,40742313861.0,5659.380204,0.000543956
16298,11184,Nenad Beik,M,27.0,202.0,96.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,,0,7057412.0,0.000948305,44.332,75.23902439,38299854688.0,5426.897946,0.000505275
