Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1092,765,Jean-Paul Adam,M,15.0,,,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
1093,765,Jean-Paul Adam,M,15.0,,,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Freestyle,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
1094,765,Jean-Paul Adam,M,15.0,,,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
1098,768,Joseph Adam,M,27.0,172.0,70.0,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
1609,1123,Arthure Agathine,M,19.0,180.0,72.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
1701,1204,Lindy Brigitte Agricole (Leveau-),F,34.0,175.0,70.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
1847,1314,Juliette Chantal Ah-Wan,F,27.0,155.0,57.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Mixed Doubles,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
4179,2913,Andrique Allisop,M,19.0,171.0,60.0,Seychelles,SYC,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Lightweight,,0,88303.0,1.24e-05,47.085,74.27560976,1134267367.0,12845.17363,1.51e-05
4180,2913,Andrique Allisop,M,23.0,171.0,60.0,Seychelles,SYC,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,,0,94677.0,1.27e-05,45.786,74.3097561,1427323889.0,15075.71944,1.88e-05
8616,6032,Shrone Austin,F,15.0,175.0,70.0,Seychelles,SYC,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,,0,82475.0,1.28e-05,49.159,72.66097561,839319927.3,10176.65871,1.92e-05
8617,6032,Shrone Austin,F,19.0,175.0,70.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
9071,6309,Ned Justeen Azemia,M,18.0,177.0,65.0,Seychelles,SYC,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,0,94677.0,1.27e-05,45.786,74.3097561,1427323889.0,15075.71944,1.88e-05
9380,6503,Steven Jeffrey Baccus,M,18.0,172.0,81.0,Seychelles,SYC,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,76417.0,1.32e-05,50.387,71.56097561,503068472.2,6583.201018,1.59e-05
13127,9060,"Daniel Gerard ""Danny"" Beauchamp",M,23.0,174.0,70.0,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
13128,9060,"Daniel Gerard ""Danny"" Beauchamp",M,23.0,174.0,70.0,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
19151,13208,Basil Boniface,M,22.0,162.0,67.0,Seychelles,SYC,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,,0,64717.0,1.36e-05,50.693,69.55365854,151313242.0,2338.075652,1.25e-05
22170,15165,Bertrand Bristol,M,22.0,186.0,72.0,Seychelles,SYC,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,0,82475.0,1.28e-05,49.159,72.66097561,839319927.3,10176.65871,1.92e-05
25085,17224,Rival Cadeau (-Payet),M,28.0,187.0,71.0,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
25086,17224,Rival Cadeau (-Payet),M,32.0,187.0,71.0,Seychelles,SYC,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,,0,76417.0,1.32e-05,50.387,71.56097561,503068472.2,6583.201018,1.59e-05
33137,22650,Vincent Confait,M,20.0,179.0,67.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
33138,22650,Vincent Confait,M,20.0,179.0,67.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
33139,22650,Vincent Confait,M,24.0,179.0,67.0,Seychelles,SYC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,64717.0,1.36e-05,50.693,69.55365854,151313242.0,2338.075652,1.25e-05
33140,22650,Vincent Confait,M,24.0,179.0,67.0,Seychelles,SYC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,0,64717.0,1.36e-05,50.693,69.55365854,151313242.0,2338.075652,1.25e-05
33143,22652,Rick Yves Confiance,M,22.0,165.0,62.0,Seychelles,SYC,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,,0,94677.0,1.27e-05,45.786,74.3097561,1427323889.0,15075.71944,1.88e-05
35496,24353,Georgie Winsley Cupidon,M,26.0,175.0,80.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Mixed Doubles,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
38279,26360,"Elizabeth ""Bessey"" de Ltourdie",F,18.0,164.0,53.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
38280,26360,"Elizabeth ""Bessey"" de Ltourdie",F,18.0,164.0,53.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
41062,28392,Dwayne Benjamin Didon,M,13.0,,,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
41737,28812,Terrence Dixie,M,24.0,152.0,83.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
43796,30167,Danny D'Souza,M,20.0,165.0,65.0,Seychelles,SYC,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,86956.0,1.29e-05,48.225,73.16341463,967199594.0,11122.86207,1.52e-05
44192,30470,Dominic Dugasse,M,27.0,188.0,99.0,Seychelles,SYC,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,,0,88303.0,1.24e-05,47.085,74.27560976,1134267367.0,12845.17363,1.51e-05
44193,30470,Dominic Dugasse,M,31.0,188.0,99.0,Seychelles,SYC,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,,0,94677.0,1.27e-05,45.786,74.3097561,1427323889.0,15075.71944,1.88e-05
48184,33188,Jean-Yves Esparon,M,17.0,,,Seychelles,SYC,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,88303.0,1.24e-05,47.085,74.27560976,1134267367.0,12845.17363,1.51e-05
49329,33958,Aurelie Fanchette,F,14.0,162.0,50.0,Seychelles,SYC,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,,0,88303.0,1.24e-05,47.085,74.27560976,1134267367.0,12845.17363,1.51e-05
49371,33982,Giovanny Fanny,M,27.0,164.0,55.0,Seychelles,SYC,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,70763.0,1.3e-05,50.678,71.21463415,433667193.8,6128.445569,1.71e-05
61321,41739,Antonio Gopal,M,33.0,181.0,71.0,Seychelles,SYC,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,,0,63261.0,1.43e-05,50.634,69.59756098,147357222.8,2329.353358,1.32e-05
74947,51110,Joanna Huoareau,F,21.0,160.0,54.0,Seychelles,SYC,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,81131.0,1.33e-05,49.88,72.77804878,614879764.8,7578.851053,1.83e-05
82705,56254,Kitson Julie,M,21.0,179.0,64.0,Seychelles,SYC,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Welterweight,,0,82475.0,1.28e-05,49.159,72.66097561,839319927.3,10176.65871,1.92e-05
