Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2199,1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,3365441.0,0.000758377,70.181,40.641,1100685845.0,327.0554572,9.83e-05
2200,1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,,0,3365441.0,0.000758377,70.181,40.641,1100685845.0,327.0554572,9.83e-05
2201,1568,William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3365441.0,0.000758377,70.181,40.641,1100685845.0,327.0554572,9.83e-05
4754,3300,Prince Amara,M,19.0,180.0,70.0,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,4331332.0,0.000793845,66.28,36.246,679997997.6,156.9951224,2.68e-05
4755,3300,Prince Amara,M,23.0,180.0,70.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,4282350.0,0.000739283,65.333,35.98,941742152.7,219.9124669,2.98e-05
10858,7516,Hawanatu Bangura,F,16.0,142.0,52.0,Sierra Leone,SLE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,5439695.0,0.000845153,63.404,42.66,1431208677.0,263.1045816,3.27e-05
10859,7517,Mohamed Bangura,M,21.0,170.0,57.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,,0,3365441.0,0.000758377,70.181,40.641,1100685845.0,327.0554572,9.83e-05
11219,7734,Eunice Barber,F,17.0,175.0,68.0,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,,0,4331332.0,0.000793845,66.28,36.246,679997997.6,156.9951224,2.68e-05
11220,7734,Eunice Barber,F,17.0,175.0,68.0,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,,0,4331332.0,0.000793845,66.28,36.246,679997997.6,156.9951224,2.68e-05
11221,7734,Eunice Barber,F,17.0,175.0,68.0,Sierra Leone,SLE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,,0,4331332.0,0.000793845,66.28,36.246,679997997.6,156.9951224,2.68e-05
11222,7734,Eunice Barber,F,21.0,175.0,68.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,4282350.0,0.000739283,65.333,35.98,941742152.7,219.9124669,2.98e-05
11223,7734,Eunice Barber,F,21.0,175.0,68.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,,0,4282350.0,0.000739283,65.333,35.98,941742152.7,219.9124669,2.98e-05
11224,7734,Eunice Barber,F,21.0,175.0,68.0,Sierra Leone,SLE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,,0,4282350.0,0.000739283,65.333,35.98,941742152.7,219.9124669,2.98e-05
14237,9722,Joseph T. Bellon,M,24.0,,76.0,Sierra Leone,SLE,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Middleweight,,0,4564297.0,0.000746035,64.374,38.702,635874002.2,139.3147734,1.89e-05
14881,10126,Ivan Benjamin,M,22.0,,,Sierra Leone,SLE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,3699467.0,0.000777202,68.445,40.616,1087471862.0,293.9536593,8.99e-05
14882,10126,Ivan Benjamin,M,22.0,,,Sierra Leone,SLE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,3699467.0,0.000777202,68.445,40.616,1087471862.0,293.9536593,8.99e-05
14883,10126,Ivan Benjamin,M,22.0,,,Sierra Leone,SLE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,3699467.0,0.000777202,68.445,40.616,1087471862.0,293.9536593,8.99e-05
