Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
442,332,Zarinah Abdullah,F,21.0,,,Singapore,SGP,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,,0,3230698.0,0.000592121,0.0,75.94634146,52156414979.0,16144.00819,0.002053402
443,332,Zarinah Abdullah,F,25.0,,,Singapore,SGP,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Women's Singles,,0,3670704.0,0.000633692,0.0,76.59512195,96403758865.0,26263.01627,0.003050752
2111,1515,Saiyidah Aisyah Mohamed Rafa'ee,F,28.0,173.0,68.0,Singapore,SGP,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,,0,5607283.0,0.000753451,0.0,82.79512195,297000000000.0,52966.82903,0.003918206
6044,4264,Ang Peng Siong,M,21.0,180.0,75.0,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,,0,2732221.0,0.000573998,0.0,73.2902439,19735920492.0,7223.398287,0.001631068
6045,4264,Ang Peng Siong,M,21.0,180.0,75.0,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,2732221.0,0.000573998,0.0,73.2902439,19735920492.0,7223.398287,0.001631068
6046,4264,Ang Peng Siong,M,21.0,180.0,75.0,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,,0,2732221.0,0.000573998,0.0,73.2902439,19735920492.0,7223.398287,0.001631068
6047,4264,Ang Peng Siong,M,21.0,180.0,75.0,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,2732221.0,0.000573998,0.0,73.2902439,19735920492.0,7223.398287,0.001631068
6048,4264,Ang Peng Siong,M,25.0,180.0,75.0,Singapore,SGP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,,0,2846108.0,0.000557437,0.0,74.69756098,25337226971.0,8902.412337,0.001326556
6049,4264,Ang Peng Siong,M,25.0,180.0,75.0,Singapore,SGP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,0,2846108.0,0.000557437,0.0,74.69756098,25337226971.0,8902.412337,0.001326556
6050,4264,Ang Peng Siong,M,25.0,180.0,75.0,Singapore,SGP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,2846108.0,0.000557437,0.0,74.69756098,25337226971.0,8902.412337,0.001326556
6051,4264,Ang Peng Siong,M,25.0,180.0,75.0,Singapore,SGP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,,0,2846108.0,0.000557437,0.0,74.69756098,25337226971.0,8902.412337,0.001326556
6052,4264,Ang Peng Siong,M,25.0,180.0,75.0,Singapore,SGP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,2846108.0,0.000557437,0.0,74.69756098,25337226971.0,8902.412337,0.001326556
20625,14199,"Mei Yen ""Christel"" Bouvron",F,15.0,165.0,62.0,Singapore,SGP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,,0,4027887.0,0.000658359,0.0,77.95121951,95833932715.0,23792.60707,0.0028522
20626,14199,"Mei Yen ""Christel"" Bouvron",F,15.0,165.0,62.0,Singapore,SGP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,,0,4027887.0,0.000658359,0.0,77.95121951,95833932715.0,23792.60707,0.0028522
20627,14199,"Mei Yen ""Christel"" Bouvron",F,19.0,165.0,62.0,Singapore,SGP,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,,0,4166664.0,0.000647365,0.0,79.4902439,114000000000.0,27360.01751,0.00260274
25179,17291,Cai Xiao Li,M,28.0,178.0,70.0,Singapore,SGP,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Team,,0,4839396.0,0.000715491,0.0,80.7902439,192000000000.0,39674.37259,0.003023622
28704,19694,"Li Yin ""Pat"" Chan",F,18.0,173.0,64.0,Singapore,SGP,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,,0,2152400.0,0.000560678,0.0,69.04290244,2719900351.0,1263.659334,0.000721459
28705,19694,"Li Yin ""Pat"" Chan",F,18.0,173.0,64.0,Singapore,SGP,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,,0,2152400.0,0.000560678,0.0,69.04290244,2719900351.0,1263.659334,0.000721459
28711,19697,"Kum Wah ""Roy"" Chan",M,16.0,,,Singapore,SGP,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Butterfly,,0,2152400.0,0.000560678,0.0,69.04290244,2719900351.0,1263.659334,0.000721459
28712,19697,"Kum Wah ""Roy"" Chan",M,16.0,,,Singapore,SGP,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Butterfly,,0,2152400.0,0.000560678,0.0,69.04290244,2719900351.0,1263.659334,0.000721459
28713,19697,"Kum Wah ""Roy"" Chan",M,16.0,,,Singapore,SGP,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,,0,2152400.0,0.000560678,0.0,69.04290244,2719900351.0,1263.659334,0.000721459
29169,20063,"Jung Jun ""Mark"" Chay",M,18.0,176.0,78.0,Singapore,SGP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,,0,4027887.0,0.000658359,0.0,77.95121951,95833932715.0,23792.60707,0.0028522
29170,20063,"Jung Jun ""Mark"" Chay",M,18.0,176.0,78.0,Singapore,SGP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,,0,4027887.0,0.000658359,0.0,77.95121951,95833932715.0,23792.60707,0.0028522
29171,20063,"Jung Jun ""Mark"" Chay",M,22.0,176.0,78.0,Singapore,SGP,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,4166664.0,0.000647365,0.0,79.4902439,114000000000.0,27360.01751,0.00260274
