Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
760,538,Jernej Abrami,M,31.0,175.0,70.0,Slovenia,SVN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,0,1988628.0,0.000343307,49.357,74.45853659,21480023017.0,10801.42843,0.000679748
1029,707,Urban Acman,M,24.0,180.0,83.0,Slovenia,SVN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1988925.0,0.00032509,49.248,75.41219512,20342201356.0,10227.73677,0.000605423
6209,4368,Franka Ani,F,21.0,181.0,67.0,Slovenia,SVN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Welterweight,,0,2057159.0,0.000289847,50.144,80.12439024,46352802766.0,22532.43564,0.000618863
9286,6455,Lavra Babi,F,17.0,170.0,57.0,Slovenia,SVN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,,0,1997012.0,0.000310271,49.407,77.20731707,34470227454.0,17260.90151,0.000786991
10825,7493,Tettey-Sowah Banfro,M,31.0,190.0,93.0,Slovenia,SVN,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,,0,1988925.0,0.00032509,49.248,75.41219512,20342201356.0,10227.73677,0.000605423
12315,8529,Polona Batagelj,F,23.0,173.0,53.0,Slovenia,SVN,2012 Summer,2012,Summer,London,Cycling,"Cycling Women's Road Race, Individual",,0,2057159.0,0.000289847,50.144,80.12439024,46352802766.0,22532.43564,0.000618863
12316,8529,Polona Batagelj,F,27.0,173.0,53.0,Slovenia,SVN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",,0,2064845.0,0.000277453,50.373,80.77560976,44708598649.0,21652.27833,0.000589823
12535,8661,Martin Bau,M,21.0,182.0,74.0,Slovenia,SVN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,2064845.0,0.000277453,50.373,80.77560976,44708598649.0,21652.27833,0.000589823
12606,8709,Klemen Bauer,M,20.0,183.0,72.0,Slovenia,SVN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,2006868.0,0.000304144,49.591,78.08658537,39587732029.0,19726.1265,0.000770189
12607,8709,Klemen Bauer,M,20.0,183.0,72.0,Slovenia,SVN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,,0,2006868.0,0.000304144,49.591,78.08658537,39587732029.0,19726.1265,0.000770189
12608,8709,Klemen Bauer,M,20.0,183.0,72.0,Slovenia,SVN,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,2006868.0,0.000304144,49.591,78.08658537,39587732029.0,19726.1265,0.000770189
12609,8709,Klemen Bauer,M,24.0,183.0,72.0,Slovenia,SVN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,2048583.0,0.000295583,49.96,79.42195122,48013606745.0,23437.47202,0.000727479
12610,8709,Klemen Bauer,M,24.0,183.0,72.0,Slovenia,SVN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,,0,2048583.0,0.000295583,49.96,79.42195122,48013606745.0,23437.47202,0.000727479
