Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5244,3627,Tony Analau,M,27.0,,62.0,Solomon Islands,SLB,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,,0,369469.0,6.38e-05,85.131,60.475,565163750.6,1529.664872,1.79e-05
8221,5733,Leslie Ata,M,20.0,,70.5,Solomon Islands,SLB,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,,0,262709.0,5.52e-05,87.959,57.705,252806783.4,962.3072807,2.09e-05
8222,5733,Leslie Ata,M,28.0,,70.5,Solomon Islands,SLB,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Middleweight,,0,329953.0,6.05e-05,85.935,57.796,378778047.2,1147.975764,1.49e-05
12773,8815,Tommy Bauro,M,23.0,180.0,80.0,Solomon Islands,SLB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,,0,294964.0,5.78e-05,86.702,56.204,310684273.7,1053.295567,1.63e-05
48923,33711,Benjamin Fafale,M,20.0,,69.0,Solomon Islands,SLB,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middleweight,,0,294964.0,5.78e-05,86.702,56.204,310684273.7,1053.295567,1.63e-05
51792,35473,Sharon Firisua,F,22.0,,,Solomon Islands,SLB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",,0,599419.0,8.05e-05,77.221,70.726,1202125000.0,2005.483643,1.59e-05
57931,39482,Nester Geniwala'a,F,19.0,,,Solomon Islands,SLB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,369469.0,6.38e-05,85.131,60.475,565163750.6,1529.664872,1.79e-05
66014,44959,Wendy Hale,F,20.0,162.0,58.0,Solomon Islands,SLB,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Lightweight,,0,504477.0,7.46e-05,80.862,67.641,608293860.3,1205.791067,9.58e-06
71111,48470,Primo Higa,M,23.0,,,Solomon Islands,SLB,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,369469.0,6.38e-05,85.131,60.475,565163750.6,1529.664872,1.79e-05
71112,48470,Primo Higa,M,27.0,,,Solomon Islands,SLB,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,412609.0,6.74e-05,84.187,63.103,435103853.5,1054.518572,1.29e-05
