Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
639,461,Mohamed Aboker,M,26.0,175.0,61.0,Somalia,SOM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,3475022.0,0.000905207,76.165,41.728,,0,
640,461,Mohamed Aboker,M,26.0,175.0,61.0,Somalia,SOM,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,3475022.0,0.000905207,76.165,41.728,,0,
871,609,Fartun Abukar Omar,F,18.0,170.0,58.0,Somalia,SOM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,10116228.0,0.001571734,65.24,52.042,,0,
1236,863,Aboukar Hassan Adani,M,20.0,165.0,59.0,Somalia,SOM,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",,0,7165295.0,0.001403391,71.031,45.908,,0,
1237,863,Aboukar Hassan Adani,M,28.0,165.0,59.0,Somalia,SOM,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",,0,7892389.0,0.001362503,68.215,48.065,,0,
1316,920,Ibrahim Mohamed Aden Gedi,M,23.0,178.0,75.0,Somalia,SOM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,7892389.0,0.001362503,68.215,48.065,,0,
1317,920,Ibrahim Mohamed Aden Gedi,M,27.0,178.0,75.0,Somalia,SOM,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,9011479.0,0.001472927,66.753,50.867,,0,
1318,921,Jama Awil Aden,M,23.0,176.0,69.0,Somalia,SOM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,,0,3475022.0,0.000905207,76.165,41.728,,0,
1319,922,Jama Mohamed Aden,M,21.0,180.0,68.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,6747932.0,0.001417638,72.196,45.957,,0,
1320,922,Jama Mohamed Aden,M,21.0,180.0,68.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,6747932.0,0.001417638,72.196,45.957,,0,
1321,922,Jama Mohamed Aden,M,26.0,180.0,68.0,Somalia,SOM,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,7165295.0,0.001403391,71.031,45.908,,0,
1919,1383,Abdul Lahij Ahmed,M,,175.0,55.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,6747932.0,0.001417638,72.196,45.957,,0,
16701,11487,Abdi Bile Abdi,M,19.0,185.0,75.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,6747932.0,0.001417638,72.196,45.957,,0,
16702,11487,Abdi Bile Abdi,M,19.0,185.0,75.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,6747932.0,0.001417638,72.196,45.957,,0,
16703,11487,Abdi Bile Abdi,M,31.0,185.0,75.0,Somalia,SOM,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,7892389.0,0.001362503,68.215,48.065,,0,
49413,34014,Zamzam Mohamed Farah,F,21.0,,,Somalia,SOM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,12763776.0,0.001798373,61.847,54.694,,0,
74572,50832,Ali Mohamed Hufane,M,,170.0,65.0,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",,0,6747932.0,0.001417638,72.196,45.957,,0,
75165,51247,Safia Abukar Hussein,F,19.0,168.0,56.0,Somalia,SOM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,9011479.0,0.001472927,66.753,50.867,,0,
