Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
199,144,Geoffrey Grant Abbott,M,23.0,179.0,80.0,South Africa,ZAF,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,,0,49557573.3,0.007326942,38.846,53.72,287000000000.0,5791.24402,0.004519685
720,516,Clyde Abrahams,M,29.0,178.0,68.0,South Africa,ZAF,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,,0,49557573.3,0.007326942,38.846,53.72,287000000000.0,5791.24402,0.004519685
1178,812,David Dixie Adams,M,30.0,188.0,79.0,South Africa,ZAF,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,,0,44896856.0,0.007338395,43.109,56.341,136000000000.0,3029.165338,0.004047619
1250,879,Corran Descy Addison,M,23.0,170.0,65.0,South Africa,ZAF,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,0,38646788.0,0.007083172,46.962,62.251,135000000000.0,3493.175164,0.005314961
1439,1005,Neil Isaac Adonis,M,31.0,182.0,93.0,South Africa,ZAF,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,,0,44896856.0,0.007338395,43.109,56.341,136000000000.0,3029.165338,0.004047619
1555,1095,Cecil Sebastian Afrika,M,28.0,175.0,75.0,South Africa,ZAF,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,0,55908865.0,0.007512476,34.705,62.774,295000000000.0,5276.444084,0.003891821
1578,1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,South Africa,ZAF,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,0,55908865.0,0.007512476,34.705,62.774,295000000000.0,5276.444084,0.003891821
1660,1169,Marilyn Agliotti,F,21.0,172.0,58.0,South Africa,ZAF,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,,0,44896856.0,0.007338395,43.109,56.341,136000000000.0,3029.165338,0.004047619
3769,2621,Clint Alfino,M,32.0,178.0,85.0,South Africa,ZAF,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,,0,44896856.0,0.007338395,43.109,56.341,136000000000.0,3029.165338,0.004047619
3770,2622,Francisco Alfino,M,23.0,174.0,70.0,South Africa,ZAF,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,,0,44896856.0,0.007338395,43.109,56.341,136000000000.0,3029.165338,0.004047619
3981,2775,Antonio Alkana,M,26.0,183.0,76.0,South Africa,ZAF,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,55908865.0,0.007512476,34.705,62.774,295000000000.0,5276.444084,0.003891821
5479,3839,Kevin Anderson,M,22.0,200.0,86.0,South Africa,ZAF,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Singles,,0,49557573.3,0.007326942,38.846,53.72,287000000000.0,5791.24402,0.004519685
