Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1965,1422,Ahn Jin-Soo,M,18.0,178.0,70.0,South Korea,KOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,0,43747962.0,0.008018114,24.18,72.49756098,350000000000.0,8000.37268,0.013779528
1966,1422,Ahn Jin-Soo,M,18.0,178.0,70.0,South Korea,KOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,43747962.0,0.008018114,24.18,72.49756098,350000000000.0,8000.37268,0.013779528
1967,1422,Ahn Jin-Soo,M,18.0,178.0,70.0,South Korea,KOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,,0,43747962.0,0.008018114,24.18,72.49756098,350000000000.0,8000.37268,0.013779528
1968,1422,Ahn Jin-Soo,M,18.0,178.0,70.0,South Korea,KOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,,0,43747962.0,0.008018114,24.18,72.49756098,350000000000.0,8000.37268,0.013779528
1969,1422,Ahn Jin-Soo,M,20.0,178.0,70.0,South Korea,KOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,0,44641540.0,0.007936499,22.548,73.39756098,456000000000.0,10214.70137,0.016402878
1970,1422,Ahn Jin-Soo,M,20.0,178.0,70.0,South Korea,KOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,44641540.0,0.007936499,22.548,73.39756098,456000000000.0,10214.70137,0.016402878
1971,1422,Ahn Jin-Soo,M,20.0,178.0,70.0,South Korea,KOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,,0,44641540.0,0.007936499,22.548,73.39756098,456000000000.0,10214.70137,0.016402878
1972,1422,Ahn Jin-Soo,M,24.0,178.0,70.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,0,46286503.0,0.007769793,20.855,75.00487805,374000000000.0,8080.109228,0.011948882
1973,1422,Ahn Jin-Soo,M,24.0,178.0,70.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,46286503.0,0.007769793,20.855,75.00487805,374000000000.0,8080.109228,0.011948882
1974,1422,Ahn Jin-Soo,M,24.0,178.0,70.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,,0,46286503.0,0.007769793,20.855,75.00487805,374000000000.0,8080.109228,0.011948882
1975,1422,Ahn Jin-Soo,M,24.0,178.0,70.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,,0,46286503.0,0.007769793,20.855,75.00487805,374000000000.0,8080.109228,0.011948882
5148,3566,An Ba-Ul,M,22.0,169.0,66.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Silver,0,51245707.0,0.006885887,17.408,82.02439024,1410000000000.0,27514.4999,0.018601583
5149,3567,An Byeong-Geun,M,22.0,172.0,78.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,Gold,0,40405956.0,0.008488678,36.699,68.19512195,96597434180.0,2390.673152,0.007983259
5150,3567,An Byeong-Geun,M,26.0,172.0,78.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,,1,42031247.0,0.008232217,29.611,70.54878049,197000000000.0,4686.989182,0.010314136
5151,3568,An Byeong-Gyun,M,21.0,178.0,64.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Rifle, 10 metres",,1,42031247.0,0.008232217,29.611,70.54878049,197000000000.0,4686.989182,0.010314136
5152,3569,An Byeong-Hun,M,24.0,186.0,95.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,,0,51245707.0,0.006885887,17.408,82.02439024,1410000000000.0,27514.4999,0.018601583
5153,3570,An Byeong-Hun,M,24.0,170.0,60.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",,0,27984155.0,0.008588835,68.628,56.02358537,3458518494.0,123.5884555,0.001921399
5154,3570,An Byeong-Hun,M,24.0,170.0,60.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,27984155.0,0.008588835,68.628,56.02358537,3458518494.0,123.5884555,0.001921399
5155,3572,An Chang-Rim,M,22.0,170.0,73.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,,0,51245707.0,0.006885887,17.408,82.02439024,1410000000000.0,27514.4999,0.018601583
5156,3573,An Cheon-Yeong,M,24.0,163.0,57.0,South Korea,KOR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",,0,30838302.0,0.008724148,63.154,59.4182439,6117260076.0,198.3656583,0.002507074
5157,3573,An Cheon-Yeong,M,28.0,163.0,57.0,South Korea,KOR,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",,0,33505406.0,0.00872781,56.308,63.0097561,10842220469.0,323.5961525,0.002875921
5158,3574,An Dae-Hyeon,M,25.0,166.0,67.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,1,42031247.0,0.008232217,29.611,70.54878049,197000000000.0,4686.989182,0.010314136
5159,3575,An Dal-Ho,M,21.0,183.0,75.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,40405956.0,0.008488678,36.699,68.19512195,96597434180.0,2390.673152,0.007983259
5160,3577,An Deok-Gi,M,24.0,173.0,58.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,27984155.0,0.008588835,68.628,56.02358537,3458518494.0,123.5884555,0.001921399
5161,3577,An Deok-Gi,M,24.0,173.0,58.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Team",,0,27984155.0,0.008588835,68.628,56.02358537,3458518494.0,123.5884555,0.001921399
