Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
128,87,Rost'om Omeris dze Abashidze,M,29.0,188.0,97.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,226149580.0,0.06940933,,,,0,
129,88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,168.0,105.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,,0,263996412.0,0.059489596,,,,0,
415,316,Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,0,245783530.0,0.064024052,,,,0,
486,360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24.0,174.0,72.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,283550909.0,0.055536126,,,,0,
635,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,,0,245783530.0,0.064024052,,,,0,
636,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,0,245783530.0,0.064024052,,,,0,
637,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,0,245783530.0,0.064024052,,,,0,
638,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,245783530.0,0.064024052,,,,0,
763,540,Andrey Vasilyevich Abramov,M,24.0,180.0,100.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Heavyweight,,0,212953680.0,0.070184612,,,,0,
766,542,Nikolay Kuzmich Abramov,M,30.0,164.0,59.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,,0,226149580.0,0.06940933,,,,0,
769,545,Valery Aleksandrovich Abramov,M,23.0,173.0,61.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,263996412.0,0.059489596,,,,0,
770,546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,,0,283550909.0,0.055536126,,,,0,
771,546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,0,283550909.0,0.055536126,,,,0,
772,547,Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver,0,226149580.0,0.06940933,,,,0,
834,582,Saypulla Atavovich Absaidov,M,22.0,168.0,68.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,0,263996412.0,0.059489596,,,,0,
892,618,Aleksandr Veniaminovich Abushakhmetov,M,21.0,189.0,81.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Individual",,0,254758268.0,0.061548434,,,,0,
893,618,Aleksandr Veniaminovich Abushakhmetov,M,21.0,189.0,81.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",,0,254758268.0,0.061548434,,,,0,
894,618,Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Individual",,0,263996412.0,0.059489596,,,,0,
895,618,Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze,0,263996412.0,0.059489596,,,,0,
896,619,Magomedgasan Mingazhutdinovich Abushev,M,20.0,170.0,62.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,0,263996412.0,0.059489596,,,,0,
984,680,Rita Nikolayevna Achkina,F,25.0,168.0,63.0,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,,0,226149580.0,0.06940933,,,,0,
985,680,Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,,0,236614402.0,0.066938155,,,,0,
986,680,Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze,0,236614402.0,0.066938155,,,,0,
