Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
585,429,Ruwani Abeymanne,F,30.0,160.0,53.0,Sri Lanka,LKA,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,18655000.0,0.003049162,81.557,71.002,16330814180.0,875.412178,0.000486036
586,429,Ruwani Abeymanne,F,30.0,160.0,53.0,Sri Lanka,LKA,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,18655000.0,0.003049162,81.557,71.002,16330814180.0,875.412178,0.000486036
587,430,Matthew Duncan Abeysinghe,M,20.0,180.0,74.0,Sri Lanka,LKA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,,0,21203000.0,0.002849048,81.593,75.284,81321876307.0,3835.394817,0.001072848
4919,3410,Vijitha Padmini Amerasekera,F,30.0,170.0,64.0,Sri Lanka,LKA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Javelin Throw,,0,17524000.0,0.003211794,81.459,69.66,9703011636.0,553.6984499,0.000382008
17278,11869,Janaka Biyanwila,M,31.0,,,Sri Lanka,LKA,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Springboard,,0,18210000.0,0.003143683,81.508,69.267,13897738375.0,763.192662,0.000439802
18882,13000,Julian Bolling,M,18.0,177.0,70.0,Sri Lanka,LKA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,,0,15583000.0,0.003273752,81.361,69.058,6043474843.0,387.8248632,0.000499461
18883,13000,Julian Bolling,M,18.0,177.0,70.0,Sri Lanka,LKA,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,15583000.0,0.003273752,81.361,69.058,6043474843.0,387.8248632,0.000499461
18884,13000,Julian Bolling,M,18.0,177.0,70.0,Sri Lanka,LKA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,,0,15583000.0,0.003273752,81.361,69.058,6043474843.0,387.8248632,0.000499461
18885,13000,Julian Bolling,M,22.0,177.0,70.0,Sri Lanka,LKA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,,0,16593000.0,0.003249896,81.41,69.209,6978371581.0,420.5611753,0.00036536
18886,13000,Julian Bolling,M,22.0,177.0,70.0,Sri Lanka,LKA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Individual Medley,,0,16593000.0,0.003249896,81.41,69.209,6978371581.0,420.5611753,0.00036536
18887,13000,Julian Bolling,M,26.0,177.0,70.0,Sri Lanka,LKA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,,0,17524000.0,0.003211794,81.459,69.66,9703011636.0,553.6984499,0.000382008
18888,13000,Julian Bolling,M,26.0,177.0,70.0,Sri Lanka,LKA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,,0,17524000.0,0.003211794,81.459,69.66,9703011636.0,553.6984499,0.000382008
