Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
102,66,Mohamed Abakkar,M,,156.0,48.0,Sudan,SDN,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Flyweight,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
238,173,Mohamed Abdel Fatah,M,,170.0,69.0,Sudan,SDN,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
242,178,Sayed Abdel Gadir,M,23.0,180.0,56.0,Sudan,SDN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,,0,7544491.0,0.00248649,89.254,48.194,1307333333.0,173.2831722,0.000954258
243,178,Sayed Abdel Gadir,M,32.0,180.0,56.0,Sudan,SDN,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Lightweight,,0,9639840.0,0.002727108,84.803,51.469,1947333333.0,202.0088853,0.000798087
244,179,Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SDN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
245,179,Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SDN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
255,189,Hwad Ibrahim Abdel Hamid Lumomba,M,,162.0,57.0,Sudan,SDN,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Featherweight,,0,9639840.0,0.002727108,84.803,51.469,1947333333.0,202.0088853,0.000798087
297,226,Sanad Bushara Abdel-Nadif,M,,,,Sudan,SDN,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
305,234,Abdalla Abdelgadir El-Sheikh,M,21.0,170.0,58.0,Sudan,SDN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,32955496.0,0.004872374,67.081,61.749,54526580232.0,1654.551952,0.000858686
349,260,Ahmed Abdo Mustafa,M,,,,Sudan,SDN,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,10974622.0,0.002858775,82.059,52.901,2882000000.0,262.6058556,0.000764456
