Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1295,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
1296,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
1297,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
1298,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
1299,903,Carolyn Adel,F,22.0,163.0,52.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,,0,472390.0,7.72e-05,33.556,67.838,892164393.9,1888.61829,2.66e-05
1300,903,Carolyn Adel,F,22.0,163.0,52.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,,0,472390.0,7.72e-05,33.556,67.838,892164393.9,1888.61829,2.66e-05
8028,5592,Tommy Asinga,M,19.0,184.0,74.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
8029,5592,Tommy Asinga,M,23.0,184.0,74.0,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
8030,5592,Tommy Asinga,M,27.0,184.0,74.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
17844,12274,Iwan Blijd,M,19.0,167.0,63.0,Suriname,SUR,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Lightweight,,0,371324.0,9.67e-05,53.24,63.844,287600000.0,774.5257511,7.63e-05
19006,13095,Yvette Bonapart,F,23.0,169.0,65.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
19007,13095,Yvette Bonapart,F,23.0,169.0,65.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
20129,13888,Roy Bottse,M,25.0,190.0,74.0,Suriname,SUR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,,0,361364.0,8.73e-05,43.936,64.806,505500000.0,1398.866517,7.87e-05
21305,14652,Oscar Brandon,M,24.0,182.0,75.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
34919,24012,Siegfried Cruden,M,24.0,168.0,64.0,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,367660.0,7.72e-05,34.741,66.758,864150000.0,2350.405266,7.14e-05
34920,24012,Siegfried Cruden,M,24.0,168.0,64.0,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,367660.0,7.72e-05,34.741,66.758,864150000.0,2350.405266,7.14e-05
36061,24748,Sade Daal,F,15.0,170.0,53.0,Suriname,SUR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,493630.0,7.67e-05,33.263,68.48,1484092538.0,3006.48773,3.39e-05
42611,29384,Guillermo Dongo,M,18.0,180.0,75.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,472390.0,7.72e-05,33.556,67.838,892164393.9,1888.61829,2.66e-05
47023,32403,Ricardo Elmont,M,,,,Suriname,SUR,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,,0,361364.0,8.73e-05,43.936,64.806,505500000.0,1398.866517,7.87e-05
55074,37638,"Michael ""Mike"" Fung-a-Wing",M,17.0,169.0,70.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
55075,37638,"Michael ""Mike"" Fung-a-Wing",M,21.0,169.0,70.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,,0,472390.0,7.72e-05,33.556,67.838,892164393.9,1888.61829,2.66e-05
61316,41732,Hugo Goossen,M,,,,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,,0,367660.0,7.72e-05,34.741,66.758,864150000.0,2350.405266,7.14e-05
80549,54689,Realdo Kenneth Jessurun,M,19.0,184.0,66.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
80550,54689,Realdo Kenneth Jessurun,M,19.0,184.0,66.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
80551,54689,Realdo Kenneth Jessurun,M,22.0,184.0,66.0,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
92951,62667,Yigal Kopinsky,M,30.0,,,Suriname,SUR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,,0,558368.0,7.5e-05,33.985,71.405,3278425328.0,5871.442002,4.33e-05
102874,69033,Evita Elisabeth Leter,F,21.0,,,Suriname,SUR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,,0,558368.0,7.5e-05,33.985,71.405,3278425328.0,5871.442002,4.33e-05
105014,70355,Enrico Gustavo Linscheer,M,17.0,,,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
105015,70355,Enrico Gustavo Linscheer,M,17.0,,,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
105016,70355,Enrico Gustavo Linscheer,M,21.0,,,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
105017,70356,Giovanni Rodolfo Linscheer,M,19.0,,,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
105018,70356,Giovanni Rodolfo Linscheer,M,19.0,,,Suriname,SUR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,,0,422763.0,7.75e-05,34.146,67.554,404600000.0,957.0373945,1.59e-05
105019,70356,Giovanni Rodolfo Linscheer,M,23.0,,,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
105020,70356,Giovanni Rodolfo Linscheer,M,23.0,,,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,,0,450036.0,7.77e-05,33.85,67.751,860630922.7,1912.360173,2.72e-05
109299,73208,Mohamed Shies Madhar,M,21.0,167.0,59.0,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,,0,367660.0,7.72e-05,34.741,66.758,864150000.0,2350.405266,7.14e-05
109300,73208,Mohamed Shies Madhar,M,25.0,167.0,59.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,,0,391391.0,7.67e-05,34.443,67.214,1160900000.0,2966.087621,6.08e-05
121632,81416,"Eduard George ""Eddy"" Monsels",M,20.0,177.0,65.0,Suriname,SUR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,359733.0,0.000101768,53.588,62.599,220600000.0,613.232592,9.04e-05
121633,81417,"Samuel ""Sammy"" Monsels",M,19.0,169.0,64.0,Suriname,SUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,371324.0,9.67e-05,53.24,63.844,287600000.0,774.5257511,7.63e-05
121634,81417,"Samuel ""Sammy"" Monsels",M,19.0,169.0,64.0,Suriname,SUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,371324.0,9.67e-05,53.24,63.844,287600000.0,774.5257511,7.63e-05
