Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
16329,11208,Lucky Willie Bhembe,M,26.0,169.0,58.0,Swaziland,SWZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,1061468.0,0.000173497,77.314,48.521,1738100853.0,1637.450072,5.17e-05
38202,26278,Lisa de la Motte,F,15.0,165.0,60.0,Swaziland,SWZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,,0,1061468.0,0.000173497,77.314,48.521,1738100853.0,1637.450072,5.17e-05
41843,28880,Menzi Dlamini,M,33.0,167.0,80.0,Swaziland,SWZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,1095053.0,0.000170136,77.834,45.905,2770082792.0,2529.633536,6.32e-05
41844,28881,Mfanukhona Sendo Dlamini,M,20.0,169.0,56.0,Swaziland,SWZ,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,,0,1061468.0,0.000173497,77.314,48.521,1738100853.0,1637.450072,5.17e-05
41845,28882,Senele Dlamini,F,16.0,178.0,52.0,Swaziland,SWZ,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,1158897.0,0.00017134,78.33,48.969,3294093485.0,2842.43853,5.19e-05
41846,28883,Sipho Dlamini,M,19.0,180.0,65.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,906034.0,0.000166058,77.036,59.639,1284766234.0,1418.011061,5.06e-05
41847,28883,Sipho Dlamini,M,19.0,180.0,65.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,906034.0,0.000166058,77.036,59.639,1284766234.0,1418.011061,5.06e-05
41848,28884,Temalangeni Mbali Dlamini,F,21.0,168.0,58.0,Swaziland,SWZ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,1158897.0,0.00017134,78.33,48.969,3294093485.0,2842.43853,5.19e-05
41849,28885,Vusie Thomas Dlamini,M,26.0,,,Swaziland,SWZ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,679976.0,0.000142853,79.035,57.46,494475699.9,727.1958126,4.09e-05
41850,28885,Vusie Thomas Dlamini,M,30.0,,,Swaziland,SWZ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,800456.0,0.000156777,77.148,59.983,692016714.3,864.5281119,3.62e-05
