Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
570,415,Bjrn Olof Conny berg,M,23.0,181.0,76.0,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,,0,8668067.0,0.001588681,16.639,77.99878049,280000000000.0,32302.47297,0.011023622
571,417,Sara Helena berg,F,17.0,190.0,73.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
716,514,Ara Abrahamian,M,25.0,191.0,84.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,8872109.0,0.001450147,15.974,79.64390244,260000000000.0,29305.32075,0.007738095
717,514,Ara Abrahamian,M,29.0,191.0,84.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,0,8993531.0,0.001397304,15.742,80.49756098,382000000000.0,42474.97451,0.008721461
718,514,Ara Abrahamian,M,33.0,191.0,84.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,9219637.0,0.001363096,15.254,81.1,514000000000.0,55750.56805,0.008094488
731,526,Kurt Christer Abrahamsson (-Abris),M,24.0,187.0,77.0,Sweden,SWE,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,8122300.0,0.002115775,18.114,74.71804878,48263914959.0,5942.148771,0.012802099
732,528,Karl Gran Abrahamsson,M,28.0,180.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Individual",,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
733,528,Karl Gran Abrahamsson,M,28.0,180.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Individual",,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
734,528,Karl Gran Abrahamsson,M,28.0,180.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
735,528,Karl Gran Abrahamsson,M,33.0,180.0,72.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
736,528,Karl Gran Abrahamsson,M,33.0,180.0,72.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
737,530,Ulf Thommy Abrahamsson,M,24.0,185.0,81.0,Sweden,SWE,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,8122300.0,0.002115775,18.114,74.71804878,48263914959.0,5942.148771,0.012802099
1225,853,Per Anders Adamson,M,22.0,177.0,68.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1226,853,Per Anders Adamson,M,22.0,177.0,68.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1229,856,Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1230,856,Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1301,904,Gun Margareta del (-Nilsson),F,25.0,163.0,52.0,Sweden,SWE,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
1302,904,Gun Margareta del (-Nilsson),F,25.0,163.0,52.0,Sweden,SWE,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
1384,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1385,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1386,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1387,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1388,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1389,970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1392,976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
1393,976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
1394,976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
1395,976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
1415,997,Lars Olof Melker Adolfsson,M,22.0,183.0,81.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
1416,997,Lars Olof Melker Adolfsson,M,26.0,183.0,81.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,8668067.0,0.001588681,16.639,77.99878049,280000000000.0,32302.47297,0.011023622
1417,998,ke Ronnie Adolfsson,M,23.0,180.0,77.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1418,998,ke Ronnie Adolfsson,M,23.0,180.0,77.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 20 kilometres,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1419,998,ke Ronnie Adolfsson,M,23.0,180.0,77.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1420,998,ke Ronnie Adolfsson,M,27.0,180.0,77.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1421,998,ke Ronnie Adolfsson,M,27.0,180.0,77.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1422,998,ke Ronnie Adolfsson,M,27.0,180.0,77.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1423,999,Sune Roland Adolfsson,M,25.0,180.0,74.0,Sweden,SWE,1976 Winter,1976,Winter,Innsbruck,Biathlon,Biathlon Men's 20 kilometres,,0,8222286.0,0.001986467,17.198,74.96926829,88102107647.0,10715.03809,0.01372307
1424,999,Sune Roland Adolfsson,M,25.0,180.0,74.0,Sweden,SWE,1976 Winter,1976,Winter,Innsbruck,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,8222286.0,0.001986467,17.198,74.96926829,88102107647.0,10715.03809,0.01372307
1428,1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1429,1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1430,1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1431,1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1432,1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1433,1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1434,1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1435,1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1436,1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1437,1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1637,1150,Sven Ingvar Agge,M,34.0,,,Sweden,SWE,1960 Winter,1960,Winter,Squaw Valley,Biathlon,Biathlon Men's 20 kilometres,,0,7484656.0,0.00246677,27.51,73.00560976,14842870293.0,1983.106544,0.010834212
1696,1202,Ulrika Maria gren,F,25.0,176.0,74.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
1871,1336,Mats Bertil hlberg,M,24.0,179.0,78.0,Sweden,SWE,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,8122300.0,0.002115775,18.114,74.71804878,48263914959.0,5942.148771,0.012802099
1872,1336,Mats Bertil hlberg,M,32.0,179.0,78.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
1873,1340,Annica Gunilla hln,F,23.0,177.0,75.0,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,,0,8850974.0,0.001485751,16.03,79.33902439,267000000000.0,30166.17154,0.008530351
1874,1340,Annica Gunilla hln,F,27.0,177.0,75.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,0,8924958.0,0.001421891,15.867,79.84634146,264000000000.0,29579.97113,0.007630058
1875,1342,Thomas Valter hln,M,24.0,182.0,90.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
1880,1351,Mats Lennart Ahlgren,M,25.0,190.0,80.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Team",,0,8668067.0,0.001588681,16.639,77.99878049,280000000000.0,32302.47297,0.011023622
1881,1353,Erik Lennart Ahlin,M,48.0,185.0,78.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Shooting,Shooting Men's Trap,,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
1882,1354,Johanna Maria Helne Ahlm,F,20.0,175.0,69.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,,0,9219637.0,0.001363096,15.254,81.1,514000000000.0,55750.56805,0.008094488
1883,1354,Johanna Maria Helne Ahlm,F,24.0,175.0,69.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,,0,9519374.0,0.001341248,14.637,81.70487805,544000000000.0,57146.61489,0.007263017
2084,1486,Kerstin Monika ij (-Lenndin),F,24.0,166.0,63.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2085,1486,Kerstin Monika ij (-Lenndin),F,24.0,166.0,63.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Slalom,,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2101,1504,Armi Ursula Airaksinen (-Bveryd),F,18.0,166.0,59.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
2102,1504,Armi Ursula Airaksinen (-Bveryd),F,18.0,166.0,59.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
2174,1553,Astrit Ajdarevi,M,26.0,190.0,80.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,9903122.0,0.001330683,14.036,82.20487805,514000000000.0,51902.82418,0.006781003
2258,1608,Peter Dag Torsten kerberg,M,28.0,173.0,67.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2259,1609,Thomas Carl Torsten kerberg,M,29.0,180.0,70.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2260,1609,Thomas Carl Torsten kerberg,M,29.0,180.0,70.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2262,1612,Ulf Erik kerblom,M,26.0,180.0,85.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Bobsleigh,Bobsleigh Men's Four,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
2265,1616,Marcus Ricard kerholm,M,28.0,179.0,86.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,8993531.0,0.001397304,15.742,80.49756098,382000000000.0,42474.97451,0.008721461
2274,1625,Jan-Erik kerstrm,M,28.0,172.0,62.0,Sweden-2,SWE,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Two,,0,7661354.0,0.002351406,23.847,73.73317073,21137242561.0,2758.943466,0.011742913
2275,1626,Rolf Evert kerstrm,M,27.0,192.0,98.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Two,,0,8436489.0,0.001652366,16.9,76.97926829,204000000000.0,24180.67516,0.010680628
2277,1629,Lars Arne kesson,M,20.0,180.0,68.0,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Men's Singles,,0,8336605.0,0.001751394,16.9,76.81585366,108000000000.0,12954.9139,0.00892562
2423,1719,Maria Helene Akraka (-Henriksson),F,26.0,170.0,55.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",,0,8668067.0,0.001588681,16.639,77.99878049,280000000000.0,32302.47297,0.011023622
3203,2246,Kalervo Johannes Alanenp,M,24.0,171.0,60.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,,0,8310531.0,0.001872715,16.913,75.74097561,140000000000.0,16846.09563,0.0125
3290,2308,Tommy Albelin,M,33.0,186.0,87.0,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,8850974.0,0.001485751,16.03,79.33902439,267000000000.0,30166.17154,0.008530351
3302,2320,Dag Edward Albert,M,26.0,185.0,70.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,0,8840998.0,0.001526266,16.086,78.95902439,288000000000.0,32575.50788,0.009113924
3303,2320,Dag Edward Albert,M,38.0,185.0,70.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,9219637.0,0.001363096,15.254,81.1,514000000000.0,55750.56805,0.008094488
3304,2320,Dag Edward Albert,M,38.0,185.0,70.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,0,9219637.0,0.001363096,15.254,81.1,514000000000.0,55750.56805,0.008094488
3342,2352,Claes Johan Albihn,M,25.0,190.0,83.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,8840998.0,0.001526266,16.086,78.95902439,288000000000.0,32575.50788,0.009113924
3479,2435,Karl Johan Andr Aldenhov,M,24.0,,70.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Lightweight,,0,8840998.0,0.001526266,16.086,78.95902439,288000000000.0,32575.50788,0.009113924
3698,2585,"Jens Niclas ""Nick"" Alexandersson",M,20.0,181.0,74.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,8668067.0,0.001588681,16.639,77.99878049,280000000000.0,32302.47297,0.011023622
