Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
379,284,Anouar Abdul Kader,M,27.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
669,479,Zaid Abou Hamed,M,30.0,182.0,79.0,Syria,SYR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,,0,16410848.0,0.002682355,48.053,73.11,19325894913.0,1177.629268,0.000575175
998,688,Said Achtar,M,23.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Open Class,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
1406,987,Khadour Adnan,M,25.0,173.0,81.0,Syria,SYR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,,0,14755286.0,0.002547279,49.527,72.205,13789560878.0,934.5505657,0.000436379
2180,1557,Naasan Ajjoub,M,19.0,172.0,91.0,Syria,SYR,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Heavyweight,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
2181,1557,Naasan Ajjoub,M,23.0,172.0,91.0,Syria,SYR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,,0,10293049.0,0.002162413,52.316,68.005,17503082982.0,1700.476019,0.001446536
2182,1558,Salem Ajjoub,M,26.0,175.0,90.0,Syria,SYR,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
2183,1558,Salem Ajjoub,M,30.0,175.0,90.0,Syria,SYR,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,10293049.0,0.002162413,52.316,68.005,17503082982.0,1700.476019,0.001446536
2479,1762,Naser Al Shami,M,22.0,187.0,81.0,Syria,SYR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze,0,17806638.0,0.002766575,46.583,74.25,25086930693.0,1408.852738,0.000572761
2529,1795,Ahmad Al-Aosta,M,23.0,165.0,69.0,Syria,SYR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,13187085.0,0.002416925,50.653,71.167,13253565899.0,1005.041364,0.000521794
2530,1795,Ahmad Al-Aosta,M,27.0,165.0,69.0,Syria,SYR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,14755286.0,0.002547279,49.527,72.205,13789560878.0,934.5505657,0.000436379
2581,1824,Zouheir Al-Balah,M,21.0,175.0,74.0,Syria,SYR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,0,11719071.0,0.002295291,51.485,69.831,10577042355.0,902.5495583,0.000553772
2610,1845,Fadwa Al-Bouza,F,18.0,173.0,58.0,Syria,SYR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,,0,20325443.0,0.003005057,45.092,73.648,,0,
3051,2138,Abdalla Al-Sebaei,M,20.0,,70.0,Syria,SYR,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Lightweight,,0,14755286.0,0.002547279,49.527,72.205,13789560878.0,934.5505657,0.000436379
3073,2154,Ahmad Al-Shamy,M,22.0,180.0,90.0,Syria,SYR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,11719071.0,0.002295291,51.485,69.831,10577042355.0,902.5495583,0.000553772
4045,2827,Heba Allejji,F,19.0,,,Syria,SYR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,,0,18430453.0,0.002476501,41.939,70.31,,0,
6992,4877,Khalil Arbaji,M,32.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
7090,4960,Fouad Aref,M,25.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
7820,5450,Man Asaad,M,22.0,190.0,143.0,Syria,SYR,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,18430453.0,0.002476501,41.939,70.31,,0,
7923,5514,Riyadh Mohammed Asfahani,M,28.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
8120,5682,Samer Zuhair Assassa,M,20.0,,,Syria,SYR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,8930774.0,0.002012482,53.292,65.774,13062421025.0,1462.630341,0.001166288
8316,5809,Dennis Atiyeh,M,24.0,185.0,130.0,Syria,SYR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",,0,11719071.0,0.002295291,51.485,69.831,10577042355.0,902.5495583,0.000553772
8317,5810,Joseph Atiyeh,M,27.0,,82.0,Syria,SYR,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,0,10293049.0,0.002162413,52.316,68.005,17503082982.0,1700.476019,0.001446536
10252,7099,Zeinab Bakour,F,26.0,155.0,50.0,Syria,SYR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",,0,17806638.0,0.002766575,46.583,74.25,25086930693.0,1408.852738,0.000572761
