Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
478,355,Mukhamadmurod Abdurakhmonov,M,29.0,192.0,117.0,Tajikistan,TJK,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,,0,8734951.0,0.001173716,73.109,71.051,6951657159.0,795.8438644,9.17e-05
480,357,Yusup Abdusalomov,M,26.0,170.0,84.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,6712841.0,0.001042958,73.583,67.163,2076148696.0,309.2801835,4.74e-05
481,357,Yusup Abdusalomov,M,30.0,170.0,84.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
482,357,Yusup Abdusalomov,M,34.0,170.0,84.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,7995062.0,0.001126477,73.432,70.234,7633049792.0,954.7205252,0.00010191
3964,2766,Shomil Aliyev,M,24.0,173.0,84.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,6712841.0,0.001042958,73.583,67.163,2076148696.0,309.2801835,4.74e-05
8111,5672,Ne'matullo Asronqulov,M,26.0,188.0,90.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Middleweight,,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
9311,6461,Sergey Babikov,M,36.0,170.0,100.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,6712841.0,0.001042958,73.583,67.163,2076148696.0,309.2801835,4.74e-05
9312,6461,Sergey Babikov,M,40.0,170.0,100.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
9313,6461,Sergey Babikov,M,40.0,170.0,100.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
9314,6461,Sergey Babikov,M,44.0,170.0,100.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,7995062.0,0.001126477,73.432,70.234,7633049792.0,954.7205252,0.00010191
19376,13375,Rasul Boqiev,M,25.0,175.0,73.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Bronze,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
19377,13375,Rasul Boqiev,M,29.0,175.0,73.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,,0,7995062.0,0.001126477,73.432,70.234,7633049792.0,954.7205252,0.00010191
19378,13376,Rustam Boqiev,M,18.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Extra-Lightweight,,0,5849540.0,0.001009835,71.662,63.618,1043893063.0,178.4572912,3.3e-05
20964,14420,Sheral Bozorov,M,26.0,180.0,81.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
30473,20790,Alisher Chingizov,M,22.0,176.0,68.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
31033,21147,Mavzuna Chorieva,F,19.0,160.0,60.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Bronze,0,7995062.0,0.001126477,73.432,70.234,7633049792.0,954.7205252,0.00010191
40472,28020,Raul Dgvareli,M,31.0,189.0,130.0,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,5849540.0,0.001009835,71.662,63.618,1043893063.0,178.4572912,3.3e-05
42114,29061,Gulsara Dodoboeva,F,20.0,160.0,47.0,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,,0,5849540.0,0.001009835,71.662,63.618,1043893063.0,178.4572912,3.3e-05
42115,29061,Gulsara Dodoboeva,F,24.0,160.0,47.0,Tajikistan,TJK,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Marathon,,0,6216205.0,0.001016039,73.514,65.485,860550305.8,138.4366033,2.56e-05
42116,29061,Gulsara Dodoboeva,F,28.0,160.0,47.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,6712841.0,0.001042958,73.583,67.163,2076148696.0,309.2801835,4.74e-05
42988,29631,Sheral Dostiev,M,19.0,164.0,52.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,,0,6712841.0,0.001042958,73.583,67.163,2076148696.0,309.2801835,4.74e-05
42989,29631,Sheral Dostiev,M,23.0,164.0,52.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Flyweight,,0,7309728.0,0.001080722,73.517,68.902,5161336170.0,706.0914127,8.13e-05
43762,30151,Andrey Drygin,M,24.0,180.0,82.0,Tajikistan,TJK,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,,0,6447688.0,0.001027221,73.571,66.303,1221113780.0,189.3878519,3.53e-05
43763,30151,Andrey Drygin,M,24.0,180.0,82.0,Tajikistan,TJK,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,6447688.0,0.001027221,73.571,66.303,1221113780.0,189.3878519,3.53e-05
43764,30151,Andrey Drygin,M,28.0,180.0,82.0,Tajikistan,TJK,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,,0,7000557.0,0.001060944,73.55,68.052,2830236054.0,404.2872666,5.51e-05
43765,30151,Andrey Drygin,M,28.0,180.0,82.0,Tajikistan,TJK,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,,0,7000557.0,0.001060944,73.55,68.052,2830236054.0,404.2872666,5.51e-05
43766,30151,Andrey Drygin,M,28.0,180.0,82.0,Tajikistan,TJK,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,7000557.0,0.001060944,73.55,68.052,2830236054.0,404.2872666,5.51e-05
43767,30151,Andrey Drygin,M,32.0,180.0,82.0,Tajikistan,TJK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,,0,7641630.0,0.001102584,73.484,69.644,5642178580.0,738.3475227,8.55e-05
43768,30151,Andrey Drygin,M,32.0,180.0,82.0,Tajikistan,TJK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,,0,7641630.0,0.001102584,73.484,69.644,5642178580.0,738.3475227,8.55e-05
43769,30151,Andrey Drygin,M,32.0,180.0,82.0,Tajikistan,TJK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,7641630.0,0.001102584,73.484,69.644,5642178580.0,738.3475227,8.55e-05
43770,30151,Andrey Drygin,M,32.0,180.0,82.0,Tajikistan,TJK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,,0,7641630.0,0.001102584,73.484,69.644,5642178580.0,738.3475227,8.55e-05
