Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
231,166,Omari Abdallah,M,21.0,168.0,57.0,Tanzania,TZA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,,0,11339097.0,0.003480171,94.135,44.731,,0,
232,166,Omari Abdallah,M,29.0,168.0,57.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
2406,1705,Boay Akonay,M,18.0,168.0,62.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
4142,2895,Mosi Alli,F,19.0,159.0,51.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
4143,2895,Mosi Alli,F,19.0,159.0,51.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
4216,2933,Haji Ally,M,20.0,165.0,54.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
4217,2934,Mwalimu Ally,M,27.0,177.0,68.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
4218,2934,Mwalimu Ally,M,27.0,177.0,68.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
5039,3483,Agapius Masong Amo,M,21.0,179.0,67.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,21173603.0,0.004448252,83.695,50.863,,0,
11401,7856,Zakariah Barie,M,27.0,174.0,56.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,18683157.0,0.004210108,85.445,50.429,,0,
11402,7856,Zakariah Barie,M,27.0,174.0,56.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 10,000 metres",,0,18683157.0,0.004210108,85.445,50.429,,0,
11403,7856,Zakariah Barie,M,31.0,174.0,56.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",,0,21173603.0,0.004448252,83.695,50.863,,0,
11404,7856,Zakariah Barie,M,31.0,174.0,56.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",,0,21173603.0,0.004448252,83.695,50.863,,0,
12892,8900,Filbert Bayi Sanka,M,19.0,183.0,59.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,14506617.0,0.003778823,90.952,47.546,,0,
12893,8900,Filbert Bayi Sanka,M,19.0,183.0,59.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,14506617.0,0.003778823,90.952,47.546,,0,
12894,8900,Filbert Bayi Sanka,M,27.0,183.0,59.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,0,18683157.0,0.004210108,85.445,50.429,,0,
12925,8925,Getuli Amnaay Bayo,M,28.0,170.0,60.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
12926,8926,Amnaay Zebedayo Bayo,M,24.0,178.0,64.0,Tanzania,TZA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,34178042.0,0.005586404,77.691,51.493,10185786383.0,298.0213549,0.000303148
12927,8926,Amnaay Zebedayo Bayo,M,28.0,178.0,64.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
17234,11835,Flevitus Bitegeko,M,19.0,164.0,54.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,,0,14506617.0,0.003778823,90.952,47.546,,0,
23720,16218,Juma Bugingo,M,,,,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,21173603.0,0.004448252,83.695,50.863,,0,
24449,16718,John Burra,M,22.0,162.0,56.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
24450,16718,John Burra,M,26.0,162.0,56.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
30368,20715,Norman Chihota,M,21.0,175.0,69.0,Tanzania,TZA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,12787489.0,0.003617577,93.196,45.993,,0,
30369,20715,Norman Chihota,M,21.0,175.0,69.0,Tanzania,TZA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,,0,12787489.0,0.003617577,93.196,45.993,,0,
30370,20715,Norman Chihota,M,25.0,175.0,69.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,14506617.0,0.003778823,90.952,47.546,,0,
30371,20715,Norman Chihota,M,25.0,175.0,69.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
36048,24736,Soter Da Silva,M,29.0,187.0,82.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
36049,24737,Stephen Da Silva,M,23.0,175.0,55.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
44988,31028,Mohamed Hassan Chabanga Dyamwale,M,23.0,177.0,61.0,Tanzania,TZA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 800 metres,,0,11339097.0,0.003480171,94.135,44.731,,0,
47177,32508,Marcellina Emmanuel,F,15.0,167.0,56.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",,0,18683157.0,0.004210108,85.445,50.429,,0,
55164,37693,Frederick Furtado,M,24.0,171.0,65.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
58520,39915,Ammaar Shabbir Ghadiyali,M,15.0,164.0,55.0,Tanzania,TZA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,49082997.0,0.00691563,70.507,62.528,39087748240.0,796.3602597,0.000521866
60289,41098,Omari Golaya,M,26.0,167.0,60.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
61940,42203,Leopold Ngoroboto Gracias,M,30.0,170.0,81.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
68263,46502,Taher Ali Hassan Ali,M,25.0,178.0,78.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
70992,48393,Marko Hhawu,M,17.0,167.0,62.0,Tanzania,TZA,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",,0,30811854.0,0.005319204,79.112,49.609,6496195451.0,210.8342929,0.000205576
71177,48519,Hilal Hemed Hilal,M,22.0,176.0,63.0,Tanzania,TZA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,55572201.0,0.007467238,67.684,65.675,47340071107.0,851.8660455,0.000624539
75169,51251,Rajabu Hussen,M,,,,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,,0,21173603.0,0.004448252,83.695,50.863,,0,
75900,51717,James Igohe,M,,169.0,64.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,21173603.0,0.004448252,83.695,50.863,,0,
75968,51757,Juma Ikangaa,M,27.0,164.0,58.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,21173603.0,0.004448252,83.695,50.863,,0,
75969,51757,Juma Ikangaa,M,31.0,164.0,58.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
75970,51757,Juma Ikangaa,M,35.0,164.0,58.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
77077,52435,Makoye Isangula,M,27.0,175.0,75.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
77078,52436,"William ""Willie"" Isangura",M,27.0,182.0,91.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Heavyweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
77079,52436,"William ""Willie"" Isangura",M,32.0,182.0,91.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Super-Heavyweight,,0,21173603.0,0.004448252,83.695,50.863,,0,
77270,52565,Islam A. Islam,M,26.0,165.0,62.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
77364,52634,Geraldi Issaick,M,24.0,156.0,54.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
82311,55950,Fabiano Joseph Naasi,M,18.0,160.0,50.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
82312,55950,Fabiano Joseph Naasi,M,18.0,160.0,50.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 10,000 metres",,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
82313,55950,Fabiano Joseph Naasi,M,22.0,160.0,50.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
82314,55950,Fabiano Joseph Naasi,M,30.0,160.0,50.0,Tanzania,TZA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,55572201.0,0.007467238,67.684,65.675,47340071107.0,851.8660455,0.000624539
82332,55964,Restituta Joseph Kemi,F,24.0,164.0,56.0,Tanzania,TZA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 800 metres,,0,30811854.0,0.005319204,79.112,49.609,6496195451.0,210.8342929,0.000205576
82333,55964,Restituta Joseph Kemi,F,29.0,164.0,56.0,Tanzania,TZA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",,0,34178042.0,0.005586404,77.691,51.493,10185786383.0,298.0213549,0.000303148
82334,55964,Restituta Joseph Kemi,F,33.0,164.0,56.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
82724,56270,Ibrahim Juma Kivina,M,26.0,165.0,57.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",,0,21173603.0,0.004448252,83.695,50.863,,0,
83748,57011,Claver Kamanya,M,21.0,175.0,65.0,Tanzania,TZA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,12787489.0,0.003617577,93.196,45.993,,0,
83749,57011,Claver Kamanya,M,25.0,175.0,65.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,14506617.0,0.003778823,90.952,47.546,,0,
83750,57011,Claver Kamanya,M,25.0,175.0,65.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
83751,57011,Claver Kamanya,M,25.0,175.0,65.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
87893,59579,Selemani Salum Kidunda,M,28.0,180.0,69.0,Tanzania,TZA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,,0,49082997.0,0.00691563,70.507,62.528,39087748240.0,796.3602597,0.000521866
89613,60577,Habibu Kinyogoli,M,23.0,167.0,57.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Featherweight,,0,14506617.0,0.003778823,90.952,47.546,,0,
97869,65548,Nzaeli Kyomo,F,23.0,166.0,56.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
97870,65548,Nzaeli Kyomo,F,23.0,166.0,56.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
97871,65548,Nzaeli Kyomo,F,27.0,166.0,56.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,,0,21173603.0,0.004448252,83.695,50.863,,0,
97872,65548,Nzaeli Kyomo,F,27.0,166.0,56.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres,,0,21173603.0,0.004448252,83.695,50.863,,0,
98509,66024,Samson Hassan Laizer,M,22.0,180.0,81.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,,0,14506617.0,0.003778823,90.952,47.546,,0,
107849,72206,David Lukuba,M,23.0,167.0,64.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
107850,72206,David Lukuba,M,23.0,167.0,64.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
107860,72211,Musa Luliga,M,25.0,182.0,66.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
108406,72604,William Lyimo,M,26.0,167.0,64.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
108753,72820,Isaack Mabushi,M,24.0,168.0,57.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
110437,73936,Saidi Juma Makula,M,22.0,,54.0,Tanzania,TZA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,55572201.0,0.007467238,67.684,65.675,47340071107.0,851.8660455,0.000624539
110587,74020,Zakayo Malekwa,M,29.0,177.0,85.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,,0,18683157.0,0.004210108,85.445,50.429,,0,
110588,74020,Zakayo Malekwa,M,33.0,177.0,85.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Javelin Throw,,0,21173603.0,0.004448252,83.695,50.863,,0,
110589,74020,Zakayo Malekwa,M,37.0,177.0,85.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Javelin Throw,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
111269,74469,Mohamed Manji,M,29.0,173.0,62.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
111533,74650,Youssef Manwar,M,28.0,175.0,61.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
112938,75592,Leodigard Martin,M,19.0,156.0,54.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 10,000 metres",,0,18683157.0,0.004210108,85.445,50.429,,0,
112939,75592,Leodigard Martin,M,19.0,156.0,54.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,18683157.0,0.004210108,85.445,50.429,,0,
113547,76013,Joseph Marwa,M,24.0,165.0,67.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
113548,76013,Joseph Marwa,M,28.0,165.0,67.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
114637,76741,Rashi Ali Hadj Matumla,M,20.0,165.0,63.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
114638,76741,Rashi Ali Hadj Matumla,M,24.0,165.0,63.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Lightweight,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
114639,76741,Rashi Ali Hadj Matumla,M,28.0,165.0,63.0,Tanzania,TZA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,,0,30811854.0,0.005319204,79.112,49.609,6496195451.0,210.8342929,0.000205576
117252,78587,Benedict Mendes,M,30.0,163.0,61.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
118314,79292,Pascal Mfyomi,M,22.0,175.0,64.0,Tanzania,TZA,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",,0,11339097.0,0.003480171,94.135,44.731,,0,
120561,80662,Neva Mkadala,M,,,71.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,,0,21173603.0,0.004448252,83.695,50.863,,0,
120562,80663,Dickson Marwa Mkami,M,26.0,179.0,68.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
120564,80665,Mbaraka Mbwana Mkanga,M,22.0,168.0,67.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Welterweight,,0,14506617.0,0.003778823,90.952,47.546,,0,
120595,80688,Andrew Thomas Mlugu,M,20.0,158.0,73.0,Tanzania,TZA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,,0,55572201.0,0.007467238,67.684,65.675,47340071107.0,851.8660455,0.000624539
120596,80689,Emmanuel Mlundwa,M,23.0,167.0,51.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Flyweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
120631,80712,Juma Mnyampanda,M,20.0,164.0,55.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
123210,82424,Magdalena Ruth Alex Moshi,F,17.0,169.0,65.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
123211,82424,Magdalena Ruth Alex Moshi,F,21.0,169.0,65.0,Tanzania,TZA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,,0,49082997.0,0.00691563,70.507,62.528,39087748240.0,796.3602597,0.000521866
123212,82424,Magdalena Ruth Alex Moshi,F,25.0,169.0,65.0,Tanzania,TZA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,55572201.0,0.007467238,67.684,65.675,47340071107.0,851.8660455,0.000624539
123669,82777,Banuelia Mrashani (-Katesigwa),F,26.0,153.0,48.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
123686,82789,Zakia Mrisho Mohamed,F,32.0,150.0,50.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
123687,82789,Zakia Mrisho Mohamed,F,36.0,150.0,50.0,Tanzania,TZA,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres",,0,49082997.0,0.00691563,70.507,62.528,39087748240.0,796.3602597,0.000521866
123739,82818,Lucas Msomba,M,26.0,168.0,67.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,,0,18683157.0,0.004210108,85.445,50.429,,0,
123997,82973,Anoop Mukundan,M,22.0,180.0,70.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,,0,18683157.0,0.004210108,85.445,50.429,,0,
125050,83702,Faustine Mussa,M,31.0,175.0,60.0,Tanzania,TZA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,49082997.0,0.00691563,70.507,62.528,39087748240.0,796.3602597,0.000521866
125214,83807,David Mwaba,M,,,51.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,,0,21173603.0,0.004448252,83.695,50.863,,0,
125217,83810,Robert David Mwakosya,M,19.0,171.0,64.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Welterweight,,0,14506617.0,0.003778823,90.952,47.546,,0,
125232,83820,Obedi Mwanga,M,31.0,168.0,56.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
125233,83820,Obedi Mwanga,M,31.0,168.0,56.0,Tanzania,TZA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,14506617.0,0.003778823,90.952,47.546,,0,
125234,83821,Benjamin Mwangata,M,22.0,165.0,51.0,Tanzania,TZA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,23909954.0,0.004682991,81.779,50.651,5100405772.0,213.3172557,0.000267037
125235,83821,Benjamin Mwangata,M,26.0,165.0,51.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Flyweight,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
125240,83826,Mwinga Mwanjala (-Sote),F,20.0,154.0,54.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 800 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
125241,83826,Mwinga Mwanjala (-Sote),F,20.0,154.0,54.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",,0,18683157.0,0.004210108,85.445,50.429,,0,
125242,83826,Mwinga Mwanjala (-Sote),F,24.0,154.0,54.0,Tanzania,TZA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",,0,21173603.0,0.004448252,83.695,50.863,,0,
125248,83832,Paulo Mwaselle,M,23.0,175.0,81.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
125257,83839,Samwel Mwera Chegere,M,25.0,178.0,65.0,Tanzania,TZA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,38249984.0,0.005942809,75.777,55.161,12825801581.0,335.3152143,0.000292827
125258,83839,Samwel Mwera Chegere,M,29.0,178.0,65.0,Tanzania,TZA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,43270144.0,0.006397364,73.224,59.156,27368386358.0,632.5004686,0.000430998
125261,83842,Peter Mwita Mokam,M,,177.0,72.0,Tanzania,TZA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,18683157.0,0.004210108,85.445,50.429,,0,
125461,83960,Hassan Mzonge,M,24.0,,67.0,Tanzania,TZA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,,0,30811854.0,0.005319204,79.112,49.609,6496195451.0,210.8342929,0.000205576
125484,83971,Simon Robert Naali,M,26.0,168.0,57.0,Tanzania,TZA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,27219619.0,0.004988804,80.464,49.719,4601413264.0,169.0476734,0.000181158
