Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4717,3276,Ampol Amaluktipituk,M,34.0,171.0,63.0,Thailand,THA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,,0,51108082.0,0.010737032,72.168,67.128,41797592963.0,817.8274615,0.003454347
4998,3463,Savitree Amitrapai,F,27.0,164.0,56.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,,0,68863514.0,0.009253193,48.46,75.303,407000000000.0,5910.241525,0.005369393
6701,4691,Kiradech Aphibarnrat,M,27.0,172.0,104.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,,0,68863514.0,0.009253193,48.46,75.303,407000000000.0,5910.241525,0.005369393
7078,4947,Sailom Ard,M,22.0,172.0,57.0,Thailand,THA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,,0,66545760.0,0.009838596,58.581,73.279,291000000000.0,4372.930747,0.004582677
7079,4947,Sailom Ard,M,26.0,172.0,57.0,Thailand,THA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Lightweight,,0,67843979.0,0.00955899,53.318,74.446,398000000000.0,5866.401203,0.005313752
7080,4947,Sailom Ard,M,30.0,172.0,57.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Welterweight,,0,68863514.0,0.009253193,48.46,75.303,407000000000.0,5910.241525,0.005369393
7256,5087,Panus Ariyamongkol,M,26.0,159.0,51.0,Thailand,THA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,39061994.0,0.010175243,77.994,60.405,8177884553.0,209.3565565,0.0021692
7257,5088,Surapong Ariyamongkol,M,26.0,160.0,50.0,Thailand,THA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,39061994.0,0.010175243,77.994,60.405,8177884553.0,209.3565565,0.0021692
7266,5094,Boonsong Arjtaweekul,M,23.0,169.0,55.0,Thailand,THA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,,0,27397175.0,0.009029476,80.328,54.703,2760747472.0,100.7675964,0.002015144
7267,5095,Taweesit Arjtaweekul,M,23.0,173.0,59.0,Thailand,THA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,,0,30881332.0,0.00947803,79.89,56.694,3889129942.0,125.9378948,0.002160628
