Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1447,1014,Martin Natchaba Adouna,M,28.0,167.0,68.0,Togo,TGO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,,0,2247582.0,0.000585472,78.071,47.777,335677636.9,149.3505629,8.9e-05
1537,1081,Alessia Afi Dipol,F,18.0,168.0,58.0,Togo,TGO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,7228915.0,0.000994487,60.531,59.601,4482880424.0,620.1318488,5.67e-05
1538,1081,Alessia Afi Dipol,F,18.0,168.0,58.0,Togo,TGO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,,0,7228915.0,0.000994487,60.531,59.601,4482880424.0,620.1318488,5.67e-05
1620,1134,Komi-Mawussi Agbetoglo,M,18.0,,,Togo,TGO,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Singles,,0,6859482.0,0.000966478,61.507,58.668,3866617463.0,563.6894248,5.16e-05
1717,1223,Anoumou Aguiar,M,23.0,172.0,67.0,Togo,TGO,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,,0,3581928.0,0.000701554,72.232,55.592,1378847487.0,384.9456178,7.22e-05
1865,1327,Koku Mensah Ahiaku,M,29.0,175.0,69.0,Togo,TGO,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,3973327.0,0.00072823,70.575,55.734,1692959110.0,426.0809921,6.67e-05
1989,1434,Kouame Calixte Aholou,M,21.0,174.0,65.0,Togo,TGO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,3973327.0,0.00072823,70.575,55.734,1692959110.0,426.0809921,6.67e-05
2404,1703,Ayewoubo Akomatsri,M,24.0,168.0,54.0,Togo,TGO,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,3581928.0,0.000701554,72.232,55.592,1378847487.0,384.9456178,7.22e-05
2412,1711,Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,TGO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,3973327.0,0.00072823,70.575,55.734,1692959110.0,426.0809921,6.67e-05
2413,1711,Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,TGO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,3973327.0,0.00072823,70.575,55.734,1692959110.0,426.0809921,6.67e-05
2414,1711,Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,TGO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,4398238.0,0.00075929,68.861,54.359,1465448290.0,333.1898569,4.64e-05
2415,1711,Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,TGO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4398238.0,0.00075929,68.861,54.359,1465448290.0,333.1898569,4.64e-05
4901,3392,Koukou Franck Amgnigan,M,21.0,181.0,76.0,Togo,TGO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,3973327.0,0.00072823,70.575,55.734,1692959110.0,426.0809921,6.67e-05
4902,3392,Koukou Franck Amgnigan,M,25.0,181.0,76.0,Togo,TGO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,4398238.0,0.00075929,68.861,54.359,1465448290.0,333.1898569,4.64e-05
4999,3464,Mathilde Amivi Petitjean,F,19.0,163.0,60.0,Togo,TGO,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,7228915.0,0.000994487,60.531,59.601,4482880424.0,620.1318488,5.67e-05
5090,3518,Gbedikpe Emmanuel Amouzou,M,18.0,170.0,68.0,Togo,TGO,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,2247582.0,0.000585472,78.071,47.777,335677636.9,149.3505629,8.9e-05
8879,6210,Justin Ayassou,M,25.0,180.0,,Togo,TGO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4398238.0,0.00075929,68.861,54.359,1465448290.0,333.1898569,4.64e-05
8959,6248,Akossiwa Claire Ayivon,F,19.0,,,Togo,TGO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,,0,7606374.0,0.001022069,59.537,60.232,4399995987.0,578.4616937,5.8e-05
10764,7453,Direma Banasso,F,14.0,157.0,48.0,Togo,TGO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,,0,4970367.0,0.000812407,67.093,53.489,1294250233.0,260.3932935,3.85e-05
18309,12618,Bilanday Bodjona,M,22.0,175.0,70.0,Togo,TGO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,3140237.0,0.000659716,73.831,54.276,718148959.6,228.6925986,5.94e-05
