Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
10761,7449,Bruno (Fuahea-) Banani (Semi-),M,26.0,184.0,89.0,Tonga,TON,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,,0,105782.0,1.46e-05,76.368,72.732,443911052.3,4196.470593,5.62e-06
49190,33871,Tualau Fale,M,27.0,184.0,90.0,Tonga,TON,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Heavyweight,,0,94667.0,1.85e-05,77.359,69.313,106657267.4,1126.657308,5.58e-06
51544,35303,Siueni Filimone,M,21.0,173.0,69.0,Tonga,TON,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,107122.0,1.44e-05,76.199,73.029,401562006.2,3748.641793,5.3e-06
52812,36184,Amini Tuitavake Britteon Fonua,M,22.0,186.0,80.0,Tonga,TON,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,,0,104951.0,1.48e-05,76.502,72.446,472358251.2,4500.750362,6.31e-06
52813,36184,Amini Tuitavake Britteon Fonua,M,26.0,186.0,80.0,Tonga,TON,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,,0,107122.0,1.44e-05,76.199,73.029,401562006.2,3748.641793,5.3e-06
65977,44918,Saikoloni Pasoni Hala,M,20.0,,65.0,Tonga,TON,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,,0,93842.0,1.97e-05,77.958,68.478,64248354.54,684.6439179,5.31e-06
65985,44925,Taina Halasima,F,18.0,163.0,65.0,Tonga,TON,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,107122.0,1.44e-05,76.199,73.029,401562006.2,3748.641793,5.3e-06
68609,46735,Otosico Tausinga  Havili,M,20.0,,74.0,Tonga,TON,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Middleweight,,0,93842.0,1.97e-05,77.958,68.478,64248354.54,684.6439179,5.31e-06
68657,46757,"Douglas Ma'afu ""Doug"" Hawke",M,27.0,192.0,103.0,Tonga,TON,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,,0,100406.0,1.56e-05,76.873,71.367,229358214.8,2284.307858,5.24e-06
68957,46977,Shane Robert Heaps,M,25.0,180.0,67.0,Tonga,TON,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,,0,96369.0,1.66e-05,77.103,70.285,219583570.1,2278.570599,6.95e-06
75973,51759,Siololovau Ikavuka,F,20.0,180.0,78.0,Tonga,TON,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Shot Put,,0,94667.0,1.85e-05,77.359,69.313,106657267.4,1126.657308,5.58e-06
75974,51759,Siololovau Ikavuka,F,20.0,180.0,78.0,Tonga,TON,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Discus Throw,,0,94667.0,1.85e-05,77.359,69.313,106657267.4,1126.657308,5.58e-06
80032,54336,Hans Arne Jensen,M,18.0,181.0,95.0,Tonga,TON,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,,0,107122.0,1.44e-05,76.199,73.029,401562006.2,3748.641793,5.3e-06
92030,62094,Paeaki Takaunove Kokohu,M,25.0,183.0,79.0,Tonga,TON,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,95496.0,1.75e-05,77.232,69.832,137066290.6,1435.309234,5.4e-06
94065,63282,Toluta'u Koula,M,22.0,178.0,79.0,Tonga,TON,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,95496.0,1.75e-05,77.232,69.832,137066290.6,1435.309234,5.4e-06
94066,63282,Toluta'u Koula,M,26.0,178.0,79.0,Tonga,TON,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,96369.0,1.66e-05,77.103,70.285,219583570.1,2278.570599,6.95e-06
94067,63282,Toluta'u Koula,M,30.0,178.0,79.0,Tonga,TON,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,98082.0,1.6e-05,76.988,70.811,202363492.2,2063.207237,6.02e-06
99825,67039,Akapei Latu,M,25.0,176.0,73.0,Tonga,TON,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,,0,100406.0,1.56e-05,76.873,71.367,229358214.8,2284.307858,5.24e-06
100143,67276,Lisiate Lavulo,M,22.0,,64.0,Tonga,TON,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,93842.0,1.97e-05,77.958,68.478,64248354.54,684.6439179,5.31e-06
104264,69851,Ana Siulolo Liku,F,22.0,165.0,55.0,Tonga,TON,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,,0,96369.0,1.66e-05,77.103,70.285,219583570.1,2278.570599,6.95e-06
104265,69851,Ana Siulolo Liku,F,26.0,165.0,55.0,Tonga,TON,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres Hurdles,,0,98082.0,1.6e-05,76.988,70.811,202363492.2,2063.207237,6.02e-06
106299,71121,Maamaloa Lolohea,M,40.0,180.0,135.0,Tonga,TON,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,103005.0,1.52e-05,76.719,71.906,349484427.6,3392.887992,5.5e-06
107740,72134,Joseph Andy Lui,M,20.0,,,Tonga,TON,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,104951.0,1.48e-05,76.502,72.446,472358251.2,4500.750362,6.31e-06
108268,72515,Elone Lutui,M,23.0,,69.0,Tonga,TON,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,93842.0,1.97e-05,77.958,68.478,64248354.54,684.6439179,5.31e-06
109494,73349,Mateaki Fonnama'atonga Mafi,M,19.0,178.0,86.0,Tonga,TON,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,95496.0,1.75e-05,77.232,69.832,137066290.6,1435.309234,5.4e-06
