Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
261,196,Mohamed Abdel Khaled,M,24.0,183.0,76.0,Tunisia,TUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,,0,5781796.0,0.001396856,51.816,57.867,4507929104.0,779.6762639,0.00070217
598,436,Haithem Abid,M,22.0,179.0,72.0,Tunisia,TUN,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7871459.0,0.0015417,43.686,67.576,10096292842.0,1282.645675,0.000528602
995,686,Khaled Achour,M,20.0,177.0,82.0,Tunisia,TUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,,0,5781796.0,0.001396856,51.816,57.867,4507929104.0,779.6762639,0.00070217
996,687,Haykel Al-Achouri,M,23.0,184.0,84.0,Tunisia,TUN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,10407336.0,0.001538694,34.399,74.595,44856586316.0,4310.093026,0.000706403
997,687,Haykel Al-Achouri,M,27.0,184.0,84.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,10886668.0,0.001533895,33.726,75.023,45044112939.0,4137.54814,0.00060139
1693,1199,Slim Agrebi,M,22.0,,,Tunisia,TUN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,,0,9256037.0,0.001597916,38.13,71.898,19587322786.0,2116.167296,0.000619852
2125,1525,Zied Ait Ouagram,M,23.0,191.0,75.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,10886668.0,0.001533895,33.726,75.023,45044112939.0,4137.54814,0.00060139
3054,2140,Ahmed Mohieddine Al-Sghaier,M,23.0,170.0,67.0,Tunisia,TUN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,,0,4176266.0,0.001376401,62.489,42.021,,0,
4368,3050,Kamel Al-Alouini,M,24.0,187.0,86.0,Tunisia,TUN,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,,0,10886668.0,0.001533895,33.726,75.023,45044112939.0,4137.54814,0.00060139
4369,3051,Mohamed Alouini,M,26.0,183.0,70.0,Tunisia,TUN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,7127941.0,0.001497472,46.989,65.214,8254891864.0,1158.103282,0.000682222
