Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
120,78,Salim Abanoz,M,26.0,,,Turkey,TUR,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,,0,59423208.0,0.010258525,37.347,67.57,181000000000.0,3045.947974,0.005727848
581,428,Elvan Abeylegesse,F,21.0,159.0,40.0,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 1,500 metres",,0,67007855.0,0.010410852,32.82,72.06,405000000000.0,6044.06752,0.009246575
582,428,Elvan Abeylegesse,F,21.0,159.0,40.0,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",,0,67007855.0,0.010410852,32.82,72.06,405000000000.0,6044.06752,0.009246575
583,428,Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver,0,70440032.0,0.010414353,30.438,73.549,764000000000.0,10846.10524,0.012031496
584,428,Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",,0,70440032.0,0.010414353,30.438,73.549,764000000000.0,10846.10524,0.012031496
903,624,Srr Acar,M,,170.0,78.0,Turkey,TUR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,0,33256432.0,0.009408236,63.423,51.053,17500000000.0,526.2139967,0.007172131
1238,864,Yasemin Adar,F,24.0,180.0,75.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,0,79512426.0,0.010684087,26.113,75.755,864000000000.0,10866.22612,0.011398417
1589,1111,Alisa Agafonova,F,23.0,171.0,,Turkey,TUR,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,,0,77030628.0,0.010597163,27.109,75.239,934000000000.0,12125.0472,0.011822785
1691,1197,Seyyit Ahmet Aral,M,,168.0,70.0,Turkey,TUR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,33256432.0,0.009408236,63.423,51.053,17500000000.0,526.2139967,0.007172131
2193,1565,Ahmet Ak,M,22.0,163.0,60.0,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,52053704.0,0.01019521,43.413,63.266,90852814005.0,1745.366939,0.004756692
2229,1587,zdemir Akbal,M,23.0,178.0,58.0,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,,0,63240121.0,0.010336604,35.259,70.008,273000000000.0,4316.879786,0.008125
2230,1587,zdemir Akbal,M,23.0,178.0,58.0,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,,0,63240121.0,0.010336604,35.259,70.008,273000000000.0,4316.879786,0.008125
2239,1595,Hseyin Akba,M,,167.0,57.0,Turkey,TUR,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,27472331.0,0.009054245,68.485,45.369,13995067818.0,509.4241118,0.010215378
2240,1595,Hseyin Akba,M,,167.0,57.0,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,0,30244232.0,0.009282493,66.32,48.312,11177777778.0,369.5837864,0.006209877
2241,1597,smail Akay,M,26.0,178.0,61.0,Turkey,TUR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,,0,33256432.0,0.009408236,63.423,51.053,17500000000.0,526.2139967,0.007172131
2242,1597,smail Akay,M,30.0,178.0,61.0,Turkey,TUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,,0,36587225.0,0.009530591,60.4,53.492,20431095406.0,558.421564,0.005419389
