Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1076,743,Arslanbek Aylow,M,23.0,177.0,75.0,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,,0,5662544.0,0.000760876,49.604,67.835,36179885714.0,6389.334143,0.000477307
6815,4768,Yekaterina Arabova,F,24.0,165.0,57.0,Turkmenistan,TKM,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,4935762.0,0.000729738,52.174,66.031,19271523179.0,3904.467675,0.000303489
8284,5780,Galina Atayeva,F,24.0,155.0,48.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight,,0,4287344.0,0.000740146,54.982,62.952,2379281768.0,554.9547151,7.53e-05
8285,5780,Galina Atayeva,F,28.0,155.0,48.0,Turkmenistan,TKM,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Extra-Lightweight,,0,4516131.0,0.000738162,54.087,63.613,2904662605.0,643.1750109,8.64e-05
8286,5781,Merdan Ataew,M,21.0,196.0,80.0,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,,0,5662544.0,0.000760876,49.604,67.835,36179885714.0,6389.334143,0.000477307
9217,6420,Glbadam Babamyradowa,F,24.0,156.0,52.0,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,,0,5662544.0,0.000760876,49.604,67.835,36179885714.0,6389.334143,0.000477307
12191,8436,Aliasker Bashirov,M,25.0,180.0,69.0,Turkmenistan,TKM,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Welterweight,,0,4703398.0,0.000730756,53.188,64.693,6838351088.0,1453.917165,0.000156127
12192,8436,Aliasker Bashirov,M,29.0,180.0,69.0,Turkmenistan,TKM,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,,0,4935762.0,0.000729738,52.174,66.031,19271523179.0,3904.467675,0.000303489
12966,8953,mrbek Bazarbaew,M,18.0,163.0,62.0,Turkmenistan,TKM,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Featherweight,,0,4516131.0,0.000738162,54.087,63.613,2904662605.0,643.1750109,8.64e-05
12967,8953,mrbek Bazarbaew,M,22.0,163.0,62.0,Turkmenistan,TKM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Featherweight,,0,4703398.0,0.000730756,53.188,64.693,6838351088.0,1453.917165,0.000156127
12968,8953,mrbek Bazarbaew,M,26.0,163.0,62.0,Turkmenistan,TKM,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Featherweight,,0,4935762.0,0.000729738,52.174,66.031,19271523179.0,3904.467675,0.000303489
12969,8953,mrbek Bazarbaew,M,30.0,163.0,62.0,Turkmenistan,TKM,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Featherweight,,0,5267839.0,0.000742221,50.977,67.167,35164210526.0,6675.262954,0.000469482
13629,9384,Nazar Begliyev,M,24.0,185.0,75.0,Turkmenistan,TKM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,4703398.0,0.000730756,53.188,64.693,6838351088.0,1453.917165,0.000156127
22010,15081,Viktoriya Brigadnaya,F,20.0,178.0,57.0,Turkmenistan,TKM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Triple Jump,,0,4516131.0,0.000738162,54.087,63.613,2904662605.0,643.1750109,8.64e-05
64327,43777,Nepes Gukulov,M,22.0,165.0,58.0,Turkmenistan,TKM,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,0,4516131.0,0.000738162,54.087,63.613,2904662605.0,643.1750109,8.64e-05
65452,44547,Olga Hachatryan,F,16.0,163.0,63.0,Turkmenistan,TKM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,,0,4935762.0,0.000729738,52.174,66.031,19271523179.0,3904.467675,0.000303489
68834,46889,Glnar Haytbaewa,F,27.0,166.0,63.0,Turkmenistan,TKM,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,,0,5267839.0,0.000742221,50.977,67.167,35164210526.0,6675.262954,0.000469482
