Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
973,672,Wilson Achia,M,25.0,167.0,52.0,Uganda,UGA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,14174470.0,0.002977841,91.195,48.512,3615647477.0,255.0816699,0.000298814
987,681,Janet Achola,F,24.0,167.0,52.0,Uganda,UGA,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",,0,36306796.0,0.005115506,84.885,58.347,23132149257.0,637.1300089,0.00030884
988,682,Julius Achon,M,19.0,168.0,55.0,Uganda,UGA,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,21202118.0,0.003660228,88.254,44.415,6044585327.0,285.0934669,0.000191284
989,682,Julius Achon,M,23.0,168.0,55.0,Uganda,UGA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,24039274.0,0.003929222,87.918,47.077,6193246837.0,257.6303609,0.000184323
1006,694,Oliver M. Acii,F,18.0,167.0,55.0,Uganda,UGA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,16262533.0,0.003185171,89.733,46.549,6508931652.0,400.2409497,0.000340782
1007,694,Oliver M. Acii,F,18.0,167.0,55.0,Uganda,UGA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,,0,16262533.0,0.003185171,89.733,46.549,6508931652.0,400.2409497,0.000340782
1339,931,Nyakisi Adero,F,30.0,,,Uganda,UGA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,41487965.0,0.005574739,83.556,59.889,24078931933.0,580.3835385,0.000317664
1353,941,Paul Adiga,M,20.0,176.0,74.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,,0,9988380.0,0.002601869,93.188,49.142,1491596639.0,149.3331891,0.000395649
1367,951,Evelyn Adiru,F,22.0,162.0,50.0,Uganda,UGA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,,0,14174470.0,0.002977841,91.195,48.512,3615647477.0,255.0816699,0.000298814
1409,989,Gadi Ado,M,20.0,173.0,61.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,6788214.0,0.002237238,95.583,43.991,423008385.7,62.31512231,0.000308765
1410,989,Gadi Ado,M,20.0,173.0,61.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6788214.0,0.002237238,95.583,43.991,423008385.7,62.31512231,0.000308765
1627,1141,Franco Agentho,M,22.0,,60.0,Uganda,UGA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,,0,21202118.0,0.003660228,88.254,44.415,6044585327.0,285.0934669,0.000191284
2171,1550,Irene Ajambo,F,17.0,163.0,69.0,Uganda,UGA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Light-Heavyweight,,0,27568436.0,0.004283243,87.245,51.538,7940362799.0,288.0236949,0.000181287
2358,1673,John Akii-Bua,M,22.0,188.0,77.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold,0,9988380.0,0.002601869,93.188,49.142,1491596639.0,149.3331891,0.000395649
2359,1673,John Akii-Bua,M,30.0,188.0,77.0,Uganda,UGA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,,0,12549540.0,0.002827944,92.466,49.374,1244610000.0,99.17574668,0.000111126
2360,1673,John Akii-Bua,M,30.0,188.0,77.0,Uganda,UGA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,12549540.0,0.002827944,92.466,49.374,1244610000.0,99.17574668,0.000111126
5127,3550,"Erasmus Samuel A. O. ""Sam"" Amukun",M,19.0,169.0,64.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,6788214.0,0.002237238,95.583,43.991,423008385.7,62.31512231,0.000308765
