Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
618,452,Enver Nazymovych Ablaiev,M,22.0,169.0,68.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,48202500.0,0.007679441,32.717,68.27560976,42392896031.0,879.4750486,0.001225228
619,452,Enver Nazymovych Ablaiev,M,26.0,169.0,68.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,46787750.0,0.007090749,32.031,68.07756098,108000000000.0,2308.296509,0.002101167
620,452,Enver Nazymovych Ablaiev,M,30.0,169.0,68.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,45870700.0,0.006618521,31.314,70.26536585,136000000000.0,2964.855561,0.002060606
746,534,Oleksandr Volodymyrovych Abramenko,M,17.0,180.0,82.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,46787750.0,0.007090749,32.031,68.07756098,108000000000.0,2308.296509,0.002101167
747,534,Oleksandr Volodymyrovych Abramenko,M,21.0,180.0,82.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,45870700.0,0.006618521,31.314,70.26536585,136000000000.0,2964.855561,0.002060606
748,534,Oleksandr Volodymyrovych Abramenko,M,25.0,180.0,82.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,,0,45271947.0,0.006228096,30.518,71.18658537,134000000000.0,2959.890371,0.001696203
1484,1032,Serhiy Mykolaiovych Advena,M,20.0,190.0,82.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
1485,1032,Serhiy Mykolaiovych Advena,M,20.0,190.0,82.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
1486,1032,Serhiy Mykolaiovych Advena,M,24.0,190.0,82.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,,0,46258200.0,0.006839139,31.675,68.25146341,180000000000.0,3891.201992,0.002834646
1487,1032,Serhiy Mykolaiovych Advena,M,24.0,190.0,82.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,,0,46258200.0,0.006839139,31.675,68.25146341,180000000000.0,3891.201992,0.002834646
1492,1037,Rustam Iwanovych Adzhy,M,23.0,175.0,69.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,51057189.0,0.008814258,33.01,66.88780488,44558077827.0,872.7091855,0.001410066
1493,1037,Rustam Iwanovych Adzhy,M,27.0,175.0,69.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,0,49175848.0,0.008037797,32.855,67.8595122,31261527363.0,635.7089635,0.000930403
2148,1540,Artur Surenovych Aivazian,M,27.0,177.0,88.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,49175848.0,0.008037797,32.855,67.8595122,31261527363.0,635.7089635,0.000930403
2149,1540,Artur Surenovych Aivazian,M,27.0,177.0,88.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,49175848.0,0.008037797,32.855,67.8595122,31261527363.0,635.7089635,0.000930403
2150,1540,Artur Surenovych Aivazian,M,27.0,177.0,88.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,49175848.0,0.008037797,32.855,67.8595122,31261527363.0,635.7089635,0.000930403
2151,1540,Artur Surenovych Aivazian,M,31.0,177.0,88.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2152,1540,Artur Surenovych Aivazian,M,31.0,177.0,88.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2153,1540,Artur Surenovych Aivazian,M,31.0,177.0,88.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2154,1540,Artur Surenovych Aivazian,M,35.0,177.0,88.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,46258200.0,0.006839139,31.675,68.25146341,180000000000.0,3891.201992,0.002834646
2155,1540,Artur Surenovych Aivazian,M,35.0,177.0,88.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,46258200.0,0.006839139,31.675,68.25146341,180000000000.0,3891.201992,0.002834646
2156,1540,Artur Surenovych Aivazian,M,35.0,177.0,88.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,0,46258200.0,0.006839139,31.675,68.25146341,180000000000.0,3891.201992,0.002834646
2157,1540,Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,45593300.0,0.006423943,30.928,70.94414634,176000000000.0,3860.216304,0.0023498
2158,1540,Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,45593300.0,0.006423943,30.928,70.94414634,176000000000.0,3860.216304,0.0023498
2159,1540,Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,45593300.0,0.006423943,30.928,70.94414634,176000000000.0,3860.216304,0.0023498
2283,1636,Svitlana Viktorivna Akhadova,F,23.0,170.0,69.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",,0,45004645.0,0.006047276,30.085,71.47634146,93270479389.0,2072.463395,0.001230481
2345,1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2346,1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2347,1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2348,1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
2349,1667,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,0,47451600.0,0.007372443,32.403,68.18536585,64883060726.0,1367.352433,0.001481348
