Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
484,359,Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold,0,,,,,,#DIV/0!,
1551,1090,Inha Mykolavna Afonina,F,22.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Platform,,0,,,,,,#DIV/0!,
2417,1713,Artur Vladimirovich Akoyev,M,26.0,,109.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,Silver,0,,,,,,#DIV/0!,
3962,2764,Magomedbek Daitbekovich Aliyev,M,25.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Lightweight,,0,,,,,,#DIV/0!,
3991,2786,Yuliya Yakunovna Allagulova,F,19.0,176.0,54.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,0,,,,,,#DIV/0!,
5884,4174,Viktor Andreyev,M,18.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,,,,,,#DIV/0!,
5885,4175,Vitaly Andreyev,M,22.0,183.0,82.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,,0,,,,,,#DIV/0!,
5886,4175,Vitaly Andreyev,M,22.0,183.0,82.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,,0,,,,,,#DIV/0!,
5887,4175,Vitaly Andreyev,M,22.0,183.0,82.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Combined,,0,,,,,,#DIV/0!,
5896,4179,Vladimir Vasilyevich Andreyev,M,25.0,170.0,58.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,,0,,,,,,#DIV/0!,
6214,4373,Aleksandr Anikeyev,M,24.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,,0,,,,,,#DIV/0!,
6240,4388,Nataliya Yuryevna Anisimova (Guskova-),F,31.0,174.0,70.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Bronze,0,,,,,,#DIV/0!,
6361,4477,Vladimir Ilyich Antakov,M,35.0,180.0,80.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,0,,,,,,#DIV/0!,
6515,4580,Vladislav Yuryevich Antonov,M,25.0,164.0,54.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,,0,,,,,,#DIV/0!,
6548,4600,Andrey Mikhaylovich Antropov,M,25.0,178.0,72.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,,0,,,,,,#DIV/0!,
6679,4677,Dmitry Borisovich Apanasenko,M,25.0,192.0,86.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Bronze,0,,,,,,#DIV/0!,
7653,5353,Yevgeniya Viktorovna Artamonova-Estes,F,17.0,191.0,75.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Silver,0,,,,,,#DIV/0!,
7814,5447,Loedmila Arzjannikova,F,34.0,168.0,62.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Women's Individual,,0,,,,,,#DIV/0!,
7815,5447,Loedmila Arzjannikova,F,34.0,168.0,62.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Women's Team,Bronze,0,,,,,,#DIV/0!,
7864,5473,Aleksandr Alekseyevich Asanov,M,38.0,170.0,67.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,,0,,,,,,#DIV/0!,
8110,5671,Anatoly Khamidullayevich Asrabayev,M,23.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Running Target, 10 metres",Silver,0,,,,,,#DIV/0!,
8162,5702,Igor Vyacheslavovich Astapkovich,M,29.0,192.0,120.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Silver,0,,,,,,#DIV/0!,
8357,5839,"Anzhelika Petrovna ""Anzhela"" Atroshchenko (-Kinet)",F,21.0,176.0,58.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,,0,,,,,,#DIV/0!,
9111,6337,Magomed Kurbanovich Azizov,M,23.0,165.0,62.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,,,,,,#DIV/0!,
9141,6361,Marina Eduardovna Azyabina,F,29.0,172.0,62.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,,0,,,,,,#DIV/0!,
9804,6799,Dmitry Bagryanov,M,24.0,188.0,78.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,,,,,,#DIV/0!,
