Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
402,306,Nabil Abdul Tahlak,M,39.0,,,United Arab Emirates,ARE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,2571020.0,0.000443848,21.507,73.21,73571233996.0,28615.58214,0.002328204
429,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
430,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
431,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
432,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
433,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
434,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
435,327,Mohamed Samy Abdullah,M,,165.0,65.0,United Arab Emirates,ARE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,1318478.0,0.000276992,19.974,69.452,41807954236.0,31709.25433,0.003455203
462,344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23.0,168.0,68.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
463,345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20.0,168.0,62.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
1900,1372,Mohamed Ahmad Ali Gharib Juma,M,23.0,178.0,73.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
2489,1769,Ali Al-Abed,M,,177.0,62.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
2490,1769,Ali Al-Abed,M,,177.0,62.0,United Arab Emirates,ARE,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,2086639.0,0.000382439,21.24,72.122,54239171888.0,25993.55801,0.0021354
2491,1769,Ali Al-Abed,M,,177.0,62.0,United Arab Emirates,ARE,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,2086639.0,0.000382439,21.24,72.122,54239171888.0,25993.55801,0.0021354
2524,1792,Bassam Al-Ansari,M,,175.0,61.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
2525,1792,Bassam Al-Ansari,M,,175.0,61.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
2526,1792,Bassam Al-Ansari,M,,175.0,61.0,United Arab Emirates,ARE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,1655849.0,0.000324314,20.661,70.913,36275674203.0,21907.59798,0.00189925
2533,1797,Dhaher Al-Aryani,M,39.0,182.0,73.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
2543,1804,Mohamed Juma Al-Aswad Al-Makhoun,M,20.0,180.0,80.0,United Arab Emirates,ARE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,2571020.0,0.000443848,21.507,73.21,73571233996.0,28615.58214,0.002328204
2582,1825,Ali Mohamed Al-Balooshi,M,17.0,180.0,60.0,United Arab Emirates,ARE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,4087931.0,0.000635132,18.129,75.2,148000000000.0,36204.13358,0.003378995
2583,1826,Ayesha Shahriyar Mohammed Al-Balooshi,F,24.0,160.0,57.0,United Arab Emirates,ARE,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,,0,9269612.0,0.001245558,14.196,77.256,349000000000.0,37649.90379,0.004604222
2590,1832,Nada Mohamed Abdulzaher Mohamed Al-Bedwawi,F,18.0,162.0,53.0,United Arab Emirates,ARE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,9269612.0,0.001245558,14.196,77.256,349000000000.0,37649.90379,0.004604222
2593,1834,Mubarak Muhammad Salem Al-Besher,M,24.0,,,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
2637,1859,Humaid Rashd Al-Derei,M,21.0,,65.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
2640,1862,Khuwaiter Al-Dhaheri,M,17.0,,,United Arab Emirates,ARE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,2571020.0,0.000443848,21.507,73.21,73571233996.0,28615.58214,0.002328204
2748,1935,Ismail Salem Al-Hammadi,M,24.0,173.0,68.0,United Arab Emirates,ARE,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,8900453.0,0.001254044,15.316,76.648,375000000000.0,42132.68695,0.005006676
2799,1976,Obaid Ahmed Obaid Al-Jasmi,M,23.0,178.0,71.0,United Arab Emirates,ARE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,4087931.0,0.000635132,18.129,75.2,148000000000.0,36204.13358,0.003378995
