Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
573,422,"Julianne ""Anne"" Abernathy",F,34.0,165.0,75.0,United States Virgin Islands,VIR,1988 Winter,1988,Winter,Calgary,Luge,Luge Women's Singles,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
574,422,"Julianne ""Anne"" Abernathy",F,38.0,165.0,75.0,United States Virgin Islands,VIR,1992 Winter,1992,Winter,Albertville,Luge,Luge Women's Singles,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
575,422,"Julianne ""Anne"" Abernathy",F,40.0,165.0,75.0,United States Virgin Islands,VIR,1994 Winter,1994,Winter,Lillehammer,Luge,Luge Women's Singles,,0,107317.0,1.91e-05,10.066,75.25729268,,0,
576,422,"Julianne ""Anne"" Abernathy",F,44.0,165.0,75.0,United States Virgin Islands,VIR,1998 Winter,1998,Winter,Nagano,Luge,Luge Women's Singles,,0,108535.0,1.82e-05,8.189,76.23697561,,0,
577,422,"Julianne ""Anne"" Abernathy",F,48.0,165.0,75.0,United States Virgin Islands,VIR,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Women's Singles,,0,108208.0,1.72e-05,6.964,77.62195122,3269000000.0,30210.33565,9.45e-05
3787,2637,Laurent Paul Alfred,M,17.0,,,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
3788,2637,Laurent Paul Alfred,M,17.0,,,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
3789,2637,Laurent Paul Alfred,M,17.0,,,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
4543,3164,Jos lvarez,M,45.0,165.0,62.0,United States Virgin Islands,VIR,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,76000.0,1.98e-05,28.059,69.64660976,307100000.0,4040.789474,8.15e-05
14218,9710,Ameerah Anakaona Bello,F,20.0,165.0,54.0,United States Virgin Islands,VIR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 200 metres,,0,108093.0,1.87e-05,9.083,75.75902439,,0,
14219,9710,Ameerah Anakaona Bello,F,20.0,165.0,54.0,United States Virgin Islands,VIR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres,,0,108093.0,1.87e-05,9.083,75.75902439,,0,
14220,9710,Ameerah Anakaona Bello,F,20.0,165.0,54.0,United States Virgin Islands,VIR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,108093.0,1.87e-05,9.083,75.75902439,,0,
14221,9710,Ameerah Anakaona Bello,F,24.0,165.0,54.0,United States Virgin Islands,VIR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,108639.0,1.78e-05,7.414,76.6195122,,0,
15741,10735,"Gerard E. ""Gary"" Berne",M,40.0,170.0,81.0,United States Virgin Islands,VIR,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,,0,108000.0,2.27e-05,16.486,72.66221951,985400000.0,9124.074074,8.14e-05
18017,12417,Franklin Blyden,M,,,,United States Virgin Islands,VIR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,54600.0,1.54e-05,32.86,68.44273171,173800000.0,3183.150183,7.12e-05
22310,15278,Charles Eric Brodnax,M,24.0,177.0,64.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
22589,15489,Christian E. Brown,M,30.0,180.0,86.0,United States Virgin Islands,VIR,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,,0,108535.0,1.82e-05,8.189,76.23697561,,0,
22590,15489,Christian E. Brown,M,34.0,180.0,86.0,United States Virgin Islands,VIR,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,,0,108208.0,1.72e-05,6.964,77.62195122,3269000000.0,30210.33565,9.45e-05
22639,15524,Gilberto Willmount Brown,M,18.0,188.0,75.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
22768,15610,Dinah Susie Browne,F,32.0,165.0,65.0,United States Virgin Islands,VIR,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Women's Singles,,0,108208.0,1.72e-05,6.964,77.62195122,3269000000.0,30210.33565,9.45e-05
24227,16566,Daniel Burgner,M,37.0,,,United States Virgin Islands-2,VIR,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
24228,16566,Daniel Burgner,M,37.0,,,United States Virgin Islands-1,VIR,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
25428,17435,George Calhern,M,21.0,188.0,75.0,United States Virgin Islands,VIR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,76000.0,1.98e-05,28.059,69.64660976,307100000.0,4040.789474,8.15e-05
25820,17714,Jasmine Jade Ariel Lyons Campbell,F,22.0,170.0,64.0,United States Virgin Islands,VIR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,104170.0,1.43e-05,4.797,78.96829268,3624000000.0,34789.28674,4.59e-05
25821,17714,Jasmine Jade Ariel Lyons Campbell,F,22.0,170.0,64.0,United States Virgin Islands,VIR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,,0,104170.0,1.43e-05,4.797,78.96829268,3624000000.0,34789.28674,4.59e-05
25827,17720,John Campbell,M,29.0,,,United States Virgin Islands,VIR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
25828,17720,John Campbell,M,29.0,,,United States Virgin Islands,VIR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
25829,17720,John Campbell,M,29.0,,,United States Virgin Islands,VIR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
28994,19904,Clifton Charleswell,M,23.0,175.0,63.0,United States Virgin Islands,VIR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,108000.0,2.27e-05,16.486,72.66221951,985400000.0,9124.074074,8.14e-05
32159,21961,"Laurent Clayton, Jr.",M,26.0,196.0,127.0,United States Virgin Islands,VIR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,,0,102951.0,1.38e-05,4.541,79.26829268,,0,
32241,22026,William Cleveland,M,22.0,185.0,73.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
32242,22026,William Cleveland,M,22.0,185.0,73.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
32243,22026,William Cleveland,M,22.0,185.0,73.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
32244,22026,William Cleveland,M,22.0,185.0,73.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
32245,22026,William Cleveland,M,22.0,185.0,73.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
34433,23670,Shelley Katherine Cramer (-Persinger),F,14.0,162.0,54.0,United States Virgin Islands,VIR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,,0,96000.0,2.32e-05,23.712,70.75053659,440000000.0,4583.333333,6.85e-05
34434,23670,Shelley Katherine Cramer (-Persinger),F,14.0,162.0,54.0,United States Virgin Islands,VIR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,,0,96000.0,2.32e-05,23.712,70.75053659,440000000.0,4583.333333,6.85e-05
34435,23670,Shelley Katherine Cramer (-Persinger),F,14.0,162.0,54.0,United States Virgin Islands,VIR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Butterfly,,0,96000.0,2.32e-05,23.712,70.75053659,440000000.0,4583.333333,6.85e-05
34436,23670,Shelley Katherine Cramer (-Persinger),F,22.0,162.0,54.0,United States Virgin Islands,VIR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,,0,108000.0,2.27e-05,16.486,72.66221951,985400000.0,9124.074074,8.14e-05
34437,23670,Shelley Katherine Cramer (-Persinger),F,22.0,162.0,54.0,United States Virgin Islands,VIR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,,0,108000.0,2.27e-05,16.486,72.66221951,985400000.0,9124.074074,8.14e-05
34438,23670,Shelley Katherine Cramer (-Persinger),F,22.0,162.0,54.0,United States Virgin Islands,VIR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,,0,108000.0,2.27e-05,16.486,72.66221951,985400000.0,9124.074074,8.14e-05
34439,23670,Shelley Katherine Cramer (-Persinger),F,30.0,162.0,54.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
34440,23670,Shelley Katherine Cramer (-Persinger),F,30.0,162.0,54.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
34441,23670,Shelley Katherine Cramer (-Persinger),F,30.0,162.0,54.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
36454,25004,Calvin Dallas,M,36.0,178.0,68.0,United States Virgin Islands,VIR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,104500.0,2.05e-05,13.593,73.71758537,1204600064.0,11527.27334,6.31e-05
36455,25004,Calvin Dallas,M,40.0,178.0,68.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
37291,25566,Ivan David,M,31.0,180.0,74.0,United States Virgin Islands,VIR,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,96000.0,2.32e-05,23.712,70.75053659,440000000.0,4583.333333,6.85e-05
41018,28359,Wyndell Douglas Dickinson,M,28.0,183.0,86.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
41019,28359,Wyndell Douglas Dickinson,M,28.0,183.0,86.0,United States Virgin Islands,VIR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,105711.0,1.94e-05,11.14,74.74704878,1770899968.0,16752.27713,6.97e-05
