Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
938,644,Claudia Acerenza Marez,F,22.0,160.0,55.0,Uruguay,URY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,3069099.0,0.000601112,11.715,72.203,8213515459.0,2676.197626,0.000430027
939,644,Claudia Acerenza Marez,F,22.0,160.0,55.0,Uruguay,URY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,3069099.0,0.000601112,11.715,72.203,8213515459.0,2676.197626,0.000430027
1073,739,Jorge Acua,M,24.0,173.0,50.0,Uruguay,URY,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Flyweight,,0,2821439.0,0.000734955,17.229,68.732,2189418001.0,775.9933853,0.000580747
1720,1226,Luis M. Aguiar Donatti,M,20.0,190.0,90.0,Uruguay,URY,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,,0,2538651.0,0.000836681,19.759,67.782,1242289212.0,489.350136,0.00090678
1822,1297,Matas Aguirregaray Guruceaga,M,23.0,183.0,78.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
1876,1343,Emilio Leodegardo Ahlers Salome,M,25.0,179.0,81.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
1877,1344,Jos Pablo A. Ahlers Henderson,M,27.0,181.0,80.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
3343,2353,Emiliano Albn Antognazza,M,23.0,176.0,75.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
3421,2404,Carlos Sal Alcantara,M,27.0,,,Uruguay,URY,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,2841429.0,0.000686476,16.194,69.269,3667161241.0,1290.604566,0.000571209
4231,2946,Oscar Almada Correa,M,20.0,174.0,68.0,Uruguay,URY,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,2665390.0,0.000818056,18.886,68.454,1975701728.0,741.2430181,0.001097612
4232,2946,Oscar Almada Correa,M,20.0,174.0,68.0,Uruguay,URY,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,0,2665390.0,0.000818056,18.886,68.454,1975701728.0,741.2430181,0.001097612
6784,4744,Pablo Alejandro Aprahamian Bakerdjian,M,30.0,180.0,97.0,Uruguay,URY,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,,0,3444006.0,0.000462771,4.54,77.493,52419720714.0,15220.56603,0.000691553
6788,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
6789,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
6790,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
6791,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Individual Medley,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
6792,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Individual Medley,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
6793,4749,Ruth Evelyn Apt Leheimer,F,15.0,152.0,50.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
7147,5005,Egidio Ral Arvalo Ros,M,30.0,168.0,73.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
7206,5054,Ramn Gines Arias Quinteros,M,19.0,178.0,72.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
7911,5502,Jos Asconeguy Gonzlez,M,25.0,187.0,81.0,Uruguay,URY,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,3069099.0,0.000601112,11.715,72.203,8213515459.0,2676.197626,0.000430027
11371,7831,Gregorio Amadeo Bare Rossario,M,23.0,180.0,82.0,Uruguay,URY,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,3248035.0,0.000560725,9.165,73.854,20515465834.0,6316.26994,0.000649224
11372,7831,Gregorio Amadeo Bare Rossario,M,27.0,180.0,82.0,Uruguay,URY,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",,0,3321245.0,0.000542858,7.972,74.805,22823255802.0,6871.897678,0.000679264
11399,7855,Wilde H. Baridn Ricca,M,23.0,,71.0,Uruguay,URY,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",,0,2665390.0,0.000818056,18.886,68.454,1975701728.0,741.2430181,0.001097612
11400,7855,Wilde H. Baridn Ricca,M,23.0,,71.0,Uruguay,URY,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,2665390.0,0.000818056,18.886,68.454,1975701728.0,741.2430181,0.001097612
11625,8042,Enrique Barragn Mndez,M,34.0,172.0,82.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
11811,8175,Luis A. Barrufa Casenave,M,22.0,175.0,77.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
14686,10004,Lino Benech,M,24.0,175.0,70.0,Uruguay,URY,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,2821439.0,0.000734955,17.229,68.732,2189418001.0,775.9933853,0.000580747
14874,10119,Mario Eustaquio Bentez,M,22.0,172.0,71.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Middleweight,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
17860,12288,Carlos Samuel Blixen Abella,M,23.0,181.0,76.0,Uruguay,URY,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,,0,2538651.0,0.000836681,19.759,67.782,1242289212.0,489.350136,0.00090678
20639,14214,Willan Bouza,M,34.0,,,Uruguay,URY,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Heavyweight,,0,3248035.0,0.000560725,9.165,73.854,20515465834.0,6316.26994,0.000649224
22184,15175,Marcela Valeria Britos,F,23.0,167.0,57.0,Uruguay,URY,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,,0,3350824.0,0.00049541,6.002,76.282,30366213095.0,9062.312164,0.000478208
23648,16179,Jorge M. Buenahora,M,22.0,178.0,83.0,Uruguay,URY,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Pairs,,0,2821439.0,0.000734955,17.229,68.732,2189418001.0,775.9933853,0.000580747
25582,17534,Maximiliano Matas Calzada Fuentes,M,22.0,170.0,69.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
25749,17671,Martn Nicols Campaa Delgado,M,23.0,185.0,75.0,Uruguay,URY,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,3396777.0,0.000478595,5.197,76.89,51264390121.0,15092.06819,0.000684438
27268,18702,Paulo Carvalho Sattler,M,25.0,183.0,83.0,Uruguay,URY,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Double Sculls,,0,2538651.0,0.000836681,19.759,67.782,1242289212.0,489.350136,0.00090678
27298,18725,Carlos Alberto Casal,M,22.0,172.0,63.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Welterweight,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
27646,18959,Lylian Stella Castillo Gmez,F,15.0,162.0,58.0,Uruguay,URY,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,,0,2774774.0,0.000784983,18.042,68.576,1593675330.0,574.3441916,0.000653146
