Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
450,337,Mukhammad Kadyr Abdullayev,M,22.0,169.0,63.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
451,337,Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
452,338,Muminzhon Abdullayev,M,22.0,190.0,130.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,29774500.0,0.004195127,63.818,70.604,51821573338.0,1740.468298,0.000691877
453,338,Muminzhon Abdullayev,M,26.0,190.0,130.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,31848200.0,0.004279444,63.521,71.314,67220335570.0,2110.647872,0.000886812
474,352,Sherzod Abdurahmonov,M,22.0,178.0,73.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,,0,25864350.0,0.004018483,63.174,68.094,12030023548.0,465.1198869,0.000274658
477,354,Bekzod Makhamadzhonovich Abdurakhmonov,M,26.0,172.0,74.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,31848200.0,0.004279444,63.521,71.314,67220335570.0,2110.647872,0.000886812
485,359,Andrey Khakimovich Abduvaliyev,M,34.0,190.0,125.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Hammer Throw,,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
487,360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,32.0,174.0,72.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
1586,1110,Aleksandr Agafonov,M,21.0,190.0,86.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
1587,1110,Aleksandr Agafonov,M,25.0,190.0,86.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
1588,1110,Aleksandr Agafonov,M,29.0,190.0,86.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,25864350.0,0.004018483,63.174,68.094,12030023548.0,465.1198869,0.000274658
1596,1115,Marina Aganina,F,20.0,158.0,51.0,Uzbekistan,UZB,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,,0,26488250.0,0.004014331,63.474,68.663,17330833853.0,654.2838373,0.000337176
2238,1592,Egamnazar Akbarov,M,28.0,172.0,73.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,,0,25864350.0,0.004018483,63.174,68.094,12030023548.0,465.1198869,0.000274658
2301,1641,Adkhamdzhon Akhilov,M,20.0,169.0,54.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
2302,1641,Adkhamdzhon Akhilov,M,24.0,169.0,54.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
2310,1647,Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze,0,31848200.0,0.004279444,63.521,71.314,67220335570.0,2110.647872,0.000886812
2321,1653,Shukhrat Akhmedov,M,33.0,,,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
2322,1653,Shukhrat Akhmedov,M,33.0,,,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,23225000.0,0.004009448,61.92,66.494,13948892216.0,600.5981578,0.000441421
2451,1741,Alyona Aksyonova,F,20.0,172.0,52.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
2452,1741,Alyona Aksyonova,F,20.0,172.0,52.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,0,24650400.0,0.00402911,62.571,67.154,13760374488.0,558.221144,0.000409535
2453,1741,Alyona Aksyonova,F,24.0,172.0,52.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,25864350.0,0.004018483,63.174,68.094,12030023548.0,465.1198869,0.000274658
