Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3249,2276,Janice Alatoa,F,23.0,166.0,55.0,Vanuatu,VUT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,247485.0,3.49e-05,74.8,71.241,781702874.1,3158.58688,1.04e-05
37083,25409,Olivette Daruhi (-Bice),F,20.0,163.0,52.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
37084,25409,Olivette Daruhi (-Bice),F,20.0,163.0,52.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
51260,35126,Nazario Fiakaifonu,M,24.0,189.0,123.0,Vanuatu,VUT,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,,0,247485.0,3.49e-05,74.8,71.241,781702874.1,3158.58688,1.04e-05
51783,35471,Baptiste Firiam,M,17.0,173.0,60.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
51784,35471,Baptiste Firiam,M,21.0,173.0,60.0,Vanuatu,VUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,155243.0,2.85e-05,80.715,63.986,196142585.0,1263.45526,7.72e-06
51785,35471,Baptiste Firiam,M,21.0,173.0,60.0,Vanuatu,VUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,155243.0,2.85e-05,80.715,63.986,196142585.0,1263.45526,7.72e-06
56345,38442,Andrea Rose Garae (-Tari),F,19.0,,,Vanuatu,VUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,,0,155243.0,2.85e-05,80.715,63.986,196142585.0,1263.45526,7.72e-06
75511,51480,James Iahuat,M,29.0,177.0,73.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Middleweight,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
78083,53071,Laurence Jack,M,28.0,165.0,70.0,Vanuatu,VUT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,171801.0,2.97e-05,79.536,65.784,245177633.2,1427.10248,7.76e-06
80445,54628,"Jerome ""Jerry"" Jeremiah",M,25.0,165.0,65.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
80446,54628,"Jerome ""Jerry"" Jeremiah",M,25.0,165.0,65.0,Vanuatu,VUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,139366.0,2.73e-05,81.989,62.194,148545381.4,1065.865286,7.78e-06
83298,56691,Tavakalo Kailes,M,23.0,165.0,54.0,Vanuatu,VUT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,171801.0,2.97e-05,79.536,65.784,245177633.2,1427.10248,7.76e-06
83924,57129,Moses Kamut,M,22.0,172.0,74.0,Vanuatu,VUT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,204143.0,3.17e-05,77.191,68.889,364996869.1,1787.947023,8.33e-06
