Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
819,571,Rubn Abreu Rivero,M,24.0,177.0,71.0,Venezuela,VEN,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,22650102.0,0.0039102,13.395,71.176,68263823149.0,3013.841754,0.002160248
949,651,Jos Eduardo Acevedo Herrera,M,22.0,179.0,65.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
1051,721,Mara Jos Acosta Acosta,F,24.0,172.0,69.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",,0,31568179.0,0.004241817,10.957,74.545,,0,
1053,724,Pedro Javier Acosta Snchez,M,20.0,188.0,78.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,15343916.0,0.003457636,20.815,68.114,67018023256.0,4367.726156,0.005983752
1054,725,Roslandy del Valle Acosta Alvarado,F,16.0,190.0,62.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
1071,738,Crox Ernesto Acua Rodrguez,M,18.0,192.0,89.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
1072,738,Crox Ernesto Acua Rodrguez,M,22.0,192.0,89.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,29893080.0,0.004211835,11.149,73.885,381000000000.0,12745.42469,0.005086782
1708,1213,Norisbeth Isais Agudo Gonzlez,F,24.0,163.0,55.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,,0,31568179.0,0.004241817,10.957,74.545,,0,
1728,1233,Alberto Martn Aguilar Surez,M,27.0,194.0,80.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,,0,29893080.0,0.004211835,11.149,73.885,381000000000.0,12745.42469,0.005086782
1819,1292,Ordan Ramn Aguirre,M,25.0,170.0,65.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,15343916.0,0.003457636,20.815,68.114,67018023256.0,4367.726156,0.005983752
3641,2543,Octavio Andrs Alesi Gonzlez,M,21.0,174.0,69.5,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
3642,2543,Octavio Andrs Alesi Gonzlez,M,25.0,174.0,69.5,Venezuela,VEN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,29893080.0,0.004211835,11.149,73.885,381000000000.0,12745.42469,0.005086782
3904,2727,Yuruby Rosaura Alicart Ramrez,F,22.0,154.0,60.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
4501,3138,Reiver David Alvarenga Domnguez,M,22.0,160.0,60.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Extra-Lightweight,,0,24488340.0,0.004002622,12.02,72.281,117000000000.0,4777.784039,0.003482143
4502,3138,Reiver David Alvarenga Domnguez,M,26.0,160.0,60.0,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,,0,26327225.0,0.004090399,11.478,73.015,112000000000.0,4254.151359,0.002557078
4774,3315,Miguel Amarista Varga,M,29.0,173.0,63.0,Venezuela,VEN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Welterweight,,0,8146847.0,0.002685013,38.387,59.253,8736939394.0,1072.431997,0.006377328
4951,3427,Ana Amicarella (-Burns),F,18.0,,,Venezuela,VEN,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,,0,17057785.0,0.003583582,18.578,68.975,56091900000.0,3288.346054,0.004635694
5311,3665,Leopoldo Jos Andara Gonzlez,M,22.0,179.0,66.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
5312,3665,Leopoldo Jos Andara Gonzlez,M,22.0,179.0,66.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
5711,4035,Emanuel Alejandro Andrade Colmenares,M,19.0,189.0,76.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,31568179.0,0.004241817,10.957,74.545,,0,
5715,4040,Jayce Josefina Andrade Andrade,F,24.0,188.0,72.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
5729,4050,Marcia Yuleisi Andrades Mendoza,F,25.0,157.0,55.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Lightweight, Freestyle",,0,28141701.0,0.004160668,11.313,73.419,316000000000.0,11228.88769,0.004976378
5730,4050,Marcia Yuleisi Andrades Mendoza,F,29.0,157.0,55.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Lightweight, Freestyle",,0,29893080.0,0.004211835,11.149,73.885,381000000000.0,12745.42469,0.005086782
6318,4446,Bernardo Aor Guillamn,M,20.0,176.0,70.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,15343916.0,0.003457636,20.815,68.114,67018023256.0,4367.726156,0.005983752
7030,4905,Diego Arcay Llanos,M,39.0,183.0,84.0,Venezuela,VEN,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,17057785.0,0.003583582,18.578,68.975,56091900000.0,3288.346054,0.004635694
7073,4941,Lus Martn Arcn Daz,M,24.0,179.0,64.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,,0,31568179.0,0.004241817,10.957,74.545,,0,
7182,5033,Betzabeth Anglica Argello Villegas,F,25.0,164.0,53.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",,0,31568179.0,0.004241817,10.957,74.545,,0,
7514,5269,Andrs Jesus Arraez,M,17.0,,,Venezuela,VEN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,13739142.0,0.003319314,23.504,66.956,36187023256.0,2633.8634,0.005636608
7515,5269,Andrs Jesus Arraez,M,17.0,,,Venezuela,VEN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,13739142.0,0.003319314,23.504,66.956,36187023256.0,2633.8634,0.005636608
7586,5319,Juan Arroyo,M,25.0,159.0,57.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,15343916.0,0.003457636,20.815,68.114,67018023256.0,4367.726156,0.005983752
7587,5319,Juan Arroyo,M,25.0,159.0,57.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,15343916.0,0.003457636,20.815,68.114,67018023256.0,4367.726156,0.005983752
7766,5422,Gremlis Andrena Arvelo Garca,F,19.0,167.0,62.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,,0,31568179.0,0.004241817,10.957,74.545,,0,
10348,7154,Jos Balaustre,M,31.0,172.0,64.0,Venezuela,VEN,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,22650102.0,0.0039102,13.395,71.176,68263823149.0,3013.841754,0.002160248
