Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
23779,16251,Bi Vn Hong,M,25.0,155.0,50.0,South Vietnam,VNM,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",,0,40856000.0,0.011558152,82.471,61.192,,0,
26250,17997,Cao Ngc Phng Trnh,F,23.0,,,Vietnam,VNM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight,,0,73156700.0,0.012629406,77.421,72.248,24657470575.0,337.0500662,0.0007803
31301,21364,Chu Hong Diu Linh,F,18.0,174.0,66.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Welterweight,,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
31401,21433,Chung Th Thanh Lan,F,18.0,156.0,43.0,Vietnam,VNM,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,,0,53700000.0,0.012100889,80.753,67.553,,0,
37729,25831,ng Hiu Hin,M,21.0,162.0,48.0,Vietnam,VNM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,,0,63263000.0,0.012390657,80.248,69.94,25423812649.0,401.8749134,0.00133109
37730,25832,ng Th To,F,24.0,167.0,51.0,Vietnam,VNM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Marathon,,0,68450100.0,0.012545515,79.0,71.113,9866990236.0,144.1486606,0.000388464
43296,29842, Th Anh,F,20.0,165.0,58.0,Vietnam,VNM,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",,0,92701100.0,0.01245625,65.764,76.253,205000000000.0,2211.408495,0.002704485
43297,29843, Th Ngn Thng,F,19.0,147.0,47.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43298,29843, Th Ngn Thng,F,19.0,147.0,47.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43299,29843, Th Ngn Thng,F,19.0,147.0,47.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Horse Vault,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43300,29843, Th Ngn Thng,F,19.0,147.0,47.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43301,29843, Th Ngn Thng,F,19.0,147.0,47.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43302,29843, Th Ngn Thng,F,23.0,147.0,47.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
43303,29843, Th Ngn Thng,F,23.0,147.0,47.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
43304,29844, Tin Tun,M,21.0,173.0,63.0,Vietnam,VNM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,63263000.0,0.012390657,80.248,69.94,25423812649.0,401.8749134,0.00133109
43305,29845,on Kin Quc,M,25.0,165.0,59.0,Vietnam,VNM,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,,0,81436400.0,0.012652581,73.317,74.082,45427854693.0,557.8323046,0.001037166
43306,29845,on Kin Quc,M,29.0,165.0,59.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
43307,29846,n Th Cch,F,20.0,161.0,54.0,Vietnam,VNM,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,0,81436400.0,0.012652581,73.317,74.082,45427854693.0,557.8323046,0.001037166
44555,30721,Dng Th Vit Anh,F,21.0,160.0,55.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's High Jump,,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
44556,30722,Dng Vn Dan,M,30.0,170.0,60.0,South Vietnam,VNM,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,40856000.0,0.011558152,82.471,61.192,,0,
44557,30723,Dng c Thy,M,19.0,164.0,56.0,Vietnam,VNM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,,0,53700000.0,0.012100889,80.753,67.553,,0,
71080,48450,Hin Phm Th,F,19.0,166.0,54.0,Vietnam,VNM,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Lightweight Double Sculls,,0,81436400.0,0.012652581,73.317,74.082,45427854693.0,557.8323046,0.001037166
71769,48940,Ho Henh Phc,M,28.0,178.0,75.0,South Vietnam,VNM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,40856000.0,0.011558152,82.471,61.192,,0,
71779,48947,Ho Minh Thu,M,39.0,162.0,53.0,South Vietnam,VNM,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,40856000.0,0.011558152,82.471,61.192,,0,
71780,48947,Ho Minh Thu,M,43.0,162.0,53.0,South Vietnam,VNM,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,44758000.0,0.011658993,81.508,58.835,,0,
71783,48951,Ho Thnh Chinh,M,22.0,169.0,60.0,South Vietnam,VNM,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,37574000.0,0.011532129,83.936,61.585,,0,
71784,48952,H Th L,F,25.0,172.0,60.0,Vietnam,VNM,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,,0,92701100.0,0.01245625,65.764,76.253,205000000000.0,2211.408495,0.002704485
71802,48962,Hong Anh Tun,M,23.0,152.0,56.0,Vietnam,VNM,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Bantamweight,Silver,0,85118700.0,0.012584551,70.872,74.777,99130304099.0,1164.612525,0.001561107
71803,48963,Hong Qu Phc,M,23.0,182.0,76.0,Vietnam,VNM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,,0,92701100.0,0.01245625,65.764,76.253,205000000000.0,2211.408495,0.002704485
71804,48964,Hong Tn Ti,M,26.0,165.0,85.0,Vietnam,VNM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,92701100.0,0.01245625,65.764,76.253,205000000000.0,2211.408495,0.002704485
71805,48965,Hong Th Ho,F,29.0,152.0,49.0,Vietnam,VNM,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Breaststroke,,0,53700000.0,0.012100889,80.753,67.553,,0,
71806,48966,Hong Xun Vinh,M,37.0,175.0,75.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
71807,48966,Hong Xun Vinh,M,37.0,175.0,75.0,Vietnam,VNM,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,88809200.0,0.012512919,68.332,75.476,156000000000.0,1756.574769,0.002082777
71808,48966,Hong Xun Vinh,M,41.0,175.0,75.0,Vietnam,VNM,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,0,92701100.0,0.01245625,65.764,76.253,205000000000.0,2211.408495,0.002704485
