Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
530,393,Gnther Abel,M,19.0,183.0,80.0,West Germany,FRG,1976 Winter,1976,Winter,Innsbruck,Nordic Combined,Nordic Combined Men's Individual,,0,61442000.0,0.014844107,,,,0,
531,393,Gnther Abel,M,23.0,183.0,80.0,West Germany,FRG,1980 Winter,1980,Winter,Lake Placid,Nordic Combined,Nordic Combined Men's Individual,,0,61658000.0,0.013894164,,,,0,
842,587,Gudrun Maria Abt,F,26.0,178.0,61.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,,0,61715000.0,0.012087466,,,,0,
843,587,Gudrun Maria Abt,F,26.0,178.0,61.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,,0,61715000.0,0.012087466,,,,0,
1214,841,Walter Adams,M,23.0,172.0,67.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,,0,60463000.0,0.017104967,,,,0,
1215,841,Walter Adams,M,27.0,172.0,67.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,61809000.0,0.016100601,,,,0,
1702,1205,Christel Agrikola,F,23.0,173.0,66.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,,0,61442000.0,0.014844107,,,,0,
1703,1206,Georg Agrikola,M,25.0,195.0,89.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,,0,61049000.0,0.012825468,,,,0,
1704,1206,Georg Agrikola,M,29.0,195.0,89.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,,0,61715000.0,0.012087466,,,,0,
1732,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,,0,61715000.0,0.012087466,,,,0,
1733,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,,0,61715000.0,0.012087466,,,,0,
1734,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,,0,61715000.0,0.012087466,,,,0,
1735,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,,0,61715000.0,0.012087466,,,,0,
1736,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,,0,61715000.0,0.012087466,,,,0,
1737,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horizontal Bar,,0,61715000.0,0.012087466,,,,0,
1738,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,,0,61715000.0,0.012087466,,,,0,
1739,1235,Andreas Aguilar,M,26.0,168.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,,0,61715000.0,0.012087466,,,,0,
1976,1423,Manfred Ahne,M,22.0,174.0,77.0,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,61049000.0,0.012825468,,,,0,
2015,1440,Herwig Ahrendsen,M,24.0,180.0,77.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,,0,61809000.0,0.016100601,,,,0,
2050,1470,Utz Aichinger,M,30.0,180.0,78.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,,0,60463000.0,0.017104967,,,,0,
