Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1179,815,"Francis ""Frank"" Adams",M,22.0,169.0,68.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1025658.0,0.000247794,88.726,66.3,2500410584.0,2437.859973,0.000389472
1180,815,"Francis ""Frank"" Adams",M,26.0,169.0,68.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,1085308.0,0.000244566,89.137,67.022,6235833333.0,5745.680796,0.000556771
1789,1267,Errol Aguilera,M,23.0,175.0,77.0,Trinidad and Tobago,TTO,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,,0,1277837.0,0.00020358,89.581,68.648,9008273721.0,7049.626612,0.000260355
2034,1462,Michelle-Lee Raquel Ahye,F,20.0,160.0,64.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
2035,1462,Michelle-Lee Raquel Ahye,F,20.0,160.0,64.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
2036,1462,Michelle-Lee Raquel Ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
2037,1462,Michelle-Lee Raquel Ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
2038,1462,Michelle-Lee Raquel Ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
3664,2564,Ayanna Alexander,F,30.0,171.0,60.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Triple Jump,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
3688,2579,"Niconnor ""Nico"" Alexander",M,23.0,170.0,69.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
3689,2579,"Niconnor ""Nico"" Alexander",M,23.0,170.0,69.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
3690,2579,"Niconnor ""Nico"" Alexander",M,27.0,170.0,69.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
3691,2579,"Niconnor ""Nico"" Alexander",M,27.0,170.0,69.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
4138,2891,Natasha Lynette Barbara Alleyne (-Gibson),F,27.0,170.0,54.0,Trinidad and Tobago,TTO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,,0,1258364.0,0.000217238,90.146,68.384,5759537726.0,4577.004528,0.000182264
4139,2892,Ade Franci Alleyne-Forte,M,23.0,180.0,73.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
7042,4916,Carl Archer,M,20.0,180.0,75.0,Trinidad and Tobago,TTO,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,,0,931468.0,0.000263512,87.239,64.892,758899950.0,814.7353962,0.000311025
7043,4918,Derek Archer,M,23.0,193.0,83.0,Trinidad and Tobago,TTO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1155695.0,0.000242794,90.161,67.428,7757083333.0,6712.050613,0.000641081
7334,5150,Aaron Nigel Armstrong,M,30.0,173.0,70.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
7335,5150,Aaron Nigel Armstrong,M,30.0,173.0,70.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
7336,5151,Ainsley Edward Armstrong,M,19.0,180.0,70.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,968741.0,0.000252347,88.328,65.407,1083381044.0,1118.339209,0.000287369
7337,5151,Ainsley Edward Armstrong,M,19.0,180.0,70.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,968741.0,0.000252347,88.328,65.407,1083381044.0,1118.339209,0.000287369
7338,5151,Ainsley Edward Armstrong,M,23.0,180.0,70.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,1025658.0,0.000247794,88.726,66.3,2500410584.0,2437.859973,0.000389472
7339,5151,Ainsley Edward Armstrong,M,23.0,180.0,70.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,1025658.0,0.000247794,88.726,66.3,2500410584.0,2437.859973,0.000389472
7938,5531,Fana Ashby,F,19.0,168.0,67.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
7939,5531,Fana Ashby,F,23.0,168.0,67.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
7940,5531,Fana Ashby,F,23.0,168.0,67.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
8397,5865,Winston Attong,M,25.0,162.0,68.0,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,,0,968741.0,0.000252347,88.328,65.407,1083381044.0,1118.339209,0.000287369
9908,6884,Brandon Bailey,M,31.0,183.0,115.0,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Heavyweight,,0,903275.0,0.000277231,85.09,64.422,711893367.6,788.1247323,0.000395496
11022,7604,Kelly-Ann Kaylene Baptiste,F,17.0,167.0,54.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
11023,7604,Kelly-Ann Kaylene Baptiste,F,21.0,167.0,54.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
11024,7604,Kelly-Ann Kaylene Baptiste,F,21.0,167.0,54.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
11025,7604,Kelly-Ann Kaylene Baptiste,F,25.0,167.0,54.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
11026,7604,Kelly-Ann Kaylene Baptiste,F,25.0,167.0,54.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
11027,7604,Kelly-Ann Kaylene Baptiste,F,29.0,167.0,54.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
11028,7604,Kelly-Ann Kaylene Baptiste,F,29.0,167.0,54.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
11216,7729,Aleesha Barber,F,21.0,,,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
11820,8181,Damion Ian Kenton Barry,M,18.0,180.0,82.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
14191,9692,Janeil Bellille,F,23.0,163.0,59.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
14192,9692,Janeil Bellille,F,27.0,163.0,59.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
15684,10684,Janice Bernard,F,25.0,162.0,58.0,Trinidad and Tobago,TTO,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1155695.0,0.000242794,90.161,67.428,7757083333.0,6712.050613,0.000641081
15687,10689,Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,,0,903275.0,0.000277231,85.09,64.422,711893367.6,788.1247323,0.000395496
15688,10689,Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,0,903275.0,0.000277231,85.09,64.422,711893367.6,788.1247323,0.000395496
15921,10915,Clifton Bertrand,M,24.0,184.0,75.0,West Indies Federation,TTO,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,,0,848479.0,0.000279639,82.651,62.625,535670127.7,631.3298593,0.000391
15922,10915,Clifton Bertrand,M,28.0,184.0,75.0,Trinidad and Tobago,TTO,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,,0,903275.0,0.000277231,85.09,64.422,711893367.6,788.1247323,0.000395496
17807,12244,Keston Bledman,M,20.0,180.0,88.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
17808,12244,Keston Bledman,M,24.0,180.0,88.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
17809,12244,Keston Bledman,M,24.0,180.0,88.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
17810,12244,Keston Bledman,M,28.0,180.0,88.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
17811,12244,Keston Bledman,M,28.0,180.0,88.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
18081,12463,Euric Allan Bobb,M,24.0,183.0,75.0,Trinidad and Tobago,TTO,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,,0,931468.0,0.000263512,87.239,64.892,758899950.0,814.7353962,0.000311025
18801,12946,Ato Jabari Boldon,M,18.0,176.0,75.0,Trinidad and Tobago,TTO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,1237487.0,0.000226806,91.045,68.171,5439552941.0,4395.644513,0.000214156
18802,12946,Ato Jabari Boldon,M,18.0,176.0,75.0,Trinidad and Tobago,TTO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,1237487.0,0.000226806,91.045,68.171,5439552941.0,4395.644513,0.000214156
18803,12946,Ato Jabari Boldon,M,22.0,176.0,75.0,Trinidad and Tobago,TTO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Bronze,0,1258364.0,0.000217238,90.146,68.384,5759537726.0,4577.004528,0.000182264
18804,12946,Ato Jabari Boldon,M,22.0,176.0,75.0,Trinidad and Tobago,TTO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,Bronze,0,1258364.0,0.000217238,90.146,68.384,5759537726.0,4577.004528,0.000182264
18805,12946,Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,Silver,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
18806,12946,Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,Bronze,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
18807,12946,Ato Jabari Boldon,M,26.0,176.0,75.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
18808,12946,Ato Jabari Boldon,M,30.0,176.0,75.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
18809,12946,Ato Jabari Boldon,M,30.0,176.0,75.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
19471,13437,Cleopatra Ayesha Borel-Brown,F,25.0,172.0,89.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
19472,13437,Cleopatra Ayesha Borel-Brown,F,29.0,172.0,89.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
19473,13437,Cleopatra Ayesha Borel-Brown,F,33.0,172.0,89.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
19474,13437,Cleopatra Ayesha Borel-Brown,F,37.0,172.0,89.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
20661,14227,George Richard Lycott Bovell,M,17.0,196.0,74.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
20662,14227,George Richard Lycott Bovell,M,17.0,196.0,74.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
20663,14227,George Richard Lycott Bovell,M,17.0,196.0,74.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,,0,1267984.0,0.000207252,89.223,68.532,8154338233.0,6430.947262,0.000242689
20664,14227,George Richard Lycott Bovell,M,21.0,196.0,74.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
20665,14227,George Richard Lycott Bovell,M,21.0,196.0,74.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
20666,14227,George Richard Lycott Bovell,M,21.0,196.0,74.0,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,Bronze,0,1290535.0,0.000200507,89.928,68.816,13280275123.0,10290.51914,0.000303203
20667,14227,George Richard Lycott Bovell,M,25.0,196.0,74.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
20668,14227,George Richard Lycott Bovell,M,25.0,196.0,74.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
20669,14227,George Richard Lycott Bovell,M,29.0,196.0,74.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
20670,14227,George Richard Lycott Bovell,M,29.0,196.0,74.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,,0,1341588.0,0.000189025,91.205,70.118,25694164489.0,19152.05301,0.000343046
20671,14227,George Richard Lycott Bovell,M,33.0,196.0,74.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,1364962.0,0.00018341,91.648,70.673,21894706041.0,16040.52424,0.000288848
20672,14228,"Nicholas ""Nick"" Edward Anthony Bovell",M,22.0,183.0,76.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,,0,1315372.0,0.000194474,90.592,69.384,27870257894.0,21188.11857,0.000438902
21406,14731,"Christopher Anthony ""Chris"" Brathwaite",M,27.0,175.0,75.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,1025658.0,0.000247794,88.726,66.3,2500410584.0,2437.859973,0.000389472
21407,14731,"Christopher Anthony ""Chris"" Brathwaite",M,27.0,175.0,75.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1025658.0,0.000247794,88.726,66.3,2500410584.0,2437.859973,0.000389472
