Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3395,2383,Janez Albreht,M,35.0,175.0,72.0,Yugoslavia,BIH,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,4025265.0,0.000972486,67.882,69.296,,0,
3501,2454,"Josip ""Jozo"" Alebi",M,25.0,177.0,72.0,Yugoslavia,BIH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,3851151.0,0.001003185,71.125,67.32,,0,
3502,2454,"Josip ""Jozo"" Alebi",M,25.0,177.0,72.0,Yugoslavia,BIH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3851151.0,0.001003185,71.125,67.32,,0,
3503,2454,"Josip ""Jozo"" Alebi",M,29.0,177.0,72.0,Yugoslavia,BIH,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,4025265.0,0.000972486,67.882,69.296,,0,
3504,2454,"Josip ""Jozo"" Alebi",M,33.0,177.0,72.0,Yugoslavia,BIH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,4179855.0,0.000941899,64.457,70.399,,0,
3505,2454,"Josip ""Jozo"" Alebi",M,33.0,177.0,72.0,Yugoslavia,BIH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,4179855.0,0.000941899,64.457,70.399,,0,
3902,2726,Hamza Ali,M,29.0,186.0,130.0,Bosnia and Herzegovina,BIH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,,0,3763599.0,0.000556437,60.839,75.619,19112739664.0,5078.314577,0.000300988
3903,2726,Hamza Ali,M,37.0,186.0,130.0,Bosnia and Herzegovina,BIH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,,0,3516816.0,0.000472555,60.06,76.911,16910277134.0,4808.405425,0.000223091
4877,3374,Roman Ambroi,M,15.0,160.0,45.0,Yugoslavia,BIH,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,,0,4508056.0,0.000882945,61.417,71.461,,0,
5287,3652,Svetlana Anastasovski-Obuina,F,19.0,176.0,65.0,Yugoslavia,BIH,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Silver,0,4179855.0,0.000941899,64.457,70.399,,0,
