Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
9251,6435,"Walter Delville N. ""Wallie"" Babb",M,23.0,187.0,75.0,Zambia,ZMB,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,,0,3452942.0,0.001059769,77.985,46.574,839428571.4,243.1053204,0.000466349
10794,7467,Clement Banda,M,,,,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
24823,17014,Felix Bwalya,M,22.0,150.0,60.0,Zambia,ZMB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Lightweight,,0,8452275.0,0.001549131,61.486,43.948,3181921788.0,376.4574376,0.000125273
24824,17015,Hastings Bwalya,M,23.0,168.0,64.0,Zambia,ZMB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,,0,13082517.0,0.001934212,62.125,53.749,17910858638.0,1369.068249,0.000282061
24825,17016,Johnson Bwalya,M,20.0,174.0,80.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
24826,17017,Kalusha Bwalya,M,25.0,180.0,75.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
24827,17018,Lilian Bwalya,F,25.0,,,Zambia,ZMB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,10531221.0,0.001721329,65.198,44.702,3600683040.0,341.9055625,0.000107163
28446,19511,David Efford Chabala,M,22.0,180.0,78.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
28455,19520,Manfred Chabinga,M,22.0,182.0,80.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
28604,19616,Enock Chama,M,,,,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Middleweight,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
28634,19639,Beston Chambeshi,M,28.0,172.0,72.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
28858,19799,Wisdom Mumba Chansa,M,20.0,176.0,75.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30304,20667,Ellis Chibuye,M,20.0,175.0,69.0,Zambia,ZMB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Welterweight,,0,10531221.0,0.001721329,65.198,44.702,3600683040.0,341.9055625,0.000107163
30305,20667,Ellis Chibuye,M,24.0,175.0,69.0,Zambia,ZMB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Welterweight,,0,11731746.0,0.001822734,63.804,48.432,6221077675.0,530.2772217,0.000142034
30306,20668,Charles Chibwe,M,,,60.0,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
30354,20702,Laurent Daniel Chifita,M,21.0,168.0,56.0,Zambia,ZMB,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,,0,3452942.0,0.001059769,77.985,46.574,839428571.4,243.1053204,0.000466349
30375,20719,Webster Chikabala,M,23.0,175.0,72.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30378,20723,Audrey Chikani (-Muhundika),F,17.0,163.0,55.0,Zambia,ZMB,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Long Jump,,0,4469895.0,0.001164361,67.854,49.971,1910714286.0,427.4629015,0.000506821
30391,20731,Justin Chikwanda,M,20.0,156.0,54.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30486,20799,Jaineck Chinyanta,M,,,,Zambia,ZMB,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,,0,6738765.0,0.001415712,60.295,49.359,2739444444.0,406.5202517,0.0002264
30499,20810,Chungu Chipako,M,29.0,170.0,60.0,Zambia,ZMB,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,10531221.0,0.001721329,65.198,44.702,3600683040.0,341.9055625,0.000107163
30500,20811,Jonathan Chipalo,M,26.0,174.0,58.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30501,20811,Jonathan Chipalo,M,26.0,174.0,58.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30502,20812,Jordan Chipangama,M,27.0,173.0,53.0,Zambia,ZMB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,16591390.0,0.002229386,58.621,61.874,21063989683.0,1269.573537,0.000277889
30534,20843,Dimus Chisala,M,21.0,182.0,67.0,Zambia,ZMB,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,6738765.0,0.001415712,60.295,49.359,2739444444.0,406.5202517,0.0002264
30535,20843,Dimus Chisala,M,25.0,182.0,67.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30538,20845,"Thomas ""Tom"" Chisenga",M,19.0,152.0,48.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30556,20856,Godfrey Chitalu,M,32.0,,,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
30557,20857,James Chitalu,M,26.0,175.0,75.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
30598,20886,Patrick Chiwala,M,27.0,165.0,53.0,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
30605,20890,Cassius Chiyanika,M,24.0,168.0,53.0,Zambia,ZMB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,,0,13082517.0,0.001934212,62.125,53.749,17910858638.0,1369.068249,0.000282061
30609,20893,Rex Chizooma,M,,,95.0,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
30977,21104,"Alexander ""Alex"" Chola",M,24.0,,,Zambia,ZMB,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,5889230.0,0.001327093,60.185,51.265,3829500000.0,650.2547871,0.00034192
30991,21116,Samuel Chomba,M,24.0,176.0,80.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
31012,21129,Joseph Oscar Chongo,M,23.0,155.0,51.0,Zambia,ZMB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,7600072.0,0.001488546,60.494,46.379,3713614458.0,488.6288522,0.00019443
31013,21129,Joseph Oscar Chongo,M,27.0,155.0,51.0,Zambia,ZMB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,,0,8452275.0,0.001549131,61.486,43.948,3181921788.0,376.4574376,0.000125273
31014,21129,Joseph Oscar Chongo,M,31.0,155.0,51.0,Zambia,ZMB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,,0,9394304.0,0.001621786,63.362,43.183,3597220962.0,382.9151113,0.000113836
31022,21136,Gilbert Choombe,M,20.0,160.0,69.0,Zambia,ZMB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,,0,14699937.0,0.002071172,60.413,59.011,25503370699.0,1734.930612,0.000340499
31027,21140,Chauness Chauzje Choosha,F,19.0,,,Zambia,ZMB,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,14699937.0,0.002071172,60.413,59.011,25503370699.0,1734.930612,0.000340499
31404,21435,Steven Chungu,M,23.0,163.0,57.0,Zambia,ZMB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,,0,8452275.0,0.001549131,61.486,43.948,3181921788.0,376.4574376,0.000125273
44726,30858,Alan Hugh Durrett,M,16.0,180.0,78.0,Zambia,ZMB,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 400 metres Freestyle,,0,3452942.0,0.001059769,77.985,46.574,839428571.4,243.1053204,0.000466349
44727,30858,Alan Hugh Durrett,M,16.0,180.0,78.0,Zambia,ZMB,1964 Summer,1964,Summer,Tokyo,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,3452942.0,0.001059769,77.985,46.574,839428571.4,243.1053204,0.000466349
51173,35073,Timothy Feruka,M,18.0,161.0,48.0,Zambia,ZMB,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Flyweight,,0,4469895.0,0.001164361,67.854,49.971,1910714286.0,427.4629015,0.000506821
53385,36562,Charles Wanne Fox,M,16.0,182.0,71.0,Zambia,ZMB,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Breaststroke,,0,3452942.0,0.001059769,77.985,46.574,839428571.4,243.1053204,0.000466349
