Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
7937,5529,Brendan Ashby,M,24.0,205.0,100.0,Zimbabwe,ZWE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,,0,12777511.0,0.001985212,65.706,44.571,5805598400.0,454.3606654,0.000132548
9669,6705,James Anthony Badrian,M,20.0,151.0,48.0,Rhodesia,ZWE,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Flyweight,,0,3747369.0,0.001235046,87.392,51.565,1052990400.0,280.9945858,0.000768606
10730,7427,Paul Bamber,M,27.0,175.0,65.0,Zimbabwe,ZWE,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,,0,9604302.0,0.001881093,72.476,59.794,7814784100.0,813.6753821,0.000409151
10731,7427,Paul Bamber,M,27.0,175.0,65.0,Zimbabwe,ZWE,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Team,,0,9604302.0,0.001881093,72.476,59.794,7814784100.0,813.6753821,0.000409151
10795,7469,Lewis Simon Banda,M,21.0,170.0,65.0,Zimbabwe,ZWE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,12777511.0,0.001985212,65.706,44.571,5805598400.0,454.3606654,0.000132548
10796,7469,Lewis Simon Banda,M,25.0,170.0,65.0,Zimbabwe,ZWE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,13558469.0,0.00200458,66.44,49.337,4415702800.0,325.6785703,6.95e-05
11293,7776,Roy Hilton Barbour,M,29.0,174.0,61.0,Zimbabwe,ZWE,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,4269863.0,0.001310497,85.908,52.993,1217138000.0,285.0531738,0.000676188
12236,8472,Kudakwashe Basopo,F,26.0,162.0,60.0,Zimbabwe,ZWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,,0,16150362.0,0.002170125,67.723,61.163,16619960402.0,1029.076649,0.000219261
13596,9359,"Derrick John ""Tinker"" Beets",M,23.0,168.0,66.0,Zimbabwe,ZWE,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,4269863.0,0.001310497,85.908,52.993,1217138000.0,285.0531738,0.000676188
13882,9504,"Abel ""Abe"" Bekker",M,25.0,170.0,57.0,Rhodesia,ZWE,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,,0,3747369.0,0.001235046,87.392,51.565,1052990400.0,280.9945858,0.000768606
