Country,NOC
China ~CHN,CHN
Finland ~FIN,FIN
Norway ~NOR,NOR
Romania ~ROU,ROU
Netherlands ~NLD,NLD
France ~FRA,FRA
Morocco ~MAR,MAR
Estonia ~EST,EST
Spain ~ESP,ESP
Egypt ~EGY,EGY
Bulgaria ~BGR,BGR
Italy ~ITA,ITA
Chad ~TCD,TCD
Azerbaijan ~AZE,AZE
Sudan ~SDN,SDN
Russia ~RUS,RUS
Argentina ~ARG,ARG
Cuba ~CUB,CUB
Belarus ~BLR,BLR
Greece ~GRC,GRC
Cameroon ~CMR,CMR
Turkey ~TUR,TUR
Mexico ~MEX,MEX
Chile ~CHL,CHL
United States ~USA,USA
Soviet Union ~URS,URS
Nicaragua ~NIC,NIC
Hungary ~HUN,HUN
Nigeria ~NGA,NGA
Algeria ~DZA,DZA
Kuwait ~KWT,KWT
Bahrain ~BHR,BHR
Pakistan ~PAK,PAK
Iraq ~IRQ,IRQ
United Arab Republic ~UAR,UAR
Lebanon ~LBN,LBN
Qatar ~QAT,QAT
Malaysia ~MYS,MYS
Iran ~IRN,IRN
Australia ~AUS,AUS
South Africa ~ZAF,ZAF
Canada ~CAN,CAN
Eritrea ~ERI,ERI
Tanzania ~TZA,TZA
Jordan ~JOR,JOR
Tunisia ~TUN,TUN
Libya ~LBY,LBY
Belgium ~BEL,BEL
Djibouti ~DJI,DJI
Palestine ~PLE,PLE
Comoros ~COM,COM
Kazakhstan ~KAZ,KAZ
Brunei ~BRN,BRN
Saudi Arabia ~SAU,SAU
Syria ~SYR,SYR
Maldives ~MDV,MDV
Ethiopia ~ETH,ETH
United Arab Emirates ~ARE,ARE
North Yemen ~YEM,YEM
Indonesia ~IDN,IDN
Philippines ~PHL,PHL
Singapore ~SGP,SGP
Uzbekistan ~UZB,UZB
Kyrgyzstan ~KGZ,KGZ
Tajikistan ~TJK,TJK
Unified Team ~EUN,EUN
Japan ~JPN,JPN
Congo (Brazzaville) ~COG,COG
Brazil ~BRA,BRA
East Germany ~GDR,GDR
Germany ~DEU,DEU
Israel ~ISR,ISR
Sweden ~SWE,SWE
Sri Lanka ~LKA,LKA
Armenia ~ARM,ARM
Cote d'Ivoire ~CIV,CIV
